Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,0.27390224,1.0904187,0.085651144,0.23454677,0.7427279,0.7109175,0.45558542,0.8395494,0.50994706,0.34437826,0.49502623,0.6090179,0.84859073,0.17472258,0.31535923,0.13812649,0.51363146,0.21448448,0.17169644,0.06968412,0.22751266,0.052751023,0.031396676,0.12890653,0.4394799,0.20186007,0.40660557,0.041406516,0.2150077,0.103359595,0.041654993,0.023828106,0.2726424,0.24933583,0.20734797,0.022069251,0.30849957,0.209421,0.38308275,0.03441322,0.03050759,0.198787
1,0.09972746,0.12080767,0.2793388,0.05236864,0.10081145,0.34298804,0.13508141,0.16035414,0.17385267,0.042415757,0.077461764,0.17650607,0.3110338,0.12921959,0.15706752,0.3112368,0.43814266,0.1870219,0.027260201,0.13505936,0.20929724,0.3379846,0.3228916,0.027826644,0.16908288,0.2862521,0.012661106,0.10788108,0.020628117,0.03556192,0.27232918,0.15169686,0.42089847,0.16103038,0.006234641,0.12083245,0.13025397,0.008191369,0.46126935,0.07502937,0.093778744,0.018209843
2,0.21001306,0.10550511,0.02835248,0.40263918,0.10246521,0.07440005,0.230358,0.15536167,0.008552286,0.25851968,0.13837647,0.07953638,0.14274934,0.15493412,0.02178464,0.011455822,0.07979796,0.26176864,0.13764632,0.058034576,0.05108145,0.015709233,0.20055477,0.13622127,0.09675253,0.20594315,0.23272008,0.028224388,0.30570644,0.12139038,0.080783874,0.13779503,0.2664521,0.10848151,0.1658445,0.025694737,0.044498872,0.2521776,0.14503066,0.32645366,0.091391474,0.060333885
3,0.22043827,0.07312137,0.028751139,0.022760075,0.24909022,0.2748891,0.06642908,0.26315495,0.005079634,0.21970157,0.10687678,0.3389484,0.07451049,0.092723444,0.05574272,0.025646523,0.028283782,0.1107361,0.04813634,0.16912833,0.037851937,0.14332141,0.17777288,0.039919723,0.14754824,0.19070674,0.15227689,0.055658445,0.1576398,0.06878588,0.15243159,0.008916597,0.053357773,0.005849569,0.19614032,0.13387528,0.09403818,0.3309254,0.39952654,0.27159557,0.68421096,0.0028867119
4,0.107590586,0.052467547,0.009592715,0.023462508,0.13989994,0.0898378,0.3669351,0.033881564,0.06187347,0.017040748,0.18748327,0.12488115,0.015393509,0.15074947,0.08526102,0.1929441,0.14194688,0.01700214,0.15458263,0.0072873263,0.034376204,0.10234405,0.023611927,0.08388539,0.13429539,0.044656724,0.042265456,0.08954742,0.026249731,0.17491828,0.0112461075,0.20770064,0.15741289,0.047760792,0.25237864,0.07126391,0.03580051,0.15036133,0.0109142875,0.014497792,0.073159784,0.04641714
5,0.00606446,0.025340859,0.02593058,0.07136085,0.024658488,0.024641482,0.060776256,0.021066727,0.014672476,0.0996539,0.042722203,0.07750357,0.07432822,0.08327271,0.10037554,0.12716328,0.030978339,0.011905563,0.0064863195,0.024834614,0.054231428,0.021648208,0.045392595,0.018873718,0.031911865,0.087352805,0.07507567,0.17466441,0.015821407,0.013190557,0.04199127,0.023103015,0.079232424,0.25430915,0.120644905,0.059326563,0.08123419,0.015261501,0.04896534,0.053759307,0.24581672,0.13445094
6,0.24670859,0.07574346,0.083152264,0.07513855,0.010011381,0.010186042,0.045940205,0.016236292,0.02945229,0.0054899734,0.028496923,0.054342974,0.10591477,0.09089566,0.046998367,0.014911056,0.07517201,0.0420242,0.024682198,0.023056827,0.04103931,0.05039113,0.033360656,0.026235903,0.012822425,0.03214307,0.019967675,0.06742444,0.047763173,0.007881688,0.034693755,0.03006763,0.009321722,0.07337213,0.0107555315,0.052025657,0.033642195,0.064358644,0.16374947,0.006785202,0.03742047,0.021905404
7,0.25722423,0.00784661,0.050787285,0.054090306,0.085632354,0.023825724,0.007879426,0.07256038,0.050555885,0.031352106,0.035407055,0.039747134,0.121751145,0.08465033,0.24815485,0.032987304,0.06582425,0.005357215,0.04443655,0.17830588,0.036789976,0.11442421,0.0061739986,0.03716781,0.049885936,0.10572021,0.049139686,0.0041084336,0.021852268,0.056592368,0.025340132,0.043481003,0.07923125,0.07172867,0.08548011,0.04613453,0.047679145,0.024315719,0.028763603,0.04372572,0.07695776,0.034500763
8,0.2392146,0.017342765,0.010586284,0.14209849,0.06955552,0.10399597,0.017970867,0.068145014,0.13313954,0.048628576,0.16842978,0.08804378,0.009357195,0.0066068266,0.038710687,0.021210829,0.04623949,0.1132728,0.037986096,0.09439977,0.062073633,0.016511708,0.013284253,0.0693373,0.0032863852,0.03066609,0.0061571384,0.0102372095,0.004250368,0.03204477,0.04138808,0.013411439,0.018808337,0.016701318,0.029849056,0.01301771,0.014716078,0.064105116,0.013218504,0.07336157,0.058494255,0.029332872
9,0.07978021,0.053120095,0.062510796,0.08054207,0.10624848,0.079671726,0.011962669,0.014166666,0.01609606,0.024605388,0.014686429,0.040236186,0.013418359,0.036998123,0.030899905,0.008274497,0.040488336,0.020401789,0.0067401053,0.018139098,0.0595026,0.07115759,0.038496934,0.04116024,0.0051125153,0.21409667,0.014813714,0.0013174074,0.044332888,0.010127836,0.023324274,0.25765997,0.0058024144,0.05610119,0.16187936,0.012198268,0.025094125,0.01267701,0.09067415,0.06815118,0.03526563,0.056394674
10,0.022046927,0.10124892,0.057006404,0.03643029,0.019935692,0.06823645,0.010583894,0.037980475,0.013602414,0.024583708,0.13739306,0.19650374,0.022887303,0.008706635,0.016220406,0.08579889,0.028423417,0.048955202,0.019722655,0.036352325,0.006851325,0.021884842,0.057351664,0.09430915,0.020197324,0.020406818,0.011116833,0.04868146,0.022303808,0.08049945,0.05373534,0.031041192,0.01280737,0.023415338,0.008722021,0.063170664,0.020049213,0.018662294,0.011791459,0.0053575975,0.06290649,0.029716788
11,0.0010867345,0.022300327,0.04149266,0.20059201,0.026197586,0.01085334,0.015460247,0.06715229,0.023013087,0.086636364,0.019526009,0.07908968,0.08516726,0.046422895,0.03340928,0.011596123,0.04950198,0.06374055,0.2202442,0.10923077,0.08859076,0.095357195,0.053959783,0.022341575,0.13388091,0.16895851,0.15620641,0.15443118,0.109244764,0.056373104,0.0104945125,0.00792107,0.061788745,0.11791197,0.10506329,0.12359093,0.044318635,0.024253106,0.10799453,0.07234231,0.086401805,0.12790653
12,0.06264768,0.025411088,0.009348711,0.031850517,0.014253143,0.045913503,0.23755208,0.03791847,0.0222278,0.017663628,0.020077325,0.113907486,0.089335226,0.09263842,0.07292935,0.033964343,0.015733967,0.028831076,0.044189863,0.04203286,0.15334395,0.048750937,0.053839102,0.011518809,0.035973072,0.021209504,0.081621654,0.051107243,0.0074186595,0.020791896,0.017421296,0.008863572,0.04034461,0.024287999,0.026222603,0.0061284737,0.018001147,0.06889528,0.01856124,0.009088688,0.012223866,0.044062104
13,0.16921797,0.020601906,0.05558465,0.065802,0.07826701,0.022180524,0.035365082,0.012569135,0.018381726,0.01101644,0.044624913,0.014986847,0.042311553,0.08418823,0.0115426,0.0120948665,0.07218258,0.025393557,0.031137325,0.063837685,0.03979087,0.01887617,0.037168868,0.055689,0.016480923,0.022586772,0.0017763451,0.022975462,0.0063048424,0.029724974,0.01981233,0.026795994,0.0027884995,0.016233252,0.04331057,0.006799939,0.041381456,0.006354289,0.01606749,0.057220727,0.05805638,0.0045263395
