Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.16704643,0.861817,0.59972996,0.043568205,0.26513737,0.27890345,0.5988401,0.18800583,0.7462444,0.41914555,0.14207953,0.12435579,0.5070781,0.09020648,0.42339447,0.37983117,0.6475469,0.30170044,0.4037191,0.6823936,0.18850118,0.1565822,0.14836754
1,0.21040438,0.32122928,0.110355616,0.42126492,0.09782366,0.6404805,0.051718026,0.0943179,0.6635871,0.26072156,0.22061782,0.25283337,0.15683548,0.084532365,0.25984555,0.45622844,0.5408921,0.42520145,0.14612791,0.28364706,0.30604634,0.1557318,0.013348776
2,0.3478331,0.11384465,0.28123468,0.40184513,0.31494087,0.48502338,0.3604175,0.21001713,0.14166266,0.14698994,0.009436293,0.42576098,0.03395437,0.28862965,0.26245266,0.2990956,0.110101126,0.1492736,0.44656792,0.0928114,0.07625883,0.061011758,0.0541463
3,0.044898026,0.26734668,0.024567232,0.056216933,0.17263633,0.68697214,0.18289012,0.13114399,0.18205772,0.044604503,0.28870374,0.14372906,0.06344865,0.14589193,1.3408182,0.27797425,0.12073521,0.15970084,0.18803003,0.2141222,0.4754724,0.14821811,0.1573794
4,0.28907922,0.50297487,0.19210196,0.107258104,0.057995416,0.32961857,0.061935924,0.09826052,0.060212567,0.10120012,0.032784976,0.12404722,0.34619048,0.11396844,0.2759652,0.038843557,0.2030424,0.06674833,0.60846025,0.051100776,0.12457647,0.02833366,0.26144618
5,0.25696123,0.27393284,0.09338451,0.1194517,0.02941434,0.02730467,0.09783845,0.12933221,0.14871424,0.03444823,0.07111901,0.13907453,0.032749534,0.15017234,0.042484082,0.00974357,0.083112895,0.35979086,0.081163324,0.058463022,0.097666174,0.032949883,0.06515016
6,0.16730249,0.108445466,0.5681579,0.095879495,0.14102937,0.05520465,0.20272425,0.08564192,0.032838125,0.07733016,0.020124834,0.030733343,0.20019028,0.07602429,0.0076931575,0.062152073,0.2947984,0.16066028,0.46723002,0.050513364,0.054328807,0.15018496,0.19502142
7,0.20635018,0.1546345,0.10748552,0.027750678,0.37584406,0.03801009,0.09653892,0.1487338,0.0912358,0.088420704,0.07119149,0.06716035,0.09543259,0.16141005,0.055109173,0.09136371,0.09412819,0.08356909,0.057469517,0.07619938,0.32641947,0.0038945784,0.13890846
8,0.045875937,0.003023392,0.07051709,0.054846656,0.19762456,0.021609997,0.025766797,0.13028973,0.13059673,0.08365804,0.08426866,0.25236607,0.0067034424,0.03296321,0.023581678,0.012237234,0.15682498,0.03160149,0.02836427,0.022569137,0.02789517,0.0189917,0.06889178
9,0.09084318,0.08303775,0.1529051,0.115932934,0.018983543,0.027791366,0.03705332,0.21222888,0.011676085,0.27136403,0.103760466,0.057914034,0.10347394,0.012614525,0.04931194,0.015484883,0.021256493,0.09025284,0.15676494,0.3689472,0.16354442,0.037892878,0.013756629
