Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,1.9760224,0.738758,1.8710967,1.7990894,2.6924837,1.3682314,2.7353237,0.86963606,2.4146674,1.2262762,1.1473777,1.6665791,1.3847659,1.1481805,1.7254614,1.430769,1.260304,1.3154812,0.92050683,0.9263051,1.5892361,0.7460016,0.8144238,0.5377527,0.43996236,1.2121819,0.5148611,0.46261573,0.5206822,0.019886259,0.14417416,0.57379997,0.14029221,0.24342087,0.10434401,0.103824936,0.14153017,0.28645605,0.15692669,0.55443233,0.14392053,0.20103803,0.3088064,0.23975152,0.25533783,0.49672252,0.24516463,0.20150086,0.13040416,0.40694273,0.38778475,0.1342111,0.3951881,0.11779965,0.107855774,0.12597813,0.021141894
1,0.017302664,0.20632532,0.046696763,0.15954708,0.067731395,0.4176431,0.19204101,0.24153979,0.086266115,0.032216992,0.15549801,0.04805068,0.23950459,0.13435581,0.09962204,0.21124822,0.2722735,0.3962667,0.3772611,0.43006662,0.41026157,0.24166411,0.024551922,0.24119693,0.29234752,0.109545805,0.43903357,0.08748585,0.10208518,0.284383,0.02010412,0.09178138,0.07149184,0.32355478,0.20598444,0.007979456,0.14731908,0.020020625,0.31196612,0.33562094,0.3397109,0.03959567,0.25157797,0.016138136,0.39440417,0.376072,0.112177916,0.3024261,0.11582945,0.22869276,0.13887092,0.016040463,0.37802383,0.21639614,0.075840846,0.23375203,0.389812
2,0.13813007,0.11336079,0.15475984,0.112629086,0.14712195,0.12613536,0.11412393,0.33331537,0.42531487,0.37643585,0.45825025,0.33252993,0.042502113,0.27407688,0.24952397,0.041101776,0.07779337,0.4496742,0.058121555,0.03329989,0.04286791,0.19658813,0.2125153,0.09969063,0.104688525,0.028291,0.032636166,0.65962934,0.11755074,0.17387733,0.20061319,0.075346485,0.32509005,0.16018894,0.082213596,0.076993376,0.40882772,0.28555328,0.2979707,0.29920605,0.090130955,0.18520631,0.30393487,0.1466369,0.13283937,0.024448976,0.25381425,0.21006587,0.15490684,0.34117287,0.116080225,0.105098754,0.12716994,0.043178238,0.08293791,0.0727098,0.28586683
3,0.04187908,0.10587991,0.07299385,0.41536713,0.21673137,0.120044544,0.011055855,0.016701043,0.25275326,0.08942343,0.105393805,0.1620677,0.064315766,0.17188786,0.10845031,0.24878304,0.07793738,0.0074051153,0.30331072,0.11886715,0.048429668,0.07445868,0.055873357,0.19304903,0.09471191,0.08002433,0.072030805,0.18875478,0.028431527,0.111087635,0.12652305,0.26065186,0.1041635,0.05661415,0.29140514,0.02975478,0.20479427,0.4126553,0.30281454,0.26266718,0.07973559,0.13765028,0.065340675,0.16237986,0.12758423,0.20070854,0.29619148,0.0558034,0.029842246,0.07011765,0.08532325,0.040934745,0.07026216,0.049438126,0.2243353,0.09960689,0.030204559
4,0.046396013,0.12791263,0.06223952,0.107105315,0.1383702,0.06667768,0.0559735,0.2626038,0.052207813,0.11008987,0.16611886,0.26804012,0.060412355,0.070030704,0.049112022,0.1323681,0.005233093,0.030591974,0.010819931,0.10828537,0.17463867,0.28141898,0.1319259,0.10803343,0.33069295,0.019083554,0.14753145,0.044625804,0.22253042,0.16091059,0.06773949,0.09133254,0.09082153,0.084744446,0.23869354,0.067376375,0.049192064,0.021711916,0.057552274,0.025242934,0.27411395,0.08101833,0.047379203,0.007807921,0.03513033,0.09866196,0.13643059,0.016753932,0.068275675,0.08910214,0.13597304,0.10984668,0.24769282,0.12488121,0.059363816,0.07748274,0.18443058
5,0.035970036,0.0934422,0.07081155,0.035594,0.058957703,0.1444309,0.2510513,0.07247167,0.014252659,0.099562235,0.119956195,0.17205897,0.18667026,0.093301184,0.012731999,0.01632023,0.05165919,0.02009441,0.033636764,0.061808307,0.04363133,0.1337669,0.056158714,0.20733055,0.10064634,0.0915344,0.019625273,0.011484247,0.04182249,0.01804992,0.035365358,0.14290853,0.015887914,0.017817298,0.13271338,0.11401583,0.21585111,0.05224865,0.014480406,0.033442512,0.007002316,0.104839206,0.027348282,0.038440682,0.017703194,0.030360885,0.022059333,0.18973169,0.068089776,0.043230504,0.03782408,0.04439508,0.031747606,0.036342658,0.07023376,0.04675774,0.006985621
6,0.0964762,0.19578537,0.032876715,0.12942828,0.08956644,0.09641859,0.023426259,0.021496907,0.10839498,0.055301562,0.11556076,0.024633288,0.07837405,0.031924993,0.10199274,0.14880632,0.19945948,0.061378524,0.13231608,0.0065708943,0.037843514,0.111079045,0.027104843,0.14391905,0.059978664,0.01703867,0.055854745,0.043843277,0.093246445,0.031604446,0.02854333,0.059293244,0.045730077,0.107178584,0.21914718,0.11503646,0.014080215,0.064192854,0.034272145,0.10336127,0.29344276,0.051712073,0.082356185,0.11253463,0.2220224,0.026502037,0.035729125,0.010207403,0.022829104,0.036664777,0.0130979195,0.027248474,0.10508767,0.131408,0.057205528,0.02018919,0.2801347
7,0.030039653,0.060994517,0.008099258,0.007323906,0.028967015,0.036243312,0.0039645093,0.035430726,0.082907066,0.03069242,0.24277931,0.06664517,0.073149204,0.2432536,0.17173524,0.0067807613,0.012150168,0.06521545,0.036121663,0.0656226,0.02111033,0.04026158,0.14258513,0.07118666,0.055418216,0.0515237,0.031610806,0.024867611,0.043775626,0.042744048,0.039104003,0.055749714,0.05869113,0.031633988,0.2411097,0.007548239,0.02149391,0.051831897,0.059806056,0.015118265,0.09942241,0.006133415,0.04892466,0.10144745,0.01882854,0.014323062,0.033477142,0.023565795,0.08052215,0.043822326,0.06389186,0.028025674,0.01905932,0.026151104,0.03855302,0.026791323,0.008729011
8,0.021873128,0.0455508,0.028881464,0.03329571,0.016487502,0.071371816,0.02173947,0.06132431,0.10080254,0.051823348,0.019403718,0.053547528,0.12924497,0.22117832,0.13461575,0.0100143785,0.036308397,0.0094478205,0.17889336,0.2845561,0.36375222,0.14279965,0.15850459,0.032073054,0.02977464,0.059451308,0.07176646,0.062254034,0.10045501,0.039013024,0.014270746,0.042804632,0.046457585,0.01674701,0.1398921,0.023341477,0.037823226,0.09104604,0.032632332,0.08387579,0.02491301,0.04240441,0.037103027,0.054530006,0.03926888,0.10809781,0.020471293,0.030215785,0.01683985,0.043362226,0.012256514,0.016732726,0.1032304,0.042258374,0.13415581,0.034642726,0.10434934
9,0.052247502,0.04691238,0.05159449,0.019193808,0.03254962,0.042452298,0.075135946,0.05489892,0.037058786,0.015587957,0.04250156,0.014484665,0.003453765,0.011371512,0.034640018,0.04182619,0.124805994,0.12676743,0.08321632,0.054699145,0.017638274,0.051347397,0.08638776,0.07965471,0.029295094,0.008466547,0.06335091,0.047722865,0.007742694,0.044978935,0.060094908,0.116545394,0.071815565,0.043534473,0.009994471,0.031669937,0.06913273,0.023297649,0.035809357,0.039045822,0.06290289,0.051615164,0.056476526,0.019132666,0.046592943,0.009984968,0.07955523,0.04604405,0.01080168,0.1373873,0.009381671,0.0452678,0.14362216,0.0695717,0.034329202,0.14655517,0.10564434
10,0.10644375,0.0767379,0.015354229,0.13078943,0.12224368,0.09714996,0.155107,0.12560576,0.0727448,0.085234225,0.17647198,0.12639451,0.046565693,0.22775888,0.07123183,0.026467983,0.06174647,0.019934356,0.0047132988,0.021873815,0.07777347,0.029159408,0.07274876,0.08210382,0.023502398,0.010806356,0.054211017,0.087866224,0.03658964,0.049605973,0.015930742,0.028288007,0.13043356,0.072893254,0.03788407,0.034784116,0.0222209,0.07667547,0.09578401,0.027976286,0.03141358,0.034351416,0.19772251,0.06598392,0.11696255,0.09883881,0.049949117,0.09728852,0.10873926,0.11980216,0.21821058,0.10421381,0.011248604,0.04770466,0.052537546,0.06633292,0.071281336
11,0.014627856,0.009231811,0.004169535,0.05661756,0.1126599,0.22213279,0.032290373,0.0048768977,0.03702128,0.08487651,0.23106226,0.022171982,0.018021354,0.031209122,0.04610806,0.017719751,0.07809595,0.009424777,0.01562952,0.008691324,0.0065592593,0.011358607,0.054525744,0.05328617,0.009114671,0.008944834,0.01804994,0.124974236,0.0055895494,0.07266928,0.04187104,0.029955927,0.027370337,0.010471987,0.025621558,0.036707107,0.035215218,0.059655428,0.04151813,0.035592157,0.06768518,0.016889567,0.016390856,0.00805686,0.083776444,0.048051998,0.031247236,0.043815278,0.03700604,0.01693368,0.165913,0.0205626,0.03664077,0.055499785,0.03639835,0.07081761,0.07833773
12,0.015697751,0.019410728,0.07445755,0.0072580343,0.094037,0.046887495,0.055802237,0.06953709,0.024483886,0.06617969,0.13835007,0.018263947,0.006429872,0.0459479,0.12515032,0.022979174,0.039382093,0.0070138993,0.028284768,0.01385756,0.016464617,0.070777565,0.022551209,0.040538944,0.0309157,0.10131809,0.14575036,0.01453423,0.13231723,0.016275547,0.09949274,0.013391622,0.017886244,0.017045185,0.050854325,0.020372713,0.049065683,0.021715479,0.017247139,0.003888546,0.029336182,0.020501874,0.057487838,0.028552517,0.03063202,0.085927546,0.09386724,0.046981525,0.061719924,0.010221111,0.044201527,0.17376071,0.22337791,0.11115289,0.069756314,0.031601243,0.01432772
13,0.072906926,0.13664463,0.03895384,0.07982965,0.114108354,0.032018356,0.04535148,0.028042246,0.06309681,0.05721523,0.07473041,0.0421443,0.018394366,0.016529897,0.0704505,0.02328045,0.02060714,0.023628786,0.05777073,0.076053515,0.07192659,0.0032328872,0.010048522,0.02197399,0.01808618,0.03479431,0.007176113,0.05876738,0.053539842,0.021410534,0.016955467,0.016355015,0.014585222,0.027853431,0.015043635,0.01168447,0.04891534,0.07727584,0.07776536,0.052513536,0.02317136,0.020013688,0.1009624,0.049237303,0.05666892,0.010033821,0.049610645,0.02493802,0.04141401,0.025621425,0.005678235,0.022570338,0.044991467,0.008721899,0.021383012,0.008975057,0.014913718
14,0.1544713,0.09408574,0.026613303,0.042604268,0.0053761443,0.007932153,0.14529583,0.05214461,0.12172701,0.23085746,0.032781966,0.067278735,0.004263343,0.022738077,0.11181534,0.11730642,0.080417626,0.11895996,0.040727995,0.01393566,0.058261152,0.036726076,0.04552964,0.052256398,0.031144023,0.02569906,0.0037737312,0.0022609318,0.03192423,0.017794844,0.047673587,0.024339143,0.0036525615,0.032444715,0.05027065,0.0040285066,0.021471322,0.011088548,0.0022126653,0.078812666,0.0055563953,0.01206374,0.023943074,0.035437927,0.029623507,0.019697968,0.005938191,0.033192255,0.03448748,0.012612922,0.047159497,0.009440344,0.005217995,0.017727008,0.1627681,0.024817891,0.013675652
