Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.08931607,0.055556267,0.26465064,0.38585174,0.07119652,0.11307147,0.4665659,0.47727966,0.264086,0.6336539,0.37909147,0.18166098,0.45750782,0.43637222,0.49161065,0.027484372,0.84973025,0.47696185,0.12090427,0.57937264,0.593433,1.0725337
1,0.041477185,0.486871,0.20877466,0.3759419,0.38349533,0.031009303,0.12641414,0.48301873,0.5501734,0.37430376,0.14716946,0.17109619,0.036127087,0.37419868,0.3553508,0.16067094,0.31454632,0.3941572,0.5679671,0.46378547,0.054941,0.012430863
2,0.07202207,0.32412106,0.37388676,0.53747076,0.10555787,0.124081045,0.060933832,0.06563516,0.23134781,0.12733547,0.060735844,0.45002663,0.24703076,0.27494884,0.04056653,0.18595867,0.014786003,0.24326143,0.09198971,0.01549679,0.039148115,1.9346576
3,0.06107914,0.11501845,0.1850465,0.061177414,0.04454991,0.090911925,0.017084597,0.13911386,0.018265206,0.033732135,0.09730578,0.06447697,0.56702864,0.0932914,0.025058493,0.22603069,0.11964384,0.12945694,0.028351225,0.11821755,0.036062203,0.00408535
4,0.06435348,0.23256949,0.10164304,0.13407317,0.09516337,0.15951985,0.025937093,0.07327935,0.04583127,0.017116103,0.03893944,0.28812593,0.08429332,0.11712149,0.12000027,0.06099775,0.11473142,0.0125904605,0.050563216,0.04038286,0.10086505,0.0067209825
5,0.06359271,0.04280508,0.010569874,0.0054341834,0.0036445495,0.012083077,0.062251464,0.06163384,0.010676621,0.019239541,0.009152758,0.04211548,0.029735237,0.06269703,0.025681173,0.048196435,0.043089446,0.018119693,0.0011695686,0.032139175,0.032764338,1.6658461
6,0.05440078,0.069369525,0.39525506,0.023156174,0.0117743835,0.017402682,0.009207021,0.017571434,0.03495319,0.024299176,0.038773894,0.037538495,0.03964015,0.052432146,0.066897124,0.0035597198,0.01025866,0.029117212,0.08746,0.1276673,0.037815057,2.9937135e-05
7,0.055804458,0.024497503,0.25177848,0.0071899844,0.019110255,0.043634206,0.06047476,0.073233634,0.014029359,0.07389164,0.045647863,0.045502245,0.07720227,0.021275384,0.034784067,0.03521892,0.022054678,0.007217438,0.01001228,0.04961458,0.040674184,0.045701858
8,0.014163454,0.028356964,0.040008493,0.0914269,0.049049262,0.055961676,0.01140794,0.029136777,0.048474036,0.041602775,0.0052966746,0.0073786983,0.03702705,0.04825196,0.009120319,0.02236662,0.028628424,0.01476504,0.040203214,0.032831866,0.03509862,0.007035556
9,0.010158739,0.0114743095,0.14035323,0.08766592,0.050158177,0.023880403,0.0028044954,0.0072011845,0.03462837,0.19648427,0.02190481,0.020446999,0.026449002,0.021677112,0.012211745,0.014808372,0.01981552,0.021775752,0.006547507,0.017245118,0.01976451,0.0017203924
10,0.019860854,0.01307396,0.054552473,0.05090827,0.007904918,0.040753543,0.084400006,0.026230998,0.008880125,0.012934919,0.04405111,0.11136966,0.025717396,0.001985744,0.038287237,0.01599922,0.026213512,0.0024158065,0.008279643,0.0132355355,0.025091182,0.0066904575
11,0.008169288,0.042066082,0.021205418,0.018707259,0.011583567,0.023367006,0.018601026,0.022822207,0.026701352,0.0067081624,0.030186798,0.014369577,0.004894647,0.020385774,0.041124705,0.028562823,0.0065195435,0.0020304911,0.024060803,0.017242841,0.017769285,0.7115216
12,0.019844951,0.018586801,0.003535464,0.08602293,0.07970757,0.010988934,0.0072199046,0.07941603,0.01687112,0.05041843,0.018267782,0.03511367,0.008928793,0.006024481,0.019053938,0.021032155,0.012477999,0.01948639,0.012410197,0.16414541,0.051648907,0.03201356
13,0.037634905,0.013120158,0.037791356,0.019647071,0.006452023,0.07385699,0.01670124,0.0011834379,0.024370495,0.011497479,0.010737626,0.035541266,0.006831576,0.034839105,0.019646889,0.0006735816,0.014288651,0.031653635,0.009315427,0.00743109,0.034032416,0.008854356
14,0.02141826,0.027211454,0.048054323,0.021480488,0.020228872,0.027152669,0.015664542,0.0038430889,0.06278655,0.083619,0.07062489,0.06637439,0.2025056,0.0559246,0.021175368,0.057753045,0.051866814,0.08045927,0.114568785,0.028257694,0.00537235,0.00095975323
15,0.0393795,0.021132447,0.005739102,0.010521694,0.053174853,0.06192477,0.014753942,0.006807416,0.029060274,0.039084088,0.07972822,0.059882753,0.0178487,0.002689821,0.007533385,0.029095938,0.007900059,0.017376801,0.007269451,0.19512592,0.014140358,1.0328945e-05
16,0.044128872,0.014527634,0.0015107953,0.0043123025,0.016406251,0.03390398,0.0025570577,0.011035604,0.012252511,0.07131095,0.013560769,0.02318859,0.015320919,0.029021934,0.0069397497,0.0010665162,0.0056823194,0.024472063,0.019178368,0.011082195,0.02678104,0.011262441
17,0.0015117156,0.000777481,0.003737403,0.004154008,0.037009947,0.014407219,0.010252031,0.060741603,0.012906772,0.0055113332,0.042398453,0.06558623,0.14422773,0.029263426,0.005773644,0.0095370095,0.019475382,0.014290664,0.050433904,0.018532623,0.004774413,0.0015425533
18,0.002708998,0.0070112403,0.00895439,0.005515578,0.0031956616,0.001281562,0.0030512824,0.0081609255,0.019409806,0.013032197,0.004993508,0.04253076,0.0096511785,0.005555882,0.007957115,0.021474458,0.007977388,0.023409605,0.013435066,0.00944723,0.009607959,0.02421045
19,0.029412225,0.06664015,0.016630335,0.054715578,0.060529944,0.012217698,0.025385866,0.092020586,0.07052964,0.0667643,0.021163262,0.007513033,0.014172957,0.03047631,0.022475226,0.011682376,0.0015437909,0.016934376,0.047465317,0.02048261,0.008045044,0.003026454
20,0.008992704,0.042577684,0.023838792,0.052391373,0.020598479,0.0069693495,0.010295346,0.02011206,0.037332147,0.039809607,0.0085876705,0.010776375,0.003782745,0.0077919923,0.016097842,0.00856901,0.008924659,0.00363835,0.008529834,0.045103014,0.026104834,0.01594253
21,0.014107418,0.008220663,0.01593569,0.020232331,0.01790956,0.022237167,0.0054498836,0.005533007,0.02935557,0.03492343,0.030587403,0.019650694,0.0025558602,0.02214755,0.032837335,0.04958061,0.060773425,0.044431843,0.010842726,0.0035466335,0.020768762,0.069211796
22,0.07997709,0.046680488,0.015446855,0.011909808,0.00669425,0.005745866,0.023323782,0.03329684,0.01064547,0.0097249,0.027429564,0.017345708,0.008607063,0.021421978,0.0195758,0.0018999621,0.0082782,0.0072806226,0.024696384,0.006386459,0.024724081,0.01819904
23,0.022589728,0.0048646964,0.004785015,0.0021735672,0.003581652,0.007705554,0.005492793,0.0028236173,0.0046211067,0.016785521,0.054516334,0.050099827,0.015504962,0.0057580806,0.0037145326,0.034260467,0.07820256,0.033110753,0.038448587,0.019657891,0.010736339,0.015716448
24,0.02230563,0.18221718,0.12928563,0.04105053,0.049650602,0.02616681,0.019348303,0.016510034,0.023143383,0.026164046,0.017710421,0.03428242,0.006775389,0.0026608957,0.0043777716,0.015129451,0.0040249433,0.0015189344,0.0036572104,0.0036472287,0.0011962567,0.00061239296
25,0.006431596,0.0021044584,0.0048461915,0.0021582628,0.015017439,0.000585347,0.004206907,0.0026949546,0.000853888,0.0002776499,0.017436896,0.0034794144,0.008269093,0.0008881722,0.003845552,0.007797194,0.0011324558,0.00040017796,0.004279854,0.013804471,0.0017936047,0.0020522715
26,0.0016609234,0.0053141653,0.0039475067,0.004457873,0.005599639,0.012370349,0.0008143353,0.003080196,0.0019695535,0.0016812833,0.0016803442,0.0014629139,0.0013569169,0.00921432,0.00025324174,0.00018112286,0.004793286,0.008544005,0.005748676,0.003018819,0.0017801499,0.0025104107
27,0.009143253,0.006958459,0.0010896632,0.00057875604,0.0037644007,0.0055622216,0.00083088723,0.00091341994,0.0015684792,0.00017946446,0.0030976348,0.0007064268,0.0014736457,0.0019397177,0.0017041373,0.0015056321,0.0030673414,0.006703738,0.009688953,7.336019e-05,0.015744034,0.001978826
28,0.0019432949,0.0019302448,0.011045076,0.006848083,0.0020811968,0.0066576004,0.004984827,0.024452146,0.020710856,0.014938003,0.003571842,0.002054869,0.0064039906,0.011945242,0.015477759,0.0026157952,0.0019133533,0.002187792,0.0057532815,0.003166637,0.014423173,1.5842229e-06
