Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.40570801,0.7824143,2.80508,1.5860283,1.160406,1.4976858,2.21103,0.7743382,0.86843944,0.53651345,0.93665195,1.5188327,0.28319758,1.8627491,0.8181516,1.7524917,0.7833006,0.5433994,0.47299525,0.23172736,0.45583066,0.8138578,0.27980578,0.1656443,0.72131884,0.065082416
1,0.36334288,0.32702118,0.09389232,0.360259,0.352137,0.3268123,0.09902318,0.13829376,0.18350056,0.21478143,0.079173364,0.3498374,0.3879211,0.17980924,0.2752297,0.010490386,0.46668944,0.0069188345,0.49559414,0.16481428,0.059410453,0.22164178,0.7914297,0.3632169,0.01386054,0.026038747
2,0.014512894,0.030907415,0.1238499,0.07753168,0.02682419,0.314025,0.06960948,0.042383414,0.25342464,0.014778577,0.20337942,0.1662524,0.031768072,0.16942073,0.03216681,0.124189086,0.027219871,0.4234649,0.41816393,0.88913935,0.33026248,0.27430978,0.14909689,0.077058814,0.08762114,0.45344418
3,0.098610945,0.045976114,0.04237263,0.20956829,0.21817979,0.48174262,0.20877124,0.062634885,0.12555823,0.018652396,0.31452045,0.020270558,0.17908709,0.024797805,0.27177504,0.09118642,0.038817983,0.0401798,0.19176891,0.10584815,0.022654008,0.06421342,0.13100493,0.020896733,0.034306437,0.0653472
4,0.15602848,0.0765408,0.16568474,0.065074936,0.044652417,0.049206022,0.02610444,0.012179246,0.015104849,0.02108717,0.009899025,0.025293238,0.012237004,0.2867912,0.11087606,0.009199152,0.008746291,0.20197007,0.022475867,0.03566913,0.13855869,0.045934994,0.0064515094,0.008627395,0.010529379,0.2766366
5,0.15669692,0.22993267,0.222985,0.096479416,0.08136549,0.36952415,0.020852033,0.05824485,0.099595994,0.015160293,0.02364924,0.0034203362,0.00401072,0.037709646,0.107417524,0.043662086,0.037510734,0.015637504,0.0025108694,0.031746555,0.01655596,0.029522981,0.012821052,0.0081090685,0.054107107,0.013536029
6,0.07239309,0.029405916,0.10983138,0.04779743,0.013223379,0.015206996,0.0403355,0.070617765,0.034619957,0.038234245,0.0035364565,0.112078674,0.06647556,0.09441273,0.20657091,0.018905714,0.026656331,0.0024492699,0.038325608,0.013905926,0.0076479884,0.015652701,0.024750339,0.027214386,0.030829303,0.13755478
7,0.033028066,0.12237289,0.04717602,0.0194455,0.042320766,0.012024545,0.021415321,0.21826717,0.075387016,0.049325958,0.047669914,0.031186229,0.046193562,0.09147955,0.103395335,0.0932022,0.06861684,0.0898285,0.10779357,0.042652987,0.027699126,0.011145908,0.028349774,0.10636024,0.04887618,0.06983838
8,0.023545714,0.018183354,0.30387866,0.038236845,0.03203809,0.011750673,0.01482323,0.030704504,0.068172954,0.021165224,0.024948638,0.008300193,0.015269863,0.06626239,0.11911091,0.13856936,0.054781623,0.01030166,0.013924003,0.014416485,0.024323888,0.035314016,0.016347826,0.01688248,0.025987547,0.039032575
9,0.061733894,0.015293933,0.04751028,0.053132746,0.03916681,0.027561652,0.028641062,0.004883928,0.004067047,0.022259828,0.010968975,0.074910805,0.030909497,0.076380126,0.0040815603,0.011106431,0.0022405775,0.013609337,0.02842198,0.13585204,0.07058499,0.051808838,0.16382815,0.0024855954,0.026808104,0.12336795
10,0.04783795,0.049225323,0.0038562124,0.15694144,0.026412457,0.07235277,0.023823585,0.0052645775,0.033906646,0.11525557,0.08601337,0.013141153,0.033471644,0.015703823,0.052444473,0.04453514,0.0943016,0.14041857,0.09986279,0.023276595,0.043056674,0.03708253,0.006177732,0.026947102,0.016566321,0.062408477
11,0.044253446,0.025366325,0.012767857,0.004508027,0.041085176,0.0057452144,0.027995002,0.020401023,0.017337264,0.019707639,0.019136008,0.018729849,0.012611264,0.008663934,0.005212798,0.04378404,0.033659857,0.0037427365,0.013166456,0.0055706897,0.0012386859,0.029562013,0.024212668,0.11968464,0.03277829,0.031852752
12,0.013772255,0.01716161,0.017667161,0.021684058,0.0050884713,0.04324863,0.00211899,0.014262414,0.008335452,0.014022371,0.07421443,0.019838221,0.022523979,0.019473804,0.0146555435,0.03509143,0.032386333,0.03460522,0.020489126,0.004050915,0.0051561403,0.09786309,0.08874127,0.013088031,0.014265139,0.006840067
13,0.011290475,0.0028234934,0.0031984877,0.007542379,0.01385168,0.008253418,0.0059289047,0.0019740548,0.011677689,0.0052885916,0.010183497,0.0039670668,0.0030090837,0.0023860866,0.00086671417,0.0054424834,0.0087094335,0.049700826,0.0055727754,0.015011585,0.021100406,0.04955682,0.00788609,0.030831397,0.028828572,0.0074225003
14,0.0069422973,0.0022327285,0.008663498,0.00963824,0.0062427623,0.005016553,0.009619528,0.02382698,0.011150473,0.026000047,0.009190806,0.012133675,0.021524144,0.013364579,0.0021689266,0.022699658,0.007120908,0.0045225276,0.003957278,0.0126107205,0.015545469,0.006840378,0.043181095,0.008262186,0.0300341,0.02178449
15,0.0028066346,0.0033331332,0.01966303,0.010168591,0.06307387,0.016947132,0.023623092,0.007513959,0.052256916,0.0080392575,0.002930165,0.016626162,0.024791472,0.040595744,0.009333067,0.010043976,0.091407776,0.020424671,0.07508404,0.028975485,0.06530556,0.033656783,0.02138985,0.039502017,0.010530905,0.00220925
16,0.0010621429,0.0124170575,0.021188587,0.010867818,0.0033180802,0.09241323,0.05234079,0.018714441,0.021474913,0.03670571,0.0075445804,0.031988367,0.023273416,0.027948748,0.03171459,0.036185466,0.024850054,0.03155336,0.031485856,0.011594355,0.0025369592,0.005008922,0.019643832,0.002477473,0.024419941,0.004131997
17,0.0033248467,0.013160227,0.013186038,0.014871227,0.0086493045,0.020115292,0.023116944,0.0153758,0.0035793157,0.0047899582,0.080432326,0.007009208,0.03859054,0.0050424216,0.01619395,0.0023154016,0.009818937,0.014737391,0.024695933,0.0053819185,0.008867169,0.010502669,0.030178169,0.029850258,0.017509978,0.0030198523
18,0.0076895496,0.055024453,0.0152493315,0.046205517,0.0027221434,0.00216222,0.0024051717,0.003806477,0.000968976,0.00013511906,0.00091699715,0.0040862835,0.0013602973,0.015305627,0.0032925503,0.0068930304,0.002983525,0.01379445,0.02611123,0.03055262,0.0052076294,0.0060879523,0.008269198,0.016341424,0.032605026,0.011347435
19,0.015133812,0.004829309,0.001961825,0.014934642,0.01940184,0.010152571,0.007611124,0.0047132866,0.020367337,0.0090188235,0.030929167,0.008083984,0.020715969,0.029863944,0.06942077,0.030872678,0.009869336,0.0030583977,0.009925346,0.016077373,0.015280866,0.01197524,0.009765671,0.0031923037,0.0130922245,0.0027867118
