Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.62842363,0.6141868,0.29707223,0.070972584,0.53060925,0.15688144,0.26940405,0.16255686,0.2660674,0.5121502,0.6878172,0.25835213,0.27268234,0.36660677,0.11319823,0.4666174,0.2415415
1,0.5167612,0.34328496,0.30893865,0.68411255,0.14966567,0.130135,0.23517494,0.18633254,0.39174637,0.37022132,0.3476841,0.29031965,0.19715954,0.16484904,0.0010578238,0.0926756,0.02197069
2,0.31091052,0.110175595,0.11133544,0.06431407,0.08327287,0.06599128,0.39578247,0.17321815,0.2724475,0.060371317,0.77297884,0.11718933,0.13728018,0.061782263,0.05942851,0.14383708,0.031577613
3,0.060654514,0.18232857,0.279248,0.11877042,0.046706796,0.33357438,0.04731664,0.047962792,0.1398756,0.037636407,0.0031384896,0.028364256,0.056204125,0.06845833,0.04405493,0.109472655,0.004906916
4,0.046116445,0.012339617,0.4976658,0.019081727,0.007962506,0.020262053,0.022744846,0.040582508,0.052759603,0.018547475,0.036396895,0.05248536,0.056174207,0.0646915,0.06473787,0.025723163,0.038922198
5,0.019885661,0.032884415,0.04418154,0.027896555,0.028705247,0.053234383,0.018354792,0.030312777,0.08537552,0.0657281,0.62531817,0.04581928,0.044205483,0.025462838,0.021882731,0.0050533367,0.030354206
6,0.07185557,0.04898398,0.018564615,0.010268591,0.0234141,0.057371758,0.12373664,0.030752413,0.023977295,0.061557576,0.10999802,0.09608823,0.040650256,0.051669687,0.017778106,0.37215334,0.037428796
7,0.047376674,0.005109107,0.025451947,0.11076031,0.05633919,0.03850224,0.038138364,0.04523859,0.2744546,0.022614133,0.02419281,0.0017831251,0.014726587,0.022381991,0.0059703817,0.007909853,0.044417314
8,0.09022425,0.1389313,0.0468943,0.032012988,0.0069913184,0.041116834,0.0183648,0.0128975315,0.094964065,0.019543052,0.00697141,0.06020246,0.020400707,0.04846103,0.07139614,0.2040863,0.10854732
9,0.061808124,0.008072043,0.045361176,0.013391412,0.06132626,0.022007354,0.10634127,0.14679961,0.101808555,0.06974759,0.054985557,0.030205667,0.06043178,0.060548533,0.025110042,0.031030359,0.06899879
10,0.04282663,0.010852205,0.031675,0.08160159,0.057826456,0.074461445,0.048317287,0.049583305,0.0652922,0.20240547,0.021972448,0.056079697,0.025058778,0.032067426,0.025579277,0.07909745,0.007451721
11,0.05283962,0.026695605,0.022499979,0.013374947,0.039235692,0.0054138685,0.037157625,0.13078377,0.011622557,0.017077174,0.0124700405,0.011491695,0.027825058,0.057760615,0.041947294,0.021794721,0.10181693
12,0.08584249,0.028407674,0.24382234,0.11646759,0.063813195,0.050831087,0.03074937,0.07764733,0.006158009,0.069721505,0.010950201,0.032361306,0.10923149,0.02809927,0.038537804,0.008754062,0.019410765
13,0.030518439,0.0029616635,0.02191881,0.0030298207,0.014466325,0.038678493,0.017069178,0.034337923,0.0070940964,0.033147946,0.06915355,0.013775317,0.040503554,0.008900888,0.015514245,0.01952274,0.017570103
14,0.016574355,0.020709854,0.0749652,0.016260842,0.061341032,0.07165099,0.0062379804,0.05893217,0.06783722,0.051648658,0.07465181,0.004828736,0.0018472676,0.032095283,0.07206798,0.042084426,0.12070687
15,0.032181278,0.06344453,0.011194942,0.021452894,0.02981678,0.03188746,0.028878462,0.035889335,0.024313128,0.0067344443,0.026851028,0.009986047,0.049816392,0.052907247,0.05578988,0.041704506,0.0005179978
16,0.003277474,0.021575468,0.03511178,0.03079725,0.006686277,0.0315446,0.016355935,0.0015832181,0.007752022,0.012337582,0.017919656,0.0058843335,0.011175903,0.024213202,0.039703347,0.023978565,0.00015675377
17,0.0071792565,0.0024799055,0.007675511,0.0040497496,0.007914604,0.008247593,0.01770536,0.027325153,0.014067012,0.012552462,0.009261848,0.03562818,0.01179685,0.019119091,0.044815887,0.0078040594,0.037014358
18,0.006919519,0.017683052,0.017068876,0.0155307045,0.005615144,0.018006897,0.010589244,0.012261003,0.011201588,0.007644669,0.02001809,0.0058949133,0.0078654215,0.003845953,0.021851147,0.012685768,0.008316222
19,0.0092563275,0.010714793,0.038322315,0.08010352,0.07255605,0.008717832,0.0074166893,0.055973515,0.018319976,0.013063611,0.0024353855,0.013073139,0.020621736,0.0059868013,0.0045678606,0.036724,0.049011704
20,0.04891765,0.0065690354,0.022533197,0.021030072,0.033499263,0.013594948,0.00575596,0.049705327,0.03670811,0.07578732,0.06503056,0.0050559905,0.017163055,0.03167849,0.019852288,0.022569552,0.0084682135
21,0.006641431,0.025032496,0.020512545,0.025407452,0.009557701,0.00535541,0.0022056117,0.0073683937,0.03814938,0.028702563,0.022928381,0.0043044537,0.009754682,0.0029018733,0.012800598,0.01208087,0.022220314
22,0.0058412417,0.00026290695,0.0010517542,0.008023432,0.046738908,0.006333811,0.0058926553,0.0025292311,0.0019363766,0.005725608,0.013060907,0.009575877,0.009224072,0.008219945,0.004303571,0.025097016,0.024951944
23,0.0061312723,0.0028388659,0.009240316,0.004658527,0.0024614453,0.025588267,0.0072990153,0.0072542196,0.0054821065,0.014720775,0.0013922784,0.0075040385,0.0045718043,0.031937756,0.006744206,0.0048862672,0.0037889802
24,0.012242906,0.011570747,0.004292854,0.0440302,0.054226194,0.011005402,0.009392755,0.017578704,0.04194517,0.026757259,0.018682512,0.010308269,0.0055785766,0.007265866,0.0066281175,0.029596873,0.011054144
25,0.0039881575,0.0041246484,0.004271318,0.007821651,0.005062877,0.0036719968,0.0070049055,0.0019559818,0.014111367,0.0042378576,0.02474295,0.005943555,0.019384658,0.009211873,0.0011114775,0.0036869547,0.002789395
26,0.016510384,0.0070589073,0.0032876967,0.053629406,0.037667163,0.0602687,0.1306936,0.032243945,0.018495046,0.007933429,0.023788814,0.06553814,0.04372318,0.014554344,0.002518077,0.0063140173,0.0009610606
27,0.024867134,0.018707242,0.007763249,0.0017357765,0.023336634,0.043595094,0.027443018,0.023741143,0.00807334,0.0022256535,0.04719907,0.0295913,0.010928487,0.0037731475,0.027854718,0.009600107,0.03241629
28,0.02132674,0.024722163,0.012514391,0.015794873,0.007174548,0.009046335,0.0107282465,0.0070707737,0.006404729,0.007214913,0.018897146,0.029362977,0.010507053,0.035629366,0.013677275,0.019221388,0.0079043815
29,0.011538491,0.009700654,0.014930258,0.003290195,0.010515682,0.008778197,0.0039736214,0.012436344,0.00931201,0.0021188555,0.005894647,0.0029759323,0.0062597143,0.0020785392,0.004478267,0.0033661332,0.00021598069
