Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.9856326,1.083008,0.7313294,1.5007491,1.399301,0.1915606,0.5653558,0.7000082,1.302269,0.88175416,0.30000216,0.5253163,0.7729974,0.17863639,0.36900982,0.6940785,0.63760185,0.7507723,0.13172452,0.21170765,0.17281878
1,0.1276724,0.46805337,0.39603192,0.14764917,0.21005046,0.561815,0.09512776,0.009790181,0.20511049,0.29054633,0.5844584,0.14242856,0.54597104,0.34102714,0.16015053,0.62017417,0.28149015,0.12212311,0.2380431,0.29719672,0.49393722
2,0.349979,0.1728428,0.13879149,0.029239196,0.0301148,0.33094954,0.32026443,0.115237586,0.033925284,0.43354255,0.44677234,0.09711024,0.17390744,0.29531908,0.19660485,0.10794501,0.20258495,0.0359245,0.31937551,0.3640437,0.08243922
3,0.15753838,0.1451947,0.019989006,0.16911007,0.114207104,0.30628142,0.02047292,0.074264325,0.20049354,0.0072678826,0.076166704,0.0490601,0.02661545,0.20255665,0.045402132,0.030785117,0.06924181,0.029267613,0.15139017,0.26487502,0.22181349
4,0.21183455,0.036728702,0.12884639,0.025910594,0.026606064,0.08630223,0.02775262,0.035543278,0.07971083,0.017992787,0.065419994,0.07941377,0.0749233,0.0025378503,0.42223173,0.21761736,0.52251554,0.24627754,0.014679578,0.053329803,0.11491689
5,0.18949315,0.14050275,0.1406577,0.37861788,0.027021954,0.11513001,0.019587617,0.020393854,0.03226738,0.026741948,0.050544716,0.08948262,0.013189219,0.07280798,0.07321021,0.011546725,0.049077746,0.29554754,0.08887868,0.08137077,0.049978223
6,0.027351486,0.05377966,0.04048439,0.12830837,0.027610928,0.02882979,0.021127176,0.029858928,0.037193157,0.13331926,0.042101007,0.054297723,0.019183557,0.012892818,0.0063184816,0.008154979,0.0054037413,0.062063143,0.20409116,0.10481325,0.04731449
7,0.12646377,0.019621499,0.0024502594,0.010298572,0.013054617,0.01881139,0.022794437,0.03697888,0.055193268,0.02284069,0.030739153,0.027689211,0.025449745,0.0032795062,0.03297919,0.023584511,0.05183816,0.024549168,0.02917077,0.025904572,0.002600472
8,0.0018806943,0.024249092,0.059034016,0.0100655835,0.039749913,0.056707658,0.011173449,0.1213418,0.046736978,0.016675055,0.014457671,0.0020246317,0.0063025453,0.008529984,0.035675842,0.010899984,0.020507392,0.04079694,0.08995639,0.008574333,0.004862795
9,0.0035626786,0.023369532,0.0441342,0.0034268133,0.098752335,0.019346144,0.03774941,0.005499465,0.0075331135,0.076596156,0.28773493,0.16591494,0.05800044,0.041386396,0.049075115,0.08046329,0.059642684,0.055070076,0.02279533,0.110803485,0.016999295
10,0.005861333,0.08951755,0.047842517,0.10030362,0.053661782,0.088689394,0.04725256,0.2182008,0.16927624,0.07234161,0.08784984,0.03824158,0.055141512,0.024268866,0.009193655,0.013263737,0.018111067,0.0077530863,0.020720117,0.057106134,0.007422544
11,0.010515981,0.024592925,0.029963339,0.053597342,0.015487229,0.013817111,0.07346851,0.1552899,0.1100142,0.008842989,0.03370458,0.03933032,0.07709222,0.065286174,0.00754599,0.032028932,0.041028794,0.022539774,0.14326233,0.030019362,0.04191111
12,0.06475396,0.081338,0.0580188,0.027972177,0.013916066,0.008234782,0.033488475,0.08103844,0.038034894,0.02833705,0.008577246,0.010781636,0.036500838,0.010280776,0.0033492188,0.009433342,0.0027689002,0.056557663,0.1416761,0.049675763,0.01031369
13,0.06302424,0.03749515,0.061342467,0.025889602,0.009616891,0.02867288,0.07890187,0.11082503,0.05562386,0.01152373,0.037260976,0.10985483,0.03381207,0.023386054,0.04021728,0.0043180743,0.0100125605,0.0314824,0.014261731,0.0046754563,0.030124381
14,0.066012315,0.12616055,0.040456764,0.011025863,0.03833252,0.072766036,0.046796743,0.020938758,0.02149165,0.03983415,0.015500296,0.018420082,0.019023053,0.009152698,0.009500492,0.003822289,0.025803708,0.0069772797,0.009139234,0.0075046793,0.0062864176
15,0.0110729635,0.011956122,0.009351838,0.023330482,0.005428302,0.010488211,0.059028346,0.012072178,0.015938502,0.017806776,0.0015405029,0.009183873,0.017439615,0.0029970896,0.0077316947,0.009233173,0.010320863,0.018722141,0.0013305616,0.024552742,0.018732533
16,0.016197216,0.013672428,0.01997507,0.0089917015,0.031662483,0.03728384,0.015896104,0.008920233,0.0088313,0.007598414,0.0059599048,0.012706298,0.006369723,0.0077086943,0.023329409,0.0018047163,0.012015667,0.008733288,0.0025174664,0.09079341,0.04213806
17,0.0010697937,0.009215488,0.045936152,0.0103187505,0.015542027,0.0057140016,0.008901054,0.01626333,0.019349247,0.006627388,0.01814037,0.05978741,0.030747201,0.035230972,0.010271009,0.0028228785,0.012191905,0.027727738,0.017596995,0.009941972,0.027624799
18,0.0313505,0.027875159,0.027067762,0.0024624052,0.014838783,0.021257427,0.030570872,0.02122663,0.0049435934,0.021285292,0.02766101,0.041528083,0.04247179,0.0014471198,0.005477211,0.011996858,0.039951123,0.014894137,0.03591858,0.02013474,0.0033935688
19,0.052410156,0.050834358,0.041527167,0.0361244,0.009101744,0.015835056,0.014135532,0.0142438505,0.047539752,0.07354087,0.012958435,0.0025652456,0.0045031058,0.028697526,0.017451312,0.011611024,0.002129599,0.006238121,0.023841992,0.022384347,0.027435942
20,0.005950953,0.002121528,0.03369149,0.047898002,0.014263287,0.031114465,0.003623589,0.0054184883,0.003717797,0.004506763,0.01345909,0.000655032,0.031406198,0.008381304,0.018319987,0.011484336,0.009740131,0.0015992126,0.0051545408,0.008218912,0.0036812418
21,0.014709537,0.010175083,0.010651372,0.006372898,0.003083902,0.021644417,0.022807356,0.042165272,0.036254335,0.020607714,0.001988458,0.0017917505,0.0046582967,0.005774587,0.020848548,0.0015745189,0.00375131,0.015476625,0.0064887796,0.0008056135,0.0046627983
22,0.0042532543,0.0015087903,0.002649197,0.002084921,0.0072482456,0.0054731476,0.0035725846,0.009472622,0.002955007,0.0010763953,0.0020384383,0.0014618323,0.0033324715,0.0178247,0.0026426495,0.0060554845,0.00536399,0.0055332123,0.0058970866,0.0029631837,0.0009663868
23,0.007091634,0.0033317287,0.0005654894,0.0017802994,0.0015230081,0.005038775,0.0076571726,0.004223981,0.005914095,0.0019944352,0.0091941785,0.002871018,0.00038910192,0.005992842,0.011184457,0.017702088,0.0013416631,0.007205477,0.004753933,0.0063931895,0.0043818844
24,0.009110198,0.023837242,0.0053862627,0.0020542627,0.009063212,0.057704184,0.014256146,0.010598965,0.0042656055,0.01279587,0.013354658,0.012831998,0.0025371308,0.0020067676,0.014684437,0.010550537,0.0049959417,0.0031146393,0.0032124831,0.011620589,0.0068981997
25,0.0022138038,0.0027512668,0.0015119317,0.004843937,0.0071770395,0.0099419495,0.010115337,0.0018177264,0.0062555056,0.0051271357,0.008969388,0.004446033,0.0130981915,0.006874037,0.0045296163,0.012764684,0.009064695,0.0028702994,0.00093121885,0.01104338,0.0013952089
26,0.017665688,0.0315254,0.039523758,0.0045978236,0.0016563397,0.005932987,0.015210036,0.015397647,0.0037224647,0.007865077,0.00879428,0.008040364,0.0071755266,0.0031083762,0.0058207028,0.0057486035,0.0021581256,0.002708604,0.012068592,0.012236686,0.023176342
27,0.010159051,0.012383755,0.002419468,0.0046133148,0.020995192,0.0022109738,0.0056919833,0.0050537456,0.011489047,0.0024891319,0.005420938,0.008143865,0.02303781,0.0072920835,0.00084999297,0.0060393927,0.018822657,0.009277493,0.00597985,0.00581757,0.007618053
