Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,1.8362205,2.29003,1.9295802,0.91826814,2.0957398,1.0462025,0.62208617,0.8290819,0.9079316,1.285274,0.84671474,0.5767527,0.47448432,0.83928704,0.5311235,0.6717105,0.7502922,0.59331816,0.63800144,1.0860472,1.1285715,0.23387036,0.5123721,0.12162638,0.32385167,0.47901314,0.12020272
1,0.018197648,0.3522663,0.15010798,0.11794522,0.108155295,0.057618365,0.21922396,0.18163502,0.058303997,0.056823757,0.17874411,0.23842977,0.5215131,0.35598207,0.23984443,0.3540286,0.13647652,0.0038606527,0.47235554,0.1285236,0.27226663,0.014212309,0.17413604,0.24482946,0.32051373,0.18765762,0.7223655
2,0.018393857,0.021950964,0.10016577,0.09647453,0.022194665,0.2865779,0.16232437,0.257684,0.19348857,0.17183003,0.16372451,0.0049770414,0.06306926,0.007191734,0.11177298,0.028630208,0.13436887,0.03649933,0.22081079,0.29336306,0.087255135,0.62756705,0.2991705,0.09008614,0.10966174,0.013958272,0.03973845
3,0.2606858,0.17678499,0.15566008,0.065641336,0.44608563,0.029153705,0.053673238,0.044924,0.14641967,0.09079624,0.15854448,0.038039416,0.0028987436,0.2008013,0.008452928,0.08558163,0.035161808,0.012346338,0.015370235,0.0034049973,0.14499775,0.031080754,0.023371596,0.16918942,0.02449197,0.017464586,0.0051328726
4,0.1451007,0.007977466,0.04785551,0.024203079,0.024092674,0.32891455,0.017780736,0.005729954,0.077124976,0.08011661,0.03658449,0.14624853,0.05328025,0.006994587,0.012635933,0.07689193,0.04633188,0.04826531,0.017636482,0.0043401048,0.01022387,0.013013862,0.02329212,0.01480058,0.08622502,0.10382251,0.003653316
5,0.10009691,0.003740431,0.12601736,0.0012903791,0.009739108,0.005740638,0.02928749,0.016289465,0.047085356,0.00904099,0.018035647,0.020643521,0.009173928,0.08826735,0.012981102,0.0031124956,0.0066011455,0.008353855,0.022493888,0.026859183,0.26591212,0.039241403,0.03598901,0.021245921,0.06451932,0.00442705,0.019921446
6,0.012343964,0.0026310522,0.16164592,0.0061850287,0.060482822,0.021702142,0.022591695,0.031602554,0.025682177,0.0122157065,0.045902688,0.028364396,0.004750274,0.117349535,0.031570412,0.0105260275,0.018452097,0.04059743,0.014939819,0.022998296,0.018412769,0.014611548,0.02064757,0.030355887,0.019811826,0.054602873,0.011601132
7,0.043482505,0.0010245993,0.03247101,0.009995749,0.0041784314,0.020355381,0.020629073,0.046625584,0.21898027,0.044641748,0.01607526,0.017637702,0.03779199,0.0059663723,0.038689643,0.046106137,0.031533692,0.018756427,0.06816245,0.018156324,0.01211076,0.010271424,0.026919797,0.08344486,0.032167725,0.010772459,0.002766653
8,0.006075606,0.031060465,0.019742362,0.019249704,0.049524058,0.038467027,0.10747628,0.011182024,0.0126040885,0.016791089,0.008140652,0.044099085,0.017080132,0.019663591,0.020654043,0.009987679,0.0147667695,0.0049107005,0.041130744,0.0032880493,0.021835094,0.048561204,0.028319087,0.024206804,0.041544057,0.017195687,0.0051490827
9,0.005546229,0.008312176,0.02613654,0.044465285,0.033947054,0.0634675,0.021126887,0.014303208,0.00040130742,0.016083775,0.006630473,0.016548505,0.021435153,0.009148619,0.01802135,0.050128333,0.002146192,0.0021644754,0.020734757,0.0023696022,0.015374167,0.022293638,0.008223927,0.13453627,0.024584875,0.03481708,0.20207132
