Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.5302567,1.9871238,1.2834198,0.6099863,0.59856737,1.6517621,0.6008611,0.6222251,1.2355251,0.7345917,0.31331834,0.3620361,0.62003803,0.96788496,0.5818527,0.25181925,0.2844172,0.16253448,0.527697,0.4706225,0.7104616,0.03691048,0.21741346,0.13115245,0.3603104,0.3214132,0.3956874
1,0.3095473,0.10301595,0.48641348,0.28693655,1.3426242,0.19855341,0.4454009,0.8048135,0.3194101,0.09026453,0.25285763,0.21938528,0.19125485,0.34819344,0.4297928,0.018506799,0.06362948,0.2835512,0.0965916,0.037608735,0.1258987,0.01712283,0.072758555,0.39281994,0.25412557,0.069520146,0.44430184
2,0.12113028,0.08225108,0.07652285,0.08393763,0.07658213,0.20168822,0.020261645,0.138719,0.075860865,0.20820536,0.14018768,0.24132423,0.26778322,0.11913635,0.42727914,0.093554385,0.21697916,0.04983118,0.17507939,0.1667568,0.23131034,0.17052537,0.019331822,0.2557601,0.029702652,0.068841785,1.1054721
3,0.08061087,0.047726832,0.00934846,0.08040428,0.28645763,0.22153385,0.058804803,0.0061438484,0.032262966,0.16976853,0.016702395,0.017242583,0.10627088,0.2469375,0.33866775,0.33418792,0.017929126,0.12852988,0.063116714,0.032842986,0.09403848,0.060195755,0.10371636,0.20491026,0.10459818,0.09562574,0.09002826
4,0.13694409,0.02083093,0.15194413,0.31736442,0.024748776,0.04319228,0.14899078,0.008251243,0.044786926,0.018335441,0.03780874,0.03734084,0.08296124,0.0627407,0.09573214,0.022380982,0.026885008,0.021602042,0.022578975,0.062023513,0.025111333,0.029317891,0.10201226,0.031586584,0.086276844,0.017709924,0.006452468
5,0.02273676,0.06699028,0.13744606,0.17112908,0.05527806,0.0033815608,0.16481683,0.09873079,0.1046739,0.22358967,0.13056174,0.12473765,0.2122924,0.035516944,0.011311059,0.03658633,0.07872731,0.124608494,0.09105769,0.06835934,0.016142918,0.038075674,0.0045020757,0.06850625,0.0352335,0.0982223,0.02827049
6,0.015507359,0.027383698,0.05968587,0.24692863,0.18191072,0.076386325,0.015348988,0.044278614,0.045743816,0.005026648,0.02333131,0.008942239,0.009206042,0.048565663,0.023451783,0.008727001,0.026571712,0.0057252883,0.018784622,0.042541195,0.043279793,0.03463475,0.020286627,0.08377695,0.060633272,0.10645506,0.05024553
7,0.023118632,0.043075047,0.015278588,0.00850792,0.020107988,0.026144017,0.036041643,0.03482003,0.02950079,0.01532932,0.040757164,0.013300324,0.013477696,0.074358225,0.043802254,0.015208957,0.016424624,0.041303754,0.028568663,0.031071154,0.030449947,0.010422688,0.037262432,0.17009348,0.017731793,0.0073958635,0.024987193
8,0.021916645,0.02482949,0.027255299,0.01198741,0.12202552,0.0026310708,0.014198782,0.14214069,0.06899148,0.017845156,0.03727965,0.04995474,0.053934567,0.02939355,0.22995578,0.0075063044,0.04746177,0.089667805,0.0638278,0.02003995,0.012031987,0.032549918,0.08138052,0.09008434,0.038922317,0.014886081,0.009955554
9,0.04073553,0.013172278,0.005045486,0.004165379,0.037421826,0.010018133,0.0064300504,0.0070659593,0.019329064,0.037419394,0.09883132,0.13085231,0.03784498,0.04121264,0.05899642,0.004599278,0.012085017,0.018794388,0.011368606,0.025037348,0.010611749,0.0059168627,0.008794922,0.0119671,0.03747227,0.01473263,0.0010818259
10,0.00896205,0.024827493,0.0062716897,0.032442387,0.014810038,0.016180323,0.01423575,0.054142244,0.013325156,0.03627561,0.11884636,0.12764266,0.13160889,0.09633816,0.014363029,0.041795418,0.026258279,0.14226714,0.06224882,0.048491023,0.010572711,0.007142269,0.006110931,0.033127315,0.009193799,0.031479836,0.005999527
