Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,1.7623594,1.504525,0.86218214,1.1462435,0.9117062,0.7159071,1.7394378,1.2016416,0.62094617,0.670111,0.78605956,0.94238925,0.8181098,1.2570596,1.45594,0.13568394,0.36692297,0.5258171,0.44459528,0.8142608,0.3637539,0.2238551,0.531832,0.23185015,0.5588409,0.30498666,0.18611047,0.5540421,0.09926732,0.17024343,0.3269652,0.3594968,0.4462593,0.43638873,0.27398634,0.017125096,0.16270062,0.13553862,0.15082802,0.1390597,0.21428299,0.1532966,0.28744608,0.20975575,0.11730267,0.120513715,0.18519925,0.1698686
1,0.095769055,0.094927505,0.2538712,0.5310106,0.0934807,0.048372343,0.1093138,0.038969968,0.19343479,0.45082116,0.040414825,0.34640655,0.20919359,0.14012453,0.018970653,0.19760627,0.3763744,0.014802469,0.26912814,0.15368825,0.4066477,0.50874746,0.2929858,0.15980963,0.09255426,0.14765435,0.1271607,0.13559714,0.20712364,0.11263941,0.27042538,0.060121648,0.053166155,0.18074769,0.031984687,0.18615444,0.47936213,0.37855437,0.41863495,0.16630162,0.17512475,0.34048402,0.10073739,0.104609355,0.23904282,0.047345918,0.17764215,0.32361725
2,0.4041674,0.04698696,0.0028097369,0.33119246,0.09525158,0.2176034,0.07440948,0.16815008,0.30676812,0.010287425,0.14633489,0.043502137,0.3014971,0.05171696,0.32594362,0.13056627,0.1187577,0.033261225,0.23607543,0.14888673,0.11568077,0.5241618,0.22145772,0.6156842,0.17240846,0.14500813,0.16468789,0.044157173,0.4308161,0.1912936,0.19727325,0.08431405,0.04546176,0.21733597,0.24551764,0.24707817,0.030054238,0.08690505,0.023822771,0.03179273,0.11921679,0.19279154,0.12562713,0.03958567,0.07789396,0.076858304,0.019114159,0.053127278
3,0.16973698,0.22484452,0.01957605,0.14721026,0.07561657,0.06142325,0.033176485,0.1745126,0.008163551,0.2687715,0.057547215,0.30453777,0.060843434,0.07866813,0.103268504,0.16625987,0.2843408,0.16523336,0.11826436,0.17690259,0.08427481,0.037810527,0.10713057,0.06370188,0.0729794,0.083676204,0.050468266,0.60259426,0.32524702,0.11161997,0.13316464,0.6777677,0.03284909,0.047367044,0.053942647,0.10103949,0.1926803,0.09576061,0.004580849,0.008262304,0.084534466,0.11393687,0.4394075,0.04626798,0.14539897,0.11001779,0.1433105,0.096855365
4,0.29156685,0.32375047,0.16372725,0.33445668,0.025701957,0.0077413237,0.22847974,0.1635949,0.089295186,0.052795593,0.20000833,0.051001478,0.08776046,0.030094134,0.049924172,0.06003061,0.042668093,0.05430589,0.01581864,0.009826959,0.006502868,0.0021182667,0.037402745,0.010167877,0.14844383,0.04082333,0.04689242,0.11769907,0.056892443,0.07963217,0.004227778,0.01295315,0.027911305,0.1569969,0.053323776,0.2929744,0.048774544,0.45485625,0.42368394,0.013349388,0.0055350787,0.026680563,0.014346286,0.10849555,0.536983,0.046052538,0.21700835,0.041018948
5,0.023264468,0.11865661,0.23197265,0.11122301,0.30019653,0.04190895,0.10683419,0.17014468,0.06917286,0.040623594,0.018176025,0.017379073,0.13293913,0.10567415,0.021136444,0.006412863,0.009893775,0.43448544,0.2266557,0.017651122,0.089188494,0.05905466,0.05695285,0.097722925,0.082371645,0.0034685112,0.0847055,0.061186753,0.027242096,0.060996033,0.023190252,0.13529609,0.08667879,0.08444028,0.11790958,0.060936958,0.011418956,0.08163582,0.046823476,0.08416776,0.062051587,0.023453346,0.017812021,0.009946634,0.03130823,0.01570033,0.027877728,0.018554913
6,0.026379298,0.031261712,0.10438523,0.042707115,0.03777138,0.079007104,0.08446503,0.20538193,0.12275126,0.047921255,0.018898452,0.060491003,0.024353888,0.18654667,0.43411523,0.0501725,0.013145611,0.012393984,0.029224265,0.032376215,0.036025863,0.042559497,0.020883873,0.17787065,0.031592846,0.0063844873,0.03612754,0.12582281,0.09349596,0.044194408,0.0427505,0.070759594,0.010076983,0.0075776866,0.01651449,0.018107088,0.022536052,0.0045686346,0.012593351,0.07575977,0.036645405,0.105651125,0.038367916,0.091614835,0.03719852,0.093792416,0.059650566,0.004856505
7,0.099381104,0.031532094,0.04855905,0.09136394,0.031121023,0.06397545,0.10258038,0.16094014,0.044072572,0.03386333,0.09707718,0.039656274,0.07833905,0.017810943,0.026706457,0.0024638486,0.023140067,0.12916864,0.082942605,0.076272175,0.02307531,0.029783271,0.023320258,0.0060394267,0.043263756,0.023274014,0.17992596,0.009064718,0.019238833,0.0029653774,0.07167138,0.039406598,0.044375993,0.0045083985,0.0059188693,0.0065801763,0.02671025,0.03552176,0.032157052,0.05104704,0.03010326,0.015980959,0.04968831,0.117809586,0.045461513,0.053094722,0.02512411,0.0047027734
8,0.080232486,0.060049918,0.011482738,0.024915176,0.05300424,0.056943327,0.050861374,0.0367656,0.07251744,0.084511265,0.0359739,0.1304041,0.022029985,0.03634226,0.073523104,0.17053093,0.024931075,0.002316894,0.0023307637,0.055240612,0.0050593764,0.048880905,0.07999706,0.04509345,0.029197402,0.0034341137,0.02829088,0.056604743,0.03805591,0.018567614,0.087490596,0.041976746,0.024212658,0.07739445,0.08425852,0.05358515,0.01170353,0.095062055,0.011900518,0.042644612,0.072880276,0.052581675,0.03820499,0.0584759,0.28025386,0.08370429,0.032731064,0.0894227
9,0.121328555,0.0346435,0.019249132,0.05702673,0.116697304,0.06550056,0.18319656,0.013873743,0.047091395,0.06098201,0.08458675,0.04130561,0.0019353812,0.03619522,0.020858627,0.013016496,0.048748866,0.027164875,0.046444554,0.039630357,0.03501734,0.028377851,0.12875313,0.21054783,0.11182961,0.14636084,0.04532466,0.046689063,0.020639375,0.1233276,0.043022536,0.029406555,0.084886245,0.021404555,0.028079007,0.014476904,0.022019234,0.039432123,0.06277555,0.06339182,0.101217926,0.038219165,0.07447277,0.20336136,0.08161062,0.018258022,0.03935472,0.019644007
