Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,2.7008338,1.4186046,1.9507036,1.5156212,2.1283987,2.2203975,1.3164803,1.9409931,1.0652884,1.4042836,0.7366711,1.3251092,2.034997,1.5001388,1.1464852,0.8987175,1.0353305,0.713666,1.2276905,0.75453573,0.62212884,0.29885697,0.7531399,0.29506403,0.5761159,0.8044322,0.94630027,0.34762016,0.2071251,0.11844494,0.7963833,0.4047544,0.106016256,0.024683021,0.49077678,0.29588372,0.38929144,0.09233361,0.6510218,0.071492046
1,0.2034789,0.29479426,0.22401401,0.2124066,0.25225347,0.12670875,0.44836268,0.024811333,0.14955464,0.06786309,0.08684188,0.17364801,0.030627321,0.077091396,0.05223032,0.3182687,0.039096553,0.069679566,0.11326253,0.43755487,0.35975692,0.07786569,0.12576039,0.09762703,0.14148727,0.2985483,0.010214622,0.24993771,0.0628472,0.30510437,0.44509512,0.046638995,0.17653641,0.101334386,0.076542936,0.062917545,0.03653027,0.028436271,0.21122855,0.076923296
2,0.013399094,0.065738924,0.05884209,0.017646369,0.013925349,0.002427767,0.03440723,0.05807203,0.072003506,0.0475206,0.009138312,0.3586004,0.38296825,0.03113453,0.23565571,0.055839844,0.12856996,0.14247102,0.12045011,0.14931463,0.12864433,0.07449709,0.14805609,0.13467933,0.08751124,0.097301334,0.020446654,0.02801021,0.024559693,0.004034784,0.09425046,0.24895635,0.018278088,0.022758503,0.26642683,0.15839702,0.05365541,0.018441854,0.11396207,0.062197484
3,0.023021193,0.16902721,0.04715906,0.04667425,0.1279532,0.02203121,0.027901642,0.031699352,0.042747147,0.0072612287,0.011095252,0.00994881,0.03249666,0.014010033,0.039078537,0.019021137,0.02288335,0.08196,0.062283337,0.03402111,0.2669243,0.06808129,0.02731786,0.11596748,0.0258177,0.028239261,0.014072789,0.049674187,0.02763937,0.02495494,0.26433206,0.0094391545,0.23081653,0.009295916,0.30197978,0.02666684,0.048387446,0.019942898,0.03594216,0.1257385
4,0.022305802,0.068234585,0.10546012,0.11238016,0.09988085,0.02909536,0.02496361,0.029096171,0.039438058,0.021904338,0.01502197,0.031457283,0.01299481,0.016010724,0.0112957,0.08715208,0.036430445,0.02432187,0.12868795,0.14551258,0.03558965,0.023713108,0.024356946,0.0078060986,0.040237993,0.06762101,0.07435191,0.036028404,0.077511,0.047741555,0.028515672,0.013398977,0.007583044,0.049937073,0.01850105,0.027018951,0.37496984,0.034561254,0.0110654235,0.083167866
5,0.05187256,0.07832667,0.23025851,0.15735404,0.021904543,0.0022532686,0.01007661,0.017014937,0.038650464,0.06582948,0.047575988,0.010925385,0.0415556,0.009206733,0.053845156,0.0099279275,0.03543983,0.014407888,0.003140695,0.14790314,0.17000133,0.073772706,0.12928611,0.11813073,0.037051093,0.00078833225,0.06150145,0.1904375,0.30216664,0.057426617,0.05128996,0.018066376,0.002988819,0.0396887,0.053325586,0.091585435,0.19878812,0.16595955,0.040531017,0.01611596
6,0.0356297,0.2577809,0.22770837,0.5529361,0.13950327,0.2781383,0.08273307,0.058035605,0.02014057,0.025737548,0.032209508,0.010809669,0.029118218,0.036244754,0.0118053015,0.043546632,0.11196326,0.17220747,0.27763999,0.04168956,0.040608466,0.06371404,0.013856666,0.03434326,0.039279215,0.06725227,0.116561115,0.026906583,0.04932806,0.017300487,0.049084052,0.067069285,0.05227611,0.12340672,0.045239747,0.029126044,0.01035228,0.032649737,0.12246524,0.02349604
7,0.015581692,0.006496301,0.07591234,0.008518149,0.060685255,0.09203783,0.06999108,0.04257866,0.0024449846,0.04634198,0.05666564,0.11808038,0.05897498,0.01644199,0.05208234,0.012498198,0.033690948,0.020126484,0.012653619,0.006337523,0.027614325,0.01508332,0.03414028,0.04557619,0.036239013,0.010748035,0.04206803,0.040253572,0.11447896,0.08064258,0.023423137,0.009310378,0.009392468,0.04309651,0.028663544,0.10125254,0.02110964,0.022984995,0.008601081,0.07366483
8,0.03469777,0.10973942,0.03456943,0.012578234,0.020995637,0.0105107725,0.090871885,0.022066908,0.016774658,0.010397075,0.011518824,0.09592423,0.105902664,0.06449079,0.029031565,0.006259001,0.007646681,0.007918544,0.005317848,0.026252534,0.024817862,0.012282503,0.011743106,0.05429612,0.107194275,0.103132166,0.018660601,0.0131193455,0.020614186,0.031898454,0.069889694,0.024044674,0.04508947,0.013948724,0.021775099,0.10672038,0.021869387,0.02817734,0.015993526,0.039310977
9,0.0053890436,0.011744928,0.0371811,0.04859529,0.004260577,0.0074486695,0.0095262965,0.0110031245,0.01160573,0.025208706,0.0022159768,0.017420635,0.081600934,0.058791522,0.023225391,0.008643951,0.030976243,0.06940806,0.040668394,0.003648892,0.014980797,0.058394287,0.04337652,0.0431775,0.14251629,0.040506165,0.03395484,0.025169998,0.010916263,0.097047515,0.0039216825,0.10541564,0.026293771,0.038831703,0.07949798,0.052641235,0.028175797,0.011844089,0.1284988,0.19685267
10,0.03327012,0.07877806,0.04288417,0.035486177,0.021931252,0.07480001,0.027766282,0.008492587,0.033845734,0.013215249,0.041222747,0.045190178,0.037997782,0.0055162124,0.001284206,0.013911556,0.0101713175,0.07102493,0.102703474,0.08659362,0.10698292,0.14339419,0.14243934,0.07648325,0.067156956,0.025804048,0.06846415,0.0048202258,0.0011793457,0.020231606,0.002537184,0.02753491,0.14978994,0.026908092,0.08399861,0.029097209,0.045565844,0.04361932,0.008112324,0.019966349
11,0.003030281,0.011919189,0.014707782,0.0119733205,0.021639932,0.016465109,0.047169156,0.010489399,0.047237467,0.021090923,0.01907873,0.018590204,0.06459365,0.027652774,0.009029064,0.0021936612,0.004371218,0.028350506,0.015646756,0.025565147,0.035540093,0.003248978,0.0117147295,0.016642453,0.002051897,0.046408504,0.04160629,0.028679185,0.109043,0.018457213,0.052838318,0.0392659,0.0033552372,0.05943629,0.020142986,0.064625904,0.10960124,0.0336582,0.026844602,0.019975701
12,0.043787967,0.11224689,0.027439535,0.0331259,0.056659203,0.002550821,0.035665367,0.030512348,0.06084327,0.04912705,0.017847553,0.0198017,0.02077327,0.032984927,0.015276223,0.04746393,0.0053335796,0.0374477,0.07555834,0.020905651,0.0045115245,0.012499978,0.022022828,0.009196673,0.0058427127,0.036988616,0.051039383,0.0039753593,0.04978259,0.047821265,0.027203405,0.03606248,0.019855874,0.020718846,0.0050653876,0.010561708,0.005521044,0.02146887,0.012582425,0.00096950773
13,0.007582867,0.0513793,0.011083931,0.0022930393,0.036281705,0.0077360654,0.004557695,0.0102191735,0.0114,0.0026275157,0.00946553,0.0058162333,0.022273373,0.04225243,0.04165999,0.023332257,0.016637404,0.010574443,0.030701976,0.020705432,0.047254857,0.02968313,0.0036320954,0.0054366817,0.07499677,0.078796595,0.049442388,0.05805181,0.031675823,0.015020761,0.006393967,0.01098716,0.04671029,0.0071305986,0.04069137,0.008351126,0.015191956,0.009415588,0.02707856,0.009958322
