Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.9406731,1.1229432,2.2445884,1.4410229,1.2565982,1.6521673,1.3475025,1.0524278,1.3972242,1.4316598,1.3693578,0.15439631,1.061214,1.4092332,0.27141628,0.99224836,0.8319831,1.0096915,0.8131405,1.0631882,0.28232145,1.0099614,1.1803031,0.79847246,0.42347783,0.44788855,0.12530686,0.35281593,0.20788105,0.033328243,0.05726644,0.3138363,0.0016149337
1,0.09693483,0.0065570828,0.4961198,0.2295825,0.17716229,0.09995379,0.42088974,0.4880377,0.027884223,0.32723472,0.08640769,0.30275658,0.37193874,0.21935934,0.4348686,0.025383804,0.017332826,0.1733831,0.036559783,0.37111902,0.07404119,0.10411157,0.10310547,0.49810785,0.26643455,0.29147053,0.03037626,0.11180014,0.2106256,0.5642791,0.5365522,0.045089394,0.38174096
2,0.25903228,0.16344269,0.2974862,0.1769696,0.032446746,0.33980122,0.07624737,0.07346004,0.0408706,0.03776369,0.17868538,0.15594761,0.02795168,0.116040245,0.1677527,0.27736384,0.40079442,0.05851765,0.33570224,0.17384502,0.09070441,0.0742118,0.24967796,0.041646592,0.2718799,0.2833652,0.4156391,0.16462341,0.11975805,0.40615326,0.33065644,0.2048509,0.1458691
3,0.043438885,0.46240503,0.17877059,0.038880143,0.44539452,0.011592891,0.25576848,0.27696222,0.2422423,0.010490621,0.12110354,0.20580582,0.012280974,0.14909637,0.020156095,0.08094503,0.08758465,0.07001239,0.16822985,0.15134983,0.1921306,0.20577155,0.08802962,0.21381062,0.14780879,0.014165444,0.07608136,0.35011718,0.2851214,0.58987385,0.0047582574,0.47456294,0.058210745
4,0.40471256,0.22416088,0.011852769,0.16778693,0.067326985,0.009886053,0.06322023,0.0054815575,0.15094258,0.17492706,0.032836802,0.10837671,0.2563768,0.42476898,0.42693433,0.23531473,0.16378751,0.05837888,0.14407451,0.23134296,0.1288148,0.21196672,0.21706566,0.22607434,0.30908906,0.09243974,0.08047272,0.094062276,0.08865539,0.011882444,0.16526577,0.022032762,0.0037559853
5,0.058677964,0.010657275,0.08060773,0.04675003,0.23181698,0.09999939,0.06068045,0.060523115,0.29834977,0.07135503,0.0032590516,0.21201034,0.22216617,0.018858701,0.044619218,0.043021094,0.11805258,0.01086384,0.12411014,0.0813102,0.3187549,0.08634648,0.009294437,0.1983494,0.03433253,0.21701682,0.4757687,0.21455748,0.057053503,0.011221371,0.050349325,0.25448027,0.117617145
6,0.13525304,0.06049114,0.1678267,0.027560988,0.16066015,0.033930592,0.014074655,0.06938021,0.090572715,0.008202565,0.032273225,0.034021836,0.13006054,0.0476722,0.28675374,0.039029144,0.017738814,0.008077636,0.19834891,0.14326373,0.06033579,0.03620456,0.9198411,0.032707803,0.04791114,0.041281722,0.027300572,0.023273615,0.06500035,0.02334073,0.07851896,0.044257548,0.12112833
7,0.031692695,0.39609125,0.06890562,0.0046019293,0.008381252,0.007116911,0.031238811,0.038547285,0.031827368,0.0351643,0.056714285,0.041772764,0.012794685,0.1624215,0.036547195,0.018513123,0.06246425,0.026075136,0.03951343,0.025779486,0.08698735,0.042465426,0.056133464,0.030950557,0.044606093,0.016016254,0.018554665,0.05362192,0.23170063,0.13163628,0.05762984,0.12183881,0.0038789667
8,0.0056100227,0.024642292,0.011460828,0.022781298,0.007889587,0.013925409,0.019963702,0.2827576,0.018896468,0.06529371,0.031030625,0.07279445,0.14311352,0.023910921,0.20720685,0.03955028,0.025001869,0.013275015,0.01610371,0.030930575,0.004954024,0.0029298929,0.005098967,0.030440178,0.01848244,0.01605273,0.03387854,0.04784929,0.05222353,0.10759881,0.029226895,0.015366601,0.026778743
9,0.027364902,0.01857163,0.0039286064,0.035467446,0.04270286,0.0067884387,0.01797731,0.013584437,0.0199539,0.02574243,0.104156144,0.008032893,0.0067333304,0.004138508,0.022210212,0.010960678,0.00920799,0.003267617,0.003775341,0.029734075,0.097192325,0.2950753,0.041532826,0.031380422,0.0032784538,0.10776485,0.18645006,0.19007178,0.32114905,0.10282503,0.19517526,0.036679845,0.026334414
10,0.11857793,0.04937367,0.14939511,0.13865924,0.12548542,0.058885545,0.028100839,0.016139273,0.016918737,0.15200378,0.07543771,0.020902794,0.061527107,0.026492657,0.059403323,0.046939656,0.035034444,0.24597375,0.15683097,0.033013247,0.03338683,0.06416995,0.025188947,0.021732204,0.011869069,0.012383562,0.0021420463,0.03456884,0.048084747,0.027764343,0.06979441,0.036570083,0.080138884
11,0.044002905,0.03789699,0.012121815,0.019161783,0.30696237,0.058926042,0.040533356,0.070957154,0.06348745,0.0015974861,0.007578183,0.09066871,0.078750476,0.11399961,0.09437662,0.022618677,0.0136056645,0.013434255,0.024935484,0.010604212,0.04168524,0.022573682,0.0017431504,0.0109060565,0.15824533,0.009787291,0.002739395,0.016251395,0.009754532,0.050884444,0.02630303,0.011265498,0.11780834
12,0.0051483777,0.009434212,0.111290075,0.018164651,0.03793544,0.08105129,0.103699595,0.053554855,0.036663882,0.34164718,0.03000427,0.006220254,0.054724067,0.044011068,0.02268878,0.0022571862,0.007346756,0.02098326,0.010258409,0.029693801,0.011065058,0.021700703,0.06978602,0.02176015,0.021658767,0.034367952,0.006432973,0.010122106,0.10809766,0.08163272,0.0061846683,0.0139470985,0.0044439477
13,0.01929846,0.064979315,0.057206832,0.035645653,0.017186042,0.1005522,0.02672224,0.02466051,0.031399842,0.017719941,0.028216358,0.020427436,0.023200028,0.025075307,0.020526346,0.016725017,0.03654085,0.046555355,0.0063177086,0.012192427,0.008291706,0.01156982,0.009957641,0.3232107,0.08970545,0.031407725,0.043299392,0.06306208,0.017200764,0.020321542,0.022760153,0.027628062,0.015818158
