Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.40234292,0.35396838,0.31273764,0.17094386,0.49718735,0.033826046,0.6155718,0.18109877,0.7381399,0.22182842,0.2060398,0.371077,0.12287599
1,0.40779358,0.41345415,0.61906207,0.31553268,0.032680772,0.2552957,0.6500262,0.28160813,0.22970304,0.19564487,0.3374555,0.069466524,0.13733009
2,0.1407767,0.36387643,0.28115097,0.2729584,0.50040424,0.18993402,0.123242244,0.20398387,0.27815968,0.30527037,0.203521,0.3762324,0.09027614
3,0.14493439,0.435537,0.10342078,0.25391445,0.40168983,0.19875118,0.09075465,0.28213453,0.12727323,0.14209655,0.04474592,0.23008308,0.23932064
4,0.16567338,0.058347862,0.06808787,0.14413771,0.312153,0.07056788,0.08952634,0.20817421,0.062467743,0.08202231,0.15849337,0.10783666,0.14575876
5,0.031422425,0.05045548,0.042637423,0.091966465,0.046372183,0.013144784,0.027770668,0.056474477,0.01533097,0.11592905,0.04409251,0.09603487,0.3660676
6,0.1684161,0.065724835,0.12022503,0.013371714,0.07019799,0.11589199,0.07804959,0.034038134,0.054900162,0.017027127,0.10411498,0.037143048,0.032600816
7,0.02062537,0.030336067,0.004313708,0.010054903,0.024357948,0.007158366,0.027672123,0.068459,0.016773617,0.15244877,0.040972844,0.06194817,0.043605186
8,0.075194955,0.09429833,0.21053483,0.30707765,0.11155553,0.07018928,0.10137109,0.08779371,0.059044834,0.06543579,0.11342386,0.01082951,0.1176575
9,0.03066845,0.08624466,0.01647244,0.019842999,0.012336905,0.10992981,0.049482923,0.033980545,0.023969201,0.0006412338,0.021509133,0.047804896,0.037667047
10,0.10791439,0.06309543,0.012384777,0.017894542,0.015036857,0.006075791,0.06108272,0.03426315,0.022764754,0.024033897,0.026205411,0.01515452,0.06672259
11,0.016346056,0.008012829,0.012610754,0.061511636,0.05943659,0.020811621,0.027011778,0.0033167761,0.036520332,0.01616634,0.032061286,0.069747806,0.034688987
12,0.031604536,0.055731393,0.019343717,0.0043946076,0.46212748,0.12676454,0.010898264,0.03799896,0.08508918,0.1639571,0.12654406,0.028245896,0.039734527
13,0.05605494,0.116448715,0.01380468,0.00873928,0.03344062,0.035416417,0.0056971004,0.030417472,0.1207364,0.032426246,0.03116528,0.03392837,0.013833006
14,0.037788678,0.007794666,0.0012876369,0.020329418,0.055240344,0.01607762,0.012587149,0.11126143,0.1825216,0.07400698,0.020848973,0.022491116,0.044291433
15,0.074441135,0.06306472,0.021109805,0.0142761525,0.029826634,0.16339707,0.0665497,0.099134356,0.045328148,0.01684295,0.10323098,0.02784781,0.017983267
16,0.01475137,0.016947996,0.07358899,0.055684157,0.0169343,0.015488466,0.017627478,0.007675074,0.016615603,0.005020924,0.018369855,0.019147817,0.0077880686
17,0.00946683,0.011920501,0.013100413,0.03260376,0.034904096,0.030681597,0.010574917,0.027063493,0.008355691,0.0045088367,0.009298904,0.000579781,0.007237445
18,0.086721756,0.025350206,0.03104568,0.014267853,0.0060890457,0.009769046,0.027992455,0.008510824,0.023191692,0.030969562,0.031415656,0.008605196,0.025022216
19,0.029849274,0.06883209,0.056314945,0.05327359,0.019597426,0.009175168,0.029611496,0.066501155,0.042657334,0.011601402,0.05438909,0.0702171,0.029003771
20,0.07947529,0.018917974,0.013254929,0.05990887,0.017047215,0.023757078,0.007964696,0.036379408,0.04085144,0.009862725,0.033645846,0.024626212,0.016847754
21,0.026225684,0.031441823,0.009835787,0.009042131,0.04660663,0.008157658,0.003017489,0.056561045,0.07443544,0.06396049,0.045349948,0.01459463,0.053994995
22,0.049404003,0.10242435,0.0661185,0.03149228,0.010366191,0.015569037,0.012547673,0.0053442568,0.0149210505,0.0074753156,0.0024778007,0.03541964,0.10503069
23,0.084775686,0.13364166,0.027968083,0.026419971,0.012104132,0.026107382,0.036184955,0.032858055,0.017203528,0.014664741,0.031936295,0.004631771,0.016458016
24,0.025272993,0.015984822,0.014046833,0.0046115266,0.0061985194,0.012791975,0.0054800115,0.04460697,0.010961356,0.035477046,0.009995586,0.011535862,0.0147352945
25,0.0047432925,0.00766911,0.0014003182,0.0094273165,0.0343655,0.009723358,0.043316152,0.009648444,0.0008304029,0.016359724,0.005027483,0.0043291473,0.0010758669
26,0.011537581,0.011930903,0.006989016,0.011671979,0.01234166,0.012492004,0.014999192,0.004937101,0.0071571628,0.005777411,0.0026486753,0.007527286,0.011154534
27,0.008764133,0.0036383925,0.0038151783,0.005048643,0.0020668716,0.024039932,0.030378792,0.0058336193,0.012252818,0.05284968,0.019849941,0.031541493,0.002355563
28,0.0225433,0.035088856,0.02227081,0.0044430736,0.011507164,0.0038947999,0.005441623,0.020037986,0.00674719,0.012775391,0.0027796226,0.0032889107,0.0039380332
29,0.0007224341,0.0043344526,0.015436271,0.016422965,0.014503087,0.009036455,0.016835174,0.004938898,0.032351952,0.010144435,0.0071274694,0.024493033,0.041049354
