Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,0.0685356,0.031375546,0.23550606,0.2597642,0.23398581,0.482107,0.21908022,0.35269353,0.07920997,0.035892807,0.044084467,0.04345379,0.2713691,0.012955523,0.02540905,0.033377253,0.18985061,0.32855347,0.11662837,0.22028393,0.31248814,0.07540681,0.24788968,0.29530033,0.014212942,0.16133487,0.17738417,0.017523222,0.096808605,0.14483835,0.12897478,0.034246054,0.070928365,0.5670108,0.13368876,0.08453399,0.7137234,0.0091041885,0.1899609,0.017755743,0.32297078,0.91258645
1,0.21962169,0.08315955,0.07640025,0.02378324,0.3301203,0.1751324,0.030078731,0.2958163,0.03520149,0.16096595,0.13633914,0.15377827,0.034974866,0.5082276,0.38356617,0.24069759,0.025604345,0.04284145,0.113916814,0.15561244,0.077456586,0.025761807,0.031074539,0.38129848,0.025385663,0.02585177,0.33067504,0.07305032,0.12407579,0.018570922,0.012040777,0.46416607,0.13128996,0.019824402,0.07834946,0.008196179,0.10918199,0.31701666,0.032016225,0.12428588,0.036731046,0.031557724
2,0.04451732,0.1264549,0.08806607,0.11152373,0.048300985,0.034029484,0.17516094,0.03238041,0.14691243,0.18726166,0.06907216,0.24666998,0.31545505,0.028397938,0.1110835,0.17998374,0.010092929,0.08805658,0.08956371,0.021580532,0.0060042217,0.08844093,0.09801084,0.13892892,0.008082726,0.013135067,0.027521042,0.0597976,0.09637809,0.397627,0.07423875,0.33482152,0.09249123,0.13094074,0.008783618,0.21042892,0.205887,0.025217967,0.038884476,0.17307127,0.08393967,0.040572897
3,0.024461064,0.04148087,0.099001594,0.24550152,0.2144297,0.13419767,0.12423037,0.047194462,0.051722154,0.07866676,0.016205145,0.014581199,0.053507738,0.066563964,0.1324069,0.018389102,0.03781788,0.14038706,0.010907771,0.037800595,0.31712782,0.027253374,0.023259029,0.23025748,0.012873257,0.03891359,0.03942103,0.06829572,0.050995674,0.13090776,0.21789938,0.09435653,0.0020439469,0.017643893,0.11732526,0.007558781,0.13318306,0.04101921,0.05006931,0.047690257,0.0917983,0.008039639
4,0.07997986,0.12868477,0.034898512,0.0024025925,0.011038312,0.15654472,0.07376706,0.010970603,0.049603473,0.009321061,0.0029946011,0.07371828,0.07510961,0.066052675,0.002288449,0.018110542,0.03690236,0.034105737,0.09657632,0.12408376,0.021707207,0.09553762,0.053050376,0.089089155,0.060848642,0.093783736,0.061195508,0.06479709,0.09800959,0.017626557,0.09020902,0.08059803,0.02156907,0.065115996,0.06449483,0.0574752,0.030818075,0.019487582,0.27619404,0.008297291,0.10694435,0.034084097
5,0.047549993,0.0056994334,0.04022542,0.035438877,0.044331208,0.038546953,0.17557196,0.02101597,0.15110183,0.008493174,0.012322642,0.009399823,0.015598263,0.09793502,0.011836294,0.060438603,0.07469282,0.05360875,0.020364061,0.04341358,0.0673567,0.026638553,0.056661308,0.053255588,0.0326187,0.06980452,0.0023353533,0.044790056,0.029129546,0.20828483,0.015693093,0.045571577,0.026363144,0.017187808,0.05417058,0.049222253,0.03238618,0.004516396,0.028302269,0.12848595,0.048022307,7.4147e-06
6,0.15067424,0.056662343,0.12049484,0.022418074,0.031503666,0.10122092,0.11517879,0.01659182,0.020382613,0.18758547,0.07490443,0.122785725,0.09013742,0.007893473,0.20862043,0.11901613,0.061839446,0.2921327,0.19314682,0.05997642,0.089327306,0.015240651,0.1480115,0.06300616,0.059590302,0.03311964,0.031339057,0.06907553,0.017645037,0.07563605,0.10489958,0.057617687,0.058746368,0.07420108,0.046732254,0.014405328,0.04488743,0.05556566,0.011477016,0.0020136496,0.0057038236,0.0011251383
7,0.040378742,0.062402368,0.0050857915,0.020960575,0.010283335,0.07924345,0.0104228975,0.0044586067,0.009006517,0.018250532,0.051642515,0.015897319,0.041429125,0.008204517,0.00076966605,0.023143947,0.027185986,0.028154446,0.058724172,0.04922631,0.045629717,0.056669716,0.06849483,0.17544243,0.15259287,0.0094189895,0.039925866,0.04299902,0.14419645,0.17037076,0.123388864,0.10478948,0.044144183,0.02133768,0.09347157,0.05673071,0.19270332,0.023080602,0.025327504,0.012450917,0.009036338,0.0969462
8,0.0011206304,0.030878432,0.014551653,0.010785896,0.027159017,0.051966213,0.043887623,0.015327044,0.031234004,0.012332971,0.006991784,0.013480756,0.023835447,0.03441487,0.012091288,0.010650955,0.03715121,0.022313688,0.00905287,0.01275821,0.029525988,0.028542604,0.037613597,0.032000933,0.03344901,0.022533674,0.05222094,0.021521363,0.006413622,0.020133007,0.006543715,0.048545275,0.04801321,0.0063275606,0.090425156,0.02621316,0.12179479,0.028409777,0.0058141546,0.02050648,0.13036247,0.023576431
9,0.22485578,0.062155172,0.040963147,0.015125098,0.03191002,0.037029266,0.046774328,0.045863125,0.008175388,0.012161376,0.00675706,0.025620315,0.042207807,0.008970119,0.006004276,0.012629093,0.0065931324,0.00033456658,0.025456514,0.03921277,0.012697967,0.058665313,0.018268239,0.040881455,0.036111757,0.028585121,0.027437575,0.0037335071,0.015070108,0.13851765,0.04904017,0.013699342,0.04485075,0.024819277,0.033032242,0.04560451,0.12404145,0.00084681885,0.017309325,0.057185262,0.061514497,2.941291e-05
