Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,4.192699,5.426946,4.0357294,2.4723167,3.2547703,5.1272707,4.667227,4.309376,1.6958287,3.7241864,3.8709667,2.7951183,4.32541,2.8256507,3.4302192,2.4899426,3.1334605,1.6748943,1.8146003,1.8030249,0.7141216,1.8212329,1.7326397
1,0.28820387,1.0956266,0.85047066,0.7011462,0.77643615,0.2490859,0.5640272,0.24628514,0.04385843,0.012150961,0.6336458,0.38906977,0.17684853,0.019289482,0.19131136,0.09156908,0.14978106,1.2842269,0.7798437,0.20311776,0.0548881,0.016135294,0.046725847
2,0.18183431,0.0024067326,0.43039054,0.18613383,0.34401444,0.46904707,0.20627296,0.246276,0.051328763,0.36338216,0.043681268,0.2084125,0.17957816,0.19205028,0.2656544,0.52949387,0.3946057,0.03757096,0.28344247,0.25429466,0.529359,0.21895096,0.23228034
3,0.18290195,0.06911542,0.35878557,0.22687966,0.4573626,0.28949454,0.15323187,0.25868827,0.26226762,0.02352801,0.2439,0.6250517,0.12026611,0.27364907,0.040742844,0.05295623,0.09598377,0.7088292,0.10289438,0.43710467,0.036432892,0.0052757827,0.3989294
4,0.12214932,0.30724248,0.32781965,0.03623618,0.28154862,0.14698888,0.048019674,0.1886265,0.34944177,0.018916639,0.046521123,0.031736523,0.31735712,0.08014482,0.017531086,0.21020141,0.17025518,0.06982804,0.42049778,0.14891809,0.19330525,0.2074619,0.21105629
5,0.12500703,0.16910093,0.24108899,0.11620526,0.16860908,0.07603211,0.12640695,0.27308983,0.031444356,0.06626944,0.055326983,0.18064693,0.004808311,0.095993444,0.042546645,0.017429186,0.0295761,0.013682411,0.21744424,0.06393722,0.03776776,0.08611113,0.045348007
6,0.046511143,0.015958883,0.058812894,0.03221741,0.07858103,0.09851493,0.12710091,0.11562471,0.037396744,0.02035128,0.059434794,0.1605411,0.01941464,0.14343889,0.041317683,0.13963659,0.04981406,0.030841574,0.1228006,0.20034975,0.25900725,0.3144628,0.15018055
7,0.037779845,0.15627946,0.22880685,0.076354936,0.052025042,0.012008175,0.03982601,0.061981514,0.12714879,0.03490755,0.021439206,0.12989275,0.07523705,0.010614431,0.162206,0.1476677,0.04685765,0.14634836,0.061631665,0.02507797,0.0781201,0.032517716,0.093749076
8,0.15128794,0.11711393,0.03324073,0.030816656,0.016475327,0.07162565,0.045996048,0.06371793,0.029015474,0.040337212,0.074369974,0.05002137,0.26598218,0.052803595,0.058895588,0.059226945,0.08146355,0.028134609,0.07645509,0.18755212,0.007748183,0.032735534,0.043425564
9,0.018876621,0.03162707,0.032522887,0.098453365,0.017965727,0.05744826,0.04440089,0.069658354,0.02049085,0.015190737,0.017726412,0.13835707,0.08059935,0.09826727,0.030485269,0.052639768,0.08208704,0.16910432,0.07857274,0.17987746,0.08682197,0.010270795,0.009656941
10,0.019154757,0.08402888,0.07320107,0.053838298,0.021292653,0.017363476,0.013695408,0.02700986,0.1675236,0.06679996,0.0394385,0.0045380495,0.08639695,0.099298775,0.029703634,0.023465028,0.088483855,0.079856865,0.054062154,0.022878472,0.0105610285,0.06270055,0.012020738
11,0.08029172,0.2801269,0.02153417,0.018581161,0.030814866,0.07763248,0.026058912,0.007281094,0.0101601975,0.020269169,0.051151045,0.04925663,0.046391636,0.01541191,0.080434084,0.014627181,0.0144694215,0.06247662,0.14270517,0.100577764,0.10526466,0.059051,0.14118314
12,0.09518778,0.06923828,0.012556154,0.039320104,0.021236423,0.04215254,0.02567678,0.110890836,0.10729638,0.15908027,0.06877573,0.041870724,0.009345628,0.10522826,0.08927094,0.12716566,0.100879885,0.028053753,0.024557853,0.07467216,0.02916612,0.19940108,0.08369681
13,0.07640036,0.017647233,0.015570197,0.015191715,0.008515483,0.054936577,0.051945172,0.04612333,0.038212746,0.016296659,0.05457659,0.19679213,0.10980363,0.024004638,0.02969481,0.046097536,0.14156382,0.10938746,0.31192076,0.022367552,0.038875226,0.0117161935,0.21697219
14,0.07489048,0.089902274,0.09744404,0.013544591,0.009324532,0.029162556,0.035771634,0.31310782,0.026414013,0.014297064,0.022428893,0.03285967,0.09998377,0.04123266,0.019109324,0.02286783,0.039740883,0.025080437,0.012933167,0.018953934,0.011111084,0.026323386,0.014155639
15,0.023823112,0.028378263,0.0060774246,0.013267384,0.022357037,0.031472284,0.07962349,0.019138614,0.03210219,0.020990657,0.023330782,0.013861589,0.013783657,0.014312771,0.01650476,0.06349681,0.01723843,0.02039354,0.15479441,0.029284257,0.011038348,0.009936634,0.0127264215
16,0.099655986,0.017408056,0.021919487,0.029058684,0.055227637,0.047693204,0.010377521,0.12212329,0.018833231,0.011150303,0.0039876914,0.027144765,0.051123507,0.0044498052,0.040940095,0.026215335,0.027974553,0.09528065,0.05382523,0.00242144,0.037183564,0.014726751,0.09289335
17,0.0039951643,0.053571243,0.071800865,0.23962605,0.026384585,0.014611265,0.01600144,0.01259741,0.0777444,0.046745665,0.06034136,0.07481843,0.028827406,0.00482318,0.05170299,0.054599866,0.050598033,0.16334026,0.13640574,0.14707287,0.024865123,0.0025571557,0.045393813
18,0.025681475,0.011190932,0.020608816,0.022525452,0.009577805,0.034741342,0.023287002,0.013843699,0.014762271,0.0056111403,0.022318263,0.03787083,0.0065427544,0.029418353,0.013668788,0.014941664,0.0091800755,0.022017242,0.002479771,0.14811532,0.008780981,0.011787868,0.01214679
19,0.023644665,0.031806905,0.008114787,0.008570638,0.021556988,0.12029613,0.042709798,0.091624744,0.11036195,0.026008094,0.015448332,0.025631009,0.055783704,0.08642397,0.05058521,0.060561895,0.032374438,0.03199123,0.003095238,0.009944789,0.001300418,0.019923516,0.010087658
20,0.015230587,0.030607728,0.023424076,0.046693586,0.021853017,0.0126992185,0.15461126,0.09521092,0.11922888,0.16329877,0.06522707,0.112353176,0.0941575,0.013215091,0.006948376,0.049039356,0.043160576,0.085677356,0.016303122,0.01186663,0.007764091,0.013284985,0.047860585
21,0.04420785,0.001516964,0.013544133,0.02427005,0.004078502,0.017250437,0.020580728,0.01969923,0.006456625,0.004852663,0.21080452,0.008747845,0.009178812,0.0017318092,0.012935843,0.06577198,0.021063237,0.029426731,0.023400862,0.055418573,0.02570929,0.011320611,0.003271611
22,0.004045685,0.009540999,0.008857068,0.008844616,0.019448835,0.011220157,0.004697883,0.079539604,0.020291036,0.00042024354,0.0067512235,0.0078036683,0.02897094,0.030691354,0.0070159324,0.18312815,0.06711968,0.01804102,0.026350882,0.013592919,0.012517407,0.014056751,0.012480458
23,0.0404485,0.013342302,0.066525064,0.0026844896,0.020673309,0.0024863482,0.005514485,0.0012290924,0.029683974,0.010634243,0.09888847,0.017249515,0.009129587,0.0038070348,0.008135017,0.039235957,0.04554326,0.055744324,0.06829899,0.004637774,0.00992728,0.265017,0.011627564
24,0.011227932,0.0018091399,0.0064639514,0.008789015,0.0077835387,0.024928002,0.0072469506,0.011513104,0.0055341725,0.019620005,0.0015822682,0.029118149,0.0020226908,0.0076305512,0.19446145,0.0060984157,0.002515801,0.00786023,0.009391839,0.010444146,0.011595069,0.035253573,0.02872245
25,0.02534429,0.006552747,0.0075582624,0.009037437,0.03135892,0.007848856,0.0027265889,0.008147737,0.011088787,0.008403719,0.0099918,0.00066226,0.003666357,0.04511141,0.014612436,0.0049286853,0.014377107,0.007111878,0.0018452017,0.005551487,0.012197489,0.11196305,0.02888533
26,0.00871888,0.02318529,0.008983981,0.12808141,0.0069715166,0.0033732553,0.022254273,0.055427674,0.018855972,0.0061857654,0.012601978,0.002195879,0.015845755,0.016608484,0.002040229,0.008955073,0.045778524,0.038673475,0.043752313,0.012080675,0.025912393,0.005242996,0.013973914
27,0.08431712,0.037352864,0.05813667,0.07624701,0.08784391,0.077422306,0.025893237,0.0027761876,0.029373502,0.033692352,0.018451605,0.070697084,0.064376704,0.07490757,0.04979565,0.027841317,0.0033402666,0.0064927987,0.023066837,0.009887188,0.047999732,0.004504879,0.010034344
28,0.019852981,0.014471168,0.01820035,0.020239145,0.009710477,0.0035884064,0.113647334,0.007409489,0.025551952,0.040071577,0.053998724,0.0248156,0.026925238,0.007327625,0.017318381,0.007101601,0.027164316,0.0388154,0.06646132,0.021051832,0.0023801373,0.019452058,0.016735293
29,0.017868591,0.04748962,0.017745955,0.0056765727,0.0035326565,0.001964944,0.008523995,0.0354187,0.020217296,0.0067724865,0.003448063,0.010664971,0.108632505,0.006094112,0.025362592,0.0030293602,0.0057086544,0.00845591,0.0053075785,0.0063244747,0.0036140063,0.0053799013,0.008622476
