Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2.3928404,1.2280245,2.0154662,1.5969195,2.255351,1.5427065,2.7569714,0.31939435,0.27836055,0.45887944,0.61273474,1.2697842,0.11794884,0.78681624,1.0871785,0.39597103
1,0.378843,0.32369763,0.046438977,0.29930294,0.37024227,0.2863329,0.4119202,0.32136017,0.2585581,0.9739286,0.33159015,0.19451748,0.7029041,0.7081063,0.31734928,0.6803322
2,0.18943228,0.49206227,0.18009718,0.20792031,0.34795555,0.58972096,0.12518334,0.6547897,0.42433882,0.4310628,0.19035727,0.114626616,0.09008438,0.21006906,0.20510459,0.0034577597
3,0.07634945,0.089243285,0.25973377,0.1452254,0.12041733,0.14135243,0.042780425,0.17977351,0.21084662,0.072131954,0.14578794,0.034550622,0.04972484,0.0686035,0.080970526,0.15957648
4,0.070296735,0.07290593,0.062091738,0.09698428,0.077515244,0.033202536,0.05511677,0.040835526,0.010161945,0.30204758,0.054851435,0.027910203,0.02706512,0.08164926,0.02900326,0.05396158
5,0.074499756,0.037035353,0.002273874,0.02154062,0.008404715,0.17781965,0.031550802,0.017110303,0.04037571,0.042273458,0.03174372,0.026098264,0.0062425714,0.06190802,0.16749784,0.10515678
6,0.03517263,0.01939084,0.044103093,0.10765612,0.09435871,0.14196749,0.07128593,0.051808015,0.03469456,0.06670503,0.016931832,0.059672102,0.031790994,0.268897,0.017137026,0.13358359
7,0.030276852,0.086340845,0.012693513,0.031137716,0.09259861,0.12096084,0.14475119,0.16131133,0.025769824,0.12457773,0.14860308,0.20310703,0.11911836,0.10476944,0.13943829,0.018053716
8,0.11997003,0.09262724,0.14303109,0.18715467,0.09576976,0.07763994,0.02096679,0.035957348,0.00027546985,0.01592363,0.0012601104,0.028483942,0.025586152,0.01434103,0.05699048,0.07668744
9,0.06947965,0.037470862,0.043764215,0.021886658,0.002931994,0.04453374,0.01005751,0.013224877,0.029089311,0.025505984,0.061600015,0.052977588,0.014993939,0.054626517,0.10964115,0.03035519
10,0.040170707,0.016129825,0.079173,0.10435967,0.024690226,0.07415877,0.02864887,0.004477114,0.093715265,0.0075032217,0.0283743,0.02178874,0.013316179,0.030835336,0.0035178752,0.011952009
11,0.01281319,0.03132474,0.056992255,0.032579035,0.05791869,0.01644832,0.013292795,0.011857215,0.20424332,0.03494008,0.14616679,0.056951344,0.008934839,0.06578534,0.03412861,0.07492618
12,0.01246964,0.039818622,0.03831225,0.044507384,0.023739869,0.026280385,0.06995691,0.039287336,0.1511056,0.13099891,0.02222538,0.09380119,0.063926935,0.016701257,0.16907775,0.006289046
13,0.05061875,0.07277987,0.047018588,0.08655352,0.06396741,0.018464046,0.027402531,0.043387413,0.048460905,0.020084966,0.022245128,0.04349865,0.0048208004,0.02198851,0.0036845629,0.003751836
14,0.010397821,0.014280941,0.10955475,0.073863834,0.03817122,0.0456257,0.019334316,0.020337407,0.0342728,0.019007355,0.031929307,0.0047319997,0.0030308694,0.005005334,0.0040876856,0.018299097
15,0.006104679,0.0128482105,0.006803159,0.015803397,0.025696304,0.016027793,0.0034814666,0.007724217,0.008408184,0.08361763,0.025770573,0.021056125,0.01847154,0.021562051,0.0023566415,0.028442388
16,0.0056662504,0.015059975,0.012902523,0.008702019,0.011516352,0.05413178,0.03291829,0.017318018,0.0087404605,0.016081551,0.072634354,0.038259823,0.0012239141,0.022330392,0.009172067,0.038861502
17,0.01827644,0.044016585,0.003478413,0.0034036872,0.017629,0.0012543136,0.012197707,0.01641096,0.008395687,0.005453994,0.01864147,0.07341179,0.010664891,0.0035455283,0.0142517,0.004937788
18,0.002531051,0.107989,0.032248948,0.008794169,0.009787938,0.014332105,0.027852435,0.04101572,0.01107486,0.0803201,0.059854493,0.06117324,0.017390285,0.0088609,0.06022809,0.02039951
19,0.080281764,0.006916366,0.009374229,0.024082042,0.014677797,0.040744364,0.013586262,0.005238233,0.040129907,0.031790376,0.027261244,0.027790295,0.008270485,0.008223638,0.024149727,0.017259795
20,0.00851802,0.00874157,0.008972146,0.009543864,0.029471103,0.020237874,0.015139737,0.023647767,0.0035908227,0.029071959,0.022643007,0.024429532,0.010553688,0.01789471,0.04855384,0.087833576
21,0.02439242,0.0160725,0.008638338,0.010893669,0.004836432,0.009253567,0.016975515,0.0069607696,0.011456861,0.011523427,0.011026508,0.0015003012,0.0014942901,0.005371277,0.014314631,0.008360467
22,0.0065089073,0.021990737,0.009133231,0.009198116,0.003617345,0.009791287,0.007924876,0.08391396,0.005308564,0.023943562,0.05158949,0.012680663,0.012789668,0.012536387,0.018318377,0.06645513
23,0.06192898,0.010121601,0.018576778,0.031364493,0.01521828,0.025132962,0.014111849,0.0036472732,0.010610354,0.021111444,0.004496855,0.0038417075,0.0042986213,0.007912681,0.003808025,0.017699145
24,0.022191435,0.017119711,0.003229364,0.009051666,0.004246235,0.00555848,0.0023640322,0.012792899,0.014225618,0.008335715,0.009439522,0.0041634683,0.008119812,0.027941478,0.0016317612,0.0020577845
25,0.0020835635,0.011550302,0.0015700434,0.0036340246,0.018646872,0.014539235,0.023340443,0.015236981,0.004582899,0.016191855,0.023590948,0.0035126042,0.013620421,0.0028614004,0.0027402446,0.003798386
26,0.017303936,0.014067681,0.003655674,0.0030222666,0.001651838,0.010114042,0.0027986139,0.012515493,0.021706019,0.032696877,0.02654552,0.015700154,0.02272065,0.0046268255,0.0124862455,0.0034026287
27,0.01689108,0.0489173,0.04770861,0.027540464,0.009124446,0.00082187634,0.019121854,0.078725174,0.004343935,0.007110924,0.013702379,0.0049057472,0.0058732196,0.014690146,0.005735034,0.028179267
28,0.038886163,0.032280557,0.017119369,0.024835974,0.0054181954,0.013238036,0.024496691,0.019776043,0.0023999251,0.0022845033,0.009090098,0.046918437,0.008164866,0.018254533,0.00851988,0.019471282
29,0.014374945,0.03575746,0.006550099,0.002190155,0.012594538,0.012359899,0.0025327718,0.008509873,0.011504035,0.0041195992,0.00049070903,0.019266155,0.024200642,0.0020305607,0.003255354,0.004682752
