Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,2.9184089,5.761874,5.1211023,6.8776264,6.7977242,3.6235673,3.7582662,3.1904755,5.54727,5.0889864,4.0394325,3.130643,2.6419933,4.0353823,5.1074333,4.656254,5.288209,1.9078088,2.1947734,2.2758021,3.5150146,3.0541353,1.4110675,2.8741739,3.3775163,1.6021137,1.7978451,1.9104278,0.87160265,1.3309168,1.2638965,1.0593435,1.3864052,0.238838,0.29133075,0.5043584,0.49810615,1.1685243,0.086190216,0.39440757,0.0960324,0.03365576,0.06420675,0.51799893
1,0.33166626,0.36983383,0.11138764,0.3898792,0.08421694,0.17330901,0.28030056,0.40336615,0.39740694,0.12498562,0.5567018,0.2925824,0.4268435,0.18673167,0.13627005,0.23854858,1.0288144,0.2588417,0.099029385,0.2176741,0.28205022,0.56682867,0.34853455,0.1985255,0.33350256,0.08352011,0.37094843,0.05216114,0.084582545,0.20282365,0.34722435,0.3936692,0.14931108,0.12982474,0.02057119,0.20581956,0.2673452,0.29728082,0.24051401,0.1760987,0.18620801,0.24337427,0.3115195,0.12540847
2,0.32325667,0.055152874,0.20919809,0.12350463,0.2988925,0.06593469,0.085788846,0.07197431,0.13146222,0.15315197,0.1252853,0.21724848,0.32884774,0.20092829,0.06409866,0.022107694,0.016581258,0.09903487,0.030981358,0.11112077,0.07221335,0.43183732,0.083609715,0.27406922,0.12679747,0.060137585,0.16063192,0.123597324,0.6096355,0.0031852003,0.062044263,0.06423479,0.16017614,0.12853321,0.28825516,0.05309041,0.09067318,0.12420454,0.41774142,0.055399112,0.040385276,0.22784293,0.07577158,0.0316799
3,0.11980371,0.40073484,0.103690155,0.28850386,0.21650687,0.24658912,0.21908703,0.08288098,0.0022667977,0.14910579,0.24457783,0.25036138,0.08233391,0.028090388,0.08397652,0.14870654,0.043592125,0.11017516,0.23171262,0.32052058,0.16798134,0.23194893,0.2100588,0.119072855,0.049899504,0.034598004,0.019782338,0.019570742,0.06699517,0.09412335,0.047976345,0.028683124,0.09039205,0.037575003,0.004884726,0.04034462,0.06950811,0.09259584,0.06413485,0.012918657,0.035369042,0.06410663,0.036262766,0.009938588
4,0.0032200748,0.07480608,0.126689,0.01331226,0.15727583,0.083292775,0.08987465,0.05852045,0.0916354,0.05468309,0.03305825,0.033081792,0.08655141,0.2649151,0.03999254,0.026446499,0.0076869233,0.09697826,0.053983126,0.1896023,0.08455939,0.10042841,0.02113724,0.03612265,0.038393315,0.06096461,0.019920627,0.06983428,0.051947657,0.035269868,0.08478022,0.033788797,0.02626216,0.017272793,0.08914629,0.30517378,0.030307451,0.03338479,0.031849623,0.093306206,0.04800824,0.0071648024,0.031463396,0.028683877
5,0.019023322,0.03090943,0.00081196206,0.016298737,0.06194497,0.048573643,0.088823594,0.016639456,0.020071484,0.17925878,0.1094212,0.09352042,0.0024675136,0.03800547,0.045848634,0.019294348,0.1948793,0.018602276,0.025364675,0.017337766,0.029585568,0.029178971,0.020204272,0.01771435,0.0094260415,0.01698834,0.06801835,0.1079393,0.008851329,0.07244615,0.010606524,0.048131347,0.0606016,0.10375815,0.13581118,0.10307613,0.020754024,0.111421816,0.23439656,0.12472837,0.06607395,0.041586958,0.023811448,0.02876757
6,0.027998364,0.012830034,0.010334656,0.0041818274,0.0469222,0.06547248,0.047555916,0.04337259,0.031088766,0.03614766,0.15758987,0.01711688,0.0347716,0.013492397,0.009506974,0.0070135626,0.041708477,0.01705341,0.024961578,0.022666145,0.0782476,0.033941016,0.02659983,0.052948456,0.036840484,0.03426585,0.00405792,0.068530515,0.09042086,0.07514602,0.15284848,0.0087117525,0.005392638,0.025573257,0.059074134,0.0848943,0.17878757,0.061231934,0.047368493,0.07526642,0.01797424,0.062009998,0.06453064,0.05921582
7,0.0075408323,0.011425974,0.026662447,0.006287323,0.021987488,0.0055390755,0.07067042,0.07376467,0.008999737,0.030390278,0.03100565,0.036090106,0.030854166,0.0069353646,0.009777453,0.011755707,0.036552027,0.014836369,0.026203223,0.026148802,0.07801358,0.01009857,0.011653202,0.008256169,0.03952043,0.031638596,0.026543153,0.07564369,0.04249352,0.009076837,0.011867671,0.07580294,0.019832568,0.019321589,0.0738439,0.0012168908,0.008134026,0.033937894,0.004756626,0.014801149,0.026710033,0.030779151,0.009487484,0.019133026
8,0.00834812,0.040758215,0.008797394,0.02799482,0.061565418,0.0018866907,0.04602146,0.030134445,0.010477144,0.028516285,0.04093735,0.013888445,0.061261646,0.028445479,0.055015597,0.003834282,0.086884394,0.05974183,0.012540543,0.005342761,0.06888919,0.017410245,0.014990166,0.015388291,0.05371921,0.037414666,0.02468776,0.0102945,0.017028708,0.022976562,0.043597292,0.07801035,0.023183476,0.014410068,0.017343208,0.0032712226,0.019175492,0.11024277,0.15287581,0.19034559,0.13973933,0.112984166,0.054928027,0.013331538
9,0.04534699,0.13671851,0.19826883,0.17058963,0.21456923,0.028451035,0.0868495,0.04508972,0.12595451,0.09819822,0.10665788,0.11303642,0.13518013,0.021449734,0.027300829,0.018191002,0.115993746,0.07479812,0.069979,0.023048304,0.043512415,0.09985083,0.0866346,0.021683572,0.06088843,0.008322385,0.08063438,0.092211045,0.051904745,0.012966083,0.011311351,0.009344127,0.046516042,0.05793994,0.012396016,0.014577055,0.022900566,0.03177117,0.026721833,0.058232248,0.041401044,0.008405757,0.024330936,0.0615186
