Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1.0819706,0.39083922,1.85521,2.8752918,1.0181478,3.189452,1.3175623,2.604138,2.1614354,0.53220975,0.7021338,1.9062209,0.8808938,2.3074458,0.915968,0.3043195,0.58370614,0.14241207
1,0.52548015,0.44875973,0.5142515,0.5243986,0.7526356,0.64151514,0.08780751,0.39792022,0.46730542,0.74936694,0.50737894,0.3956099,0.23477812,0.4975264,0.62149364,0.260467,0.23616236,0.39197245
2,0.45547265,0.84716594,0.42465454,0.17867471,0.17606655,0.52692056,0.2199531,0.48639545,0.48736238,0.5910015,0.12405707,0.19900903,0.48926568,0.28430268,0.007005307,0.14691088,0.7270038,0.6118779
3,0.42001122,0.068889946,0.29374218,0.056550365,0.4668341,0.026920687,0.6735283,0.5231693,0.46916008,0.5016953,0.27668306,0.47358793,0.2411066,0.5251533,0.641567,0.27544504,0.15545319,0.18185745
4,0.4414301,0.35592568,0.068562485,0.114023894,0.5470139,0.08549843,0.3008383,0.6091093,0.12759548,0.44642466,0.12904182,0.11325761,0.16253966,0.25657248,0.15416098,0.37271482,0.1647683,0.24208662
5,0.04945892,0.21302223,0.2978161,0.18697439,0.06580066,0.03539013,0.13037671,0.19679984,0.17432244,0.32612488,0.3340439,0.32915178,0.17933738,0.31892538,0.08097058,0.12545776,0.09125507,0.07592449
6,0.06387424,0.043522693,0.19646592,0.072380506,0.07272468,0.20601358,0.105551854,0.038377777,0.09427625,0.4003849,0.064509615,0.20338635,0.35716894,0.068531886,0.36211318,0.15102752,0.2606327,0.26578403
7,0.1859819,0.007959984,0.091139674,0.38007078,0.23275435,0.14505336,0.17048346,0.11572626,0.35195446,0.26224494,0.25510412,0.34763628,0.06578472,0.21667755,0.08606083,0.52255744,0.38130158,0.8416858
8,0.4427767,0.044174053,0.06732255,0.04183764,0.089741856,0.04651592,0.056200944,0.055552445,0.014310645,0.28637296,0.3712065,0.16601951,0.09651819,0.03417796,0.06445202,0.23042445,0.17969602,0.23497178
9,0.03661788,0.06809762,0.03961009,0.046071976,0.15127958,0.15640989,0.13945952,0.012430685,0.07523131,0.044813253,0.16595517,0.048810095,0.03935507,0.34243613,0.08930307,0.5448367,0.22587994,0.005533954
10,0.005883158,0.06959688,0.12607887,0.23795888,0.3187025,0.44746187,0.20906925,0.042925008,0.031056609,0.32711703,0.1288021,0.34467375,0.11872687,0.058706786,0.0199282,0.034315474,0.09533879,0.05635252
11,0.09759006,0.06058816,0.10236128,0.03676586,0.0066542285,0.18545294,0.07630401,0.067283966,0.04419367,0.013398272,0.061496064,0.061849587,0.54627997,0.09249967,0.06915455,0.043596733,0.07024783,0.4704878
12,0.045597102,0.036970086,0.06421503,0.22448257,0.16628712,0.08198245,0.050218243,0.019695671,0.1047615,0.097794324,0.058597427,0.045905985,0.37692696,0.06656866,0.022721697,0.040436234,0.058493927,0.008053208
13,0.07581614,0.011307645,0.42374736,0.056526978,0.1644086,0.09762268,0.05026137,0.00659544,0.10778655,0.18354055,0.11000173,0.10970625,0.05058546,0.033435322,0.04396576,0.018501982,0.06492865,0.059220184
14,0.02548244,0.021844963,0.011186524,0.018879585,0.04606463,0.37719992,0.021032233,0.013060862,0.036786374,0.045966327,0.060035016,0.017147698,0.019987367,0.015434063,0.10038042,0.01733138,0.040364705,0.010919752
15,0.011180586,0.045686007,0.009947119,0.023359543,0.13994366,0.10969965,0.120788395,0.06091414,0.06920728,0.046382837,0.04000566,0.089572035,0.1524305,0.063468136,0.05182173,0.024527904,0.03456401,0.107771456
16,0.06952104,0.053720664,0.0131630935,0.102032006,0.019074555,0.034581814,0.038150877,0.07911235,0.042768992,0.4371438,0.0062237135,0.039784603,0.14511369,0.059478924,0.061295506,0.0055078436,0.053258777,0.06270173
17,0.118204534,0.037679687,0.07317617,0.011007367,0.012649601,0.085329704,0.07143966,0.048557427,0.061938275,0.016587934,0.005938866,0.34827217,0.047721013,0.06266486,0.034344636,0.0057910923,0.043984428,0.076842725
18,0.028110497,0.011221505,0.008636239,0.0097398255,0.015044333,0.025672074,0.012587337,0.015819503,0.032734487,0.06329484,0.011462621,0.015952226,0.011602405,0.04862164,0.014758336,0.031071708,0.3039323,0.017433498
19,0.042889588,0.01836735,0.047481198,0.023275927,0.007942185,0.041522253,0.049533658,0.029960226,0.013594555,0.02902362,0.008721117,0.018130831,0.15096904,0.005773126,0.012356713,0.013555856,0.27369162,0.024525788
20,0.029092487,0.025487637,0.0045910794,0.010358197,0.10288343,0.14991406,0.016753504,0.16554853,0.02424795,0.04106482,0.024577815,0.03337031,0.036733773,0.008501962,0.010369604,0.039539546,0.07840748,0.004604147
21,0.17043918,0.07631472,0.06628049,0.015380842,0.015086835,0.00083260075,0.0027430952,0.021060761,0.013982696,0.04222117,0.0306293,0.012574654,0.009364314,0.0038841886,0.020571046,0.020623296,0.06349135,0.059160817
22,0.018222034,0.04112341,0.029087521,0.34738392,0.009574322,0.031014716,0.030707259,0.018603027,0.0051728897,0.01670657,0.025446728,0.026238991,0.044149455,0.012007796,0.019080454,0.018960128,0.031189699,0.007896814
23,0.014951715,0.0032351827,0.004455383,0.013640889,0.005972707,0.2988155,0.012519546,0.022606183,0.047986355,0.038173176,0.02434317,0.0037732893,0.01824154,0.0028522187,0.020221181,0.039922006,0.030845568,0.016092345
24,0.028244505,0.014832277,0.018437214,0.021932136,0.0031812703,0.01805481,0.002509409,0.016267147,0.010638337,0.010002382,0.013402452,0.005059995,0.009606112,0.021474175,0.37267977,0.0077461777,0.0026049567,0.0034915176
25,0.009500684,0.043355465,0.03421571,0.019076139,0.0014772797,0.0038586566,0.002500467,0.00861001,0.0059293504,0.03767908,0.0041478877,0.035209447,0.0034419205,0.29499343,0.005290309,0.005032005,0.0047745327,0.0118593965
26,0.01206178,0.022777721,0.0050166403,0.006433475,0.011556239,0.016562797,0.0071192486,0.007437084,0.0038526305,0.0046667685,0.00710685,0.0107434895,0.010628248,0.006404352,0.0113861235,0.04587558,0.2439394,0.020126706
27,0.00936649,0.19477062,0.045672663,0.03283183,0.035498902,0.01674515,0.012943586,0.067330934,0.059563685,0.026716609,0.020054469,0.029899161,0.018645156,0.009471979,0.024501907,0.021239184,0.004178744,0.021658285
28,0.012310345,0.0068185106,0.036247224,0.018807227,0.0049251337,0.017131815,0.026336912,0.0075428854,0.003447936,0.008902824,0.017721452,0.031410415,0.016692368,0.008286608,0.031372197,0.012728587,0.024211394,0.5659949
29,0.0027505078,0.0033592258,0.009269787,0.00857591,0.019021098,0.0056276186,0.0386488,0.010668718,0.07968539,0.036622558,0.03658545,0.046407513,0.0031341198,0.016773637,0.0019475066,0.013739027,0.23458803,0.01076503
