Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,2.4213624,1.4624168,1.5044862,2.7537498,1.3243454,1.5977628,0.83488524,2.4644852,1.7264392,0.23924418,1.852134,0.716378,0.9183836,2.064694,1.0077374,1.1572564,1.4008894,1.1311672,0.29050535,0.22734721,0.7356961,0.252792,0.54689777,0.36219388,0.085429266,0.41159758
1,0.542717,0.56342894,0.50417364,0.07361987,0.14014292,0.50132334,0.47284824,0.1570506,0.15882592,0.532989,0.29240862,0.11404489,0.23785405,0.16909724,0.21688142,0.0813362,0.36373132,0.40851888,0.26644218,0.62929714,0.54922235,0.48558044,0.7923534,0.27941757,0.43538666,0.65212375
2,0.12973171,0.13712658,0.21371964,0.32278824,0.10993977,0.15943182,0.35604265,0.21083602,0.57528245,0.23575145,0.21846573,0.2559594,0.11620677,0.21896738,0.09466525,0.18422896,0.1484398,0.15461642,0.17974032,0.24004668,0.14507927,0.16118903,0.056032654,0.1392332,0.069949076,0.07537222
3,0.033124432,0.23407167,0.074188635,0.15666631,0.071179055,0.18654685,0.037225835,0.14124337,0.09088319,0.06875919,0.034226988,0.19099124,0.058383435,0.03362436,0.0786919,0.06050563,0.028129801,0.020232633,0.08020157,0.058858924,0.09349572,0.12177051,0.013096098,0.07689679,0.01060718,0.003737298
4,0.0023851888,0.16868873,0.047392517,0.07134567,0.04288453,0.0026796751,0.06554696,0.08388592,0.06908733,0.20832504,0.04613462,0.008645897,0.111525714,0.028686564,0.015697828,0.019092003,0.0029963648,0.030543903,0.15289295,0.022914246,0.035254523,0.027934413,0.05085626,0.055158686,0.09106597,0.29520127
5,0.024256483,0.015568395,0.02295091,0.010826586,0.0139886215,0.02058007,0.01137458,0.020020934,0.0066616824,0.009317655,0.035367608,0.06878103,0.0145920515,0.034900784,0.014618009,0.028598431,0.04981766,0.058027145,0.017168425,0.04543622,0.025109708,0.068989575,0.0054970235,0.032563277,0.020787446,0.00019743545
6,0.04430802,0.045445174,0.0272667,0.01510953,0.0072404286,0.009361858,0.028986031,0.03054253,0.0094979135,0.0049303034,0.02859854,0.023931986,0.031319328,0.04342012,0.009977564,0.022392727,0.011585288,0.02075318,0.021833707,0.026754802,0.015307931,0.011202479,0.025043825,0.015266064,0.026247125,0.010749854
7,0.016021337,0.11454804,0.0042499322,0.005339983,0.0044823643,0.0090956045,0.05930935,0.02793591,0.039198957,0.006272792,0.019823877,0.03825245,0.050583206,0.010553094,0.051855855,0.009866649,0.033041805,0.009330019,0.053216252,0.025872748,0.027925357,0.008441631,0.021024797,0.049749862,0.03273888,0.06685164
8,0.07425178,0.061316863,0.01167462,0.029720569,0.03829056,0.011773998,0.02996891,0.012031417,0.020214384,0.002600892,0.06666028,0.01537756,0.0023256945,0.022563804,0.03870445,0.019135501,0.025740104,0.013087753,0.024273653,0.01912481,0.007615356,0.010651307,0.039795853,0.030898957,0.03902373,0.09030466
9,0.041555174,0.04754188,0.022648798,0.031637482,0.0026841878,0.022689853,0.015161858,0.047278583,0.06053539,0.013654845,0.04318115,0.029157769,0.0700702,0.05613128,0.06990351,0.056957167,0.014167223,0.040930323,0.0075835697,0.009673379,0.040708542,0.041122865,0.02746166,0.006879124,0.04146189,0.049649145
10,0.075385585,0.044851348,0.03055669,0.03359433,0.026253927,0.05308525,0.06367116,0.023523096,0.052517623,0.07812419,0.14691629,0.06490015,0.042256817,0.0036722608,0.043144286,0.038816966,0.021602023,0.018886376,0.10240241,0.089573726,0.1433443,0.021028921,0.017633723,0.008027601,0.01611595,0.09261127
11,0.004267731,0.0071454584,0.023640087,0.20699263,0.008591374,0.16925102,0.020621365,0.18116629,0.07527438,0.11032178,0.038766995,0.019032951,0.06613667,0.11340373,0.023464145,0.019860618,0.0121628065,0.022391675,0.022167217,0.006481873,0.042319953,0.01796629,0.0069032563,0.036255382,0.029800184,0.0024648458
12,0.03334687,0.007909426,0.019833576,0.02765267,0.011032,0.00916563,0.032829322,0.03499796,0.015358636,0.010250206,0.014469429,0.0022433633,0.009365657,0.01985384,0.03402762,0.0124569945,0.03927018,0.024652138,0.010930442,0.0022215534,0.0072935354,0.030961074,0.0051071043,0.021599613,0.057115875,0.05171445
13,0.015607802,0.013172582,0.012497271,0.02167619,0.016238019,0.0136124045,0.027329251,0.027873587,0.0045966874,0.02521842,0.014130896,0.01957381,0.0057637645,0.026890151,0.03633566,0.04923045,0.008863919,0.012592278,0.012744914,0.06354552,0.10678913,0.07648575,0.022472817,0.0068351883,0.025810357,0.008446704
14,0.01852274,0.011937128,0.0024212745,0.013485868,0.06906636,0.018603,0.0077870553,0.006777817,0.0052449373,0.010377748,0.004229473,0.033653516,0.0026576915,0.0032390219,0.009786438,0.009585803,0.0034759664,0.014514645,0.005797033,0.00354227,0.012243824,0.012178291,0.009676497,0.0060655875,0.017523237,0.0014624766
15,0.009185281,0.020310087,0.011489977,0.0039006507,0.012801247,0.017587524,0.029640203,0.010272196,0.0031375024,0.0025148764,0.0027106276,0.00286729,0.0053291367,0.011744194,0.018754851,0.011339918,0.047962666,0.031671923,0.014120342,0.04704181,0.027324392,0.007483564,0.003775433,0.0021961245,0.0115947835,0.030228859
16,0.0045320815,0.01273403,0.008714757,0.013534582,0.005590474,0.01441828,0.003441492,0.0049859527,0.0076876082,0.0046039578,0.0029984587,0.0065742675,0.004262982,0.0009954885,0.011142292,0.027287249,0.016362298,0.011837365,0.0029114534,0.020294882,0.005370646,0.014743917,0.014379989,0.02126902,0.028561499,0.0036852027
17,0.037083097,0.014365004,0.0004474413,0.018357145,0.006598653,0.025987677,0.008012574,0.016338412,0.006185485,0.038949825,0.03039223,0.02205856,0.0029379048,0.0075728884,0.019212518,0.019017719,0.005684102,0.011359593,0.022697909,0.017599393,0.025826862,0.037663717,0.029932672,0.06420748,0.010124595,0.009038067
18,0.008639323,0.013262465,0.0123061575,0.0043189796,0.0034864172,0.009115174,0.018268885,0.0012334492,0.008043592,0.0035811546,0.0053449403,0.0055540446,0.005084478,0.00014650956,0.0021043895,0.009285284,0.008002199,0.025477916,0.0040631723,0.0022960482,0.028044932,0.0276906,0.009854116,0.00726635,0.010166756,0.1277697
19,0.014600305,0.019528393,0.0017339578,0.005434187,0.021616116,0.0038745617,0.072141945,0.024663776,0.03112569,0.02111077,0.0060879197,0.0038281311,0.028963404,0.046780106,0.10964159,0.030438863,0.019370252,0.011952974,0.0030786423,0.022581652,0.018740533,0.0121555785,0.013105727,0.004545162,0.00553452,0.007945708
20,0.00422972,0.0018546532,0.0017232705,0.0064514894,0.0031044343,0.0011234704,0.0005944498,0.006775197,0.008024289,0.018008592,0.008581866,8.382498e-05,0.012421503,0.013184057,0.0023474563,0.0052556633,0.0036289631,0.016709432,0.02966278,0.020750977,0.0016819605,0.000914666,0.0031235078,0.0077368515,0.003433153,0.01583654
21,0.0034320625,0.0010606087,0.0034827874,0.0060996655,0.0024385576,0.0030650278,0.0037627167,0.00829754,0.0034642406,0.006990158,0.018057862,0.0039047387,0.006209295,0.012576775,0.012407109,0.0028442063,0.0040384666,0.009269832,0.011158334,0.0062028207,0.0026975388,0.0018471824,0.0033152502,0.0062730233,0.011871833,7.443693e-06
22,0.006882714,0.006820454,0.0082764365,0.026085187,0.014367133,0.008751802,0.022633445,0.004180597,0.0033505925,0.002687914,0.0111373,0.0061161504,0.015325831,0.0018385727,0.008049946,0.0043860613,0.0004931238,0.0265669,0.021443073,0.028339706,0.012928155,0.0105440095,0.012162073,0.018224275,0.0044744937,0.00087928947
23,0.00056254934,0.023039887,0.01657139,0.02876769,0.026259553,0.021430155,0.00421175,0.011736577,0.007352742,0.014044948,0.0039083865,0.0109626865,0.0041516493,0.0069211237,0.0014697007,0.00829206,0.013327994,0.008454395,0.007976095,0.0037129428,0.0077000502,0.008923617,0.0040125335,0.0034227492,0.008705174,0.012729396
24,0.0020073922,0.0022438013,0.007043913,0.013899597,0.004079465,0.002717852,0.002561215,0.0051582744,0.0021484613,0.000528055,0.001836045,0.0010714012,0.0016768259,0.0007599221,0.004928641,0.0015143591,0.0017175268,0.0129778925,0.014148331,0.0017088002,0.0042772475,0.00263026,0.006674651,0.008148553,0.002644699,0.00013405948
25,0.006114968,0.0136215035,0.002527025,0.001364387,0.008411623,0.0052786493,0.0011356683,0.0060190987,0.0064822333,0.004153108,0.0011742724,0.0012039241,0.0022691723,0.00058350305,0.00809034,0.019553157,0.010343602,0.0115579935,0.0047257836,0.006379122,0.017048141,0.008485775,0.009752303,0.0032527135,0.004897139,0.0015029989
26,0.0022982678,0.005403825,0.0062099295,0.004948411,0.006252851,0.016736548,0.001431469,0.004501453,0.001600717,0.01645077,0.02168025,0.0030832528,0.00463978,0.009934466,0.0004030618,0.0071307537,0.007319389,0.0131502915,0.0031833332,0.00096271606,0.0056438483,0.00033176653,0.0011765421,0.0042591915,0.000532852,0.000692785
27,0.0018146362,0.004738462,0.006200608,0.0084622,0.0017693422,0.0010013061,0.0032642363,0.0029011664,0.0012470386,0.0039940705,0.0060760984,0.003039536,0.005565174,0.0037464108,0.0027501907,0.013043113,0.009229435,0.0022719684,0.015357815,0.006453318,0.003515124,0.0028908288,0.009625596,0.0071371086,0.0088709155,0.0043436345
28,0.0033105176,0.004637526,0.00037666978,0.005862093,0.0058101686,0.0011865818,0.0045706416,0.01400927,0.008694092,0.00956294,0.011030391,0.008164426,0.0043187924,0.011475581,0.003255529,0.0008932724,0.0019774858,0.002574034,0.0039757816,0.0097083915,0.0015099726,0.0015737985,0.0035482177,0.005443,0.004091311,0.021459183
29,0.0049886163,0.0009575515,0.003636729,0.0029277892,0.0033815864,0.004556549,0.005067236,0.010506503,0.0031101624,0.01243671,0.0019011159,0.0026967693,0.011143451,0.009075317,0.027452338,0.030158551,0.013083288,0.0023979633,0.008609109,0.0036200585,0.0065635825,0.00023461039,0.005425482,0.005158784,0.026310226,0.0040963474
