Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,1.0139954,1.616337,1.3360424,1.1538206,1.2634871,2.2327375,0.9670087,1.380698,1.5750071,0.7793356,1.0223907,1.1400872,0.2908854,0.49600568,1.5110159,1.0707895,0.6562978,0.3962669,0.6572647,0.47470206,0.22068834,0.46377328,0.10164118,0.31959078,0.10160446,0.73978436,0.043750413,0.066947386,0.37140563,0.0052042683,0.47193882,0.1544171,0.13796254,0.27034056,0.33459207,0.38398027,0.30956846,0.27949762,0.27859402,0.6556281
1,0.4366721,0.14595866,0.14504455,0.20932037,0.100127846,0.21183369,0.388635,0.10163712,0.33632028,0.18452376,0.14606485,0.04745554,0.02297502,0.4935923,0.01742592,0.046016272,0.101440564,0.21108656,0.07202673,0.04457059,0.41456687,0.27459183,0.10922837,0.06312422,0.16111302,0.071423806,0.11171004,0.34096944,0.014051288,0.10416459,0.040775955,0.50220156,0.05141204,0.26444525,0.16834763,0.07472094,0.12430552,0.17036752,0.14881447,0.09443691
2,0.05396288,0.023494998,0.071043976,0.35320452,0.040225,0.39296016,0.04473473,0.15409423,0.03370976,0.07772276,0.015503068,0.024264194,0.11525147,0.050534017,0.1152687,0.19015753,0.13841288,0.03303237,0.20945059,0.04452098,0.18506657,0.004858301,0.047421154,0.028479606,0.02420104,0.3425925,0.034946155,0.012357317,0.018631427,0.1840072,0.027052296,0.4672587,0.035640884,0.010556449,0.18097402,0.11945487,0.033395328,0.121090114,0.08764422,0.19367172
3,0.07339492,0.052831076,0.18688406,0.07874841,0.027412793,0.070888214,0.11240728,0.013644049,0.05155979,0.0610655,0.04393809,0.09599321,0.13754794,0.014428008,0.061061744,0.024254145,0.09124011,0.10143648,0.013056078,0.0393749,0.0194335,0.027575722,0.03806757,0.011157693,0.092065245,0.026811557,0.29312128,0.4171354,0.0293391,0.20816998,0.006025069,0.028620323,0.0409714,0.09095859,0.0654521,0.14227997,0.009133975,0.048054945,0.03799113,0.022604635
4,0.018766405,0.007705561,0.06629002,0.030420471,0.0375576,0.030636346,0.0049261786,0.038596693,0.042696465,0.0059457617,0.042908344,0.011732063,0.021607105,0.021365153,0.13990457,0.09017767,0.007939425,0.04111658,0.01746143,0.011182388,0.0042939656,0.06854347,0.010343525,0.036154382,0.05477808,0.014222585,0.22786303,0.0066018454,0.037019927,0.015208794,0.0872233,0.4148873,0.012505333,0.06397565,0.0058733346,0.076157145,0.055105284,0.030884484,0.034181736,0.033116538
5,0.025720242,0.02126724,0.04624489,0.015165426,0.026881434,0.0045791944,0.018105501,0.01874801,0.01838396,0.24296625,0.055297066,0.15737939,0.018244896,0.017040104,0.011574324,0.0442447,0.047588974,0.050544493,0.033142388,0.0579859,0.0666584,0.0135387555,0.0045080557,0.013506722,0.0068932893,0.008536472,0.0032972333,0.0053772447,0.011858832,0.015805464,0.017254075,0.0362071,0.008544388,0.004613449,0.010943764,0.0078055393,0.012416955,0.030361481,0.09018891,0.018224953
6,0.022758182,0.011851092,0.011511313,0.24983828,0.0148948105,0.0137478355,0.0050482727,0.03494502,0.0016478348,0.009016827,0.007272851,0.08540119,0.0072383387,0.039557118,0.026763437,0.005671468,0.00043220597,0.005901316,0.012241822,0.0011892039,0.08409055,0.008382169,0.041484553,0.091355786,0.056727137,0.087686375,0.03136776,0.0045189927,0.006537994,0.014401721,0.02947617,0.010856604,0.0018709574,0.0036312407,0.013264602,0.00595479,0.0060260766,0.02143897,0.028784465,0.010784082
7,0.0123017635,0.030292187,0.0059075416,0.008431267,0.011152064,0.025788778,0.009672929,0.00808264,0.0026712988,0.02206932,0.011115752,0.016436737,0.01596214,0.014299156,0.006622362,0.012119971,0.01715463,0.021472448,0.041641854,0.02645576,0.013281708,0.0031030327,0.018286355,0.074184276,0.102751836,0.0748499,0.057161666,0.0347528,0.2155286,0.037563816,0.014077675,0.06472033,0.049070902,0.008940404,0.0052296137,0.0068320706,0.020301418,0.0068224445,0.014190113,0.014945694
8,0.029417459,0.013768366,0.007155451,0.022565968,0.0021744198,0.019558305,0.014495262,0.009071968,0.012460014,0.015472084,0.035955086,0.0017175085,0.008774562,0.020947479,0.014919723,0.025936726,0.006378053,0.009531375,0.005702014,0.00822031,0.016056117,0.016674643,0.0023683482,0.0191816,0.0027460104,0.018021861,0.05513424,0.037337586,0.018829696,0.008023018,0.22255161,0.005326993,0.043437097,0.019656224,0.039932866,0.005715271,0.017071694,0.06254374,0.05104445,0.013245095
9,0.0130850375,0.0016764737,0.012461328,0.02804149,0.032014173,0.005190403,0.029605106,0.025149053,0.16823046,0.06974644,0.04188963,0.008894468,0.013902379,0.10436817,0.1581874,0.18077421,0.09359744,0.09935327,0.06770916,0.04867869,0.04875241,0.087174654,0.15759572,0.12828287,0.04250382,0.04878629,0.03503949,0.0063891294,0.0010043614,0.042698737,0.015857825,0.013954317,0.011492248,0.010949686,0.019128902,0.0049283775,0.0012451202,0.019469848,0.010230817,0.025806112
