meeting_date,sentiment_score
1997-03-25,-0.097011454
1997-07-02,-0.10871136
1997-09-30,-0.098101825
1997-11-12,0.0037725482
1998-09-29,-0.11527423
1998-11-17,-0.11415866
1999-05-18,-0.06497297
1999-06-30,-0.059445757
1999-08-24,-0.27483156
1999-10-05,0.06641713
1999-11-16,-0.15529823
1999-12-21,-0.08282706
2000-02-02,-0.39730018
2000-03-21,-0.3551621
2000-05-16,-0.38458213
2000-06-28,-0.2064887
2000-08-22,-0.20038307
2000-10-03,-0.06594959
2000-11-15,-0.41655654
2000-12-19,-0.44427854
2001-01-31,-0.8583707
2001-03-20,-0.686966
2001-05-15,-0.6164723
2001-06-27,-0.9360406
2001-08-21,-0.94675076
2001-10-02,-0.6210404
2001-11-06,-0.38303733
2001-12-11,-0.18718608
2002-01-30,0.4087466
2002-03-19,0.27027136
2003-01-29,0.2846468
2003-03-18,-0.055588655
2003-05-06,-0.23292582
2003-06-25,-0.11909876
2003-08-12,-0.23768842
2003-09-16,-0.15318182
2003-10-28,-0.12170749
2003-12-09,-0.025707712
2004-01-28,0.09079077
2004-03-16,0.1388649
2004-05-04,0.38291666
2004-06-30,0.6181175
2004-08-10,0.63395447
2004-09-21,0.88257325
2004-11-10,0.73419243
2004-12-14,0.67234707
2005-02-02,0.91618437
2005-03-22,0.7608094
2005-05-03,0.85374045
2005-06-30,0.72387457
2005-08-09,0.9359988
2005-09-20,0.7221534
2005-11-01,0.93619305
2005-12-13,0.85998666
2006-01-31,0.92035216
2006-03-28,0.6327205
2006-05-10,0.5816353
2006-06-29,0.45387456
2006-08-08,0.3355843
2006-09-20,0.22757487
2006-10-25,0.002581928
2006-12-12,0.22756608
2007-01-31,0.24618056
2007-03-21,-0.033258546
2007-05-09,0.12375391
2007-08-07,-0.24311759
2007-09-18,-0.39068437
2007-10-31,-0.62386143
2007-12-11,-0.58536303
2008-01-30,-0.8356866
2008-03-18,-0.35803312
2008-04-30,-0.19165269
2008-06-25,0.65646183
2008-08-05,-0.5706147
2008-09-16,-0.9653702
2008-10-29,-0.7817105
2008-12-16,-0.13653253
2009-01-28,0.15732978
2009-03-18,-0.010168551
2009-04-29,0.103711724
2009-06-24,-0.055748183
2009-08-12,-0.050177548
2009-09-23,-0.008304924
2009-11-04,0.005263313
2009-12-16,0.09705951
2010-01-27,0.16486295
2010-03-16,-0.0051751346
2010-04-28,-0.042968787
2010-06-23,-0.0053933463
2010-08-10,0.13990223
2010-09-21,0.014846059
2010-11-03,-0.0050826734
2010-12-14,-0.021841398
2011-01-26,-0.06277698
2011-03-15,-0.032718964
2011-04-27,0.053488012
2011-06-22,0.08126187
2011-08-09,-0.04967456
2011-09-21,-0.01576204
2011-11-02,-0.028778007
2011-12-13,-0.015717842
2012-01-25,0.08776486
2012-03-13,0.040660974
2012-04-25,0.04969781
2012-06-20,-0.049533073
2012-09-13,-0.037360273
2012-10-24,0.055779617
2012-12-12,-0.046272807
2013-01-30,-0.04683291
2013-03-20,-0.051112853
2013-05-01,-0.054698635
2013-06-19,-0.035556965
2013-07-31,0.010328954
2013-09-18,0.037674025
2013-10-30,-0.007995009
2013-12-18,0.0076619023
2014-01-29,0.034126297
2014-03-19,0.040346738
2014-04-30,0.046318736
2014-06-18,-0.003651142
2014-07-30,0.0054961876
2014-09-17,0.02506326
2014-10-29,0.06966926
2014-12-17,-0.025432413
2015-01-28,0.04536149
2015-03-18,0.081610814
2015-04-29,0.09443884
2015-06-17,0.03526795
2015-07-29,-0.011778635
2015-09-17,-0.0016610493
2015-10-28,0.2391137
2015-12-16,0.2716233
2016-01-27,0.18283622
2016-03-16,-0.034040444
2016-04-27,0.12504044
2016-06-15,0.1232804
2016-07-27,-0.015959302
2016-09-21,-0.060412932
2016-11-02,0.33100393
2016-12-14,0.28657356
2017-02-01,0.27704006
2017-03-15,0.27602392
2017-05-03,0.29871765
2017-06-14,0.31078133
2017-07-26,0.09611268
2017-09-20,0.1126937
2017-11-01,0.34185368
2017-12-13,0.34754324
2018-01-31,0.31656983
2018-03-21,0.31346762
2018-05-02,0.23661172
2018-06-13,0.21093857
2018-08-01,0.2697247
2018-09-26,0.25284138
2018-11-08,0.20650871
2018-12-19,0.19889781
2019-01-30,0.06900715
2019-03-20,0.062297117
2019-05-01,-0.014609615
2019-06-19,-0.08554379
2019-07-31,-0.19318381
2019-09-18,-0.2429088
2019-10-30,-0.0869849
2019-12-11,-0.15678835
2020-01-29,-0.45478353
2020-03-16,0.031117287
2020-04-29,-0.04280948
2020-06-10,0.043561872
2020-07-29,0.0031440079
2020-09-16,-0.013153056
2020-11-05,-0.014444897
2020-12-16,-0.014444897
2021-01-27,-0.037048522
2021-03-17,-0.03093632
2021-04-28,0.019407332
2021-06-16,0.045955583
2021-07-28,0.0020355869
2021-09-22,0.0057620676
2021-11-03,-0.013109486
2021-12-15,0.0012604435
2022-01-26,0.041385796
2022-03-16,0.03201696
2022-05-04,0.009851402
