Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1.363971,0.019749528,1.1095679,0.4899804,0.5109492,0.12336826,0.68190026,0.61239624,0.951048,0.52835065,0.48057306,0.48078185,0.7455419,0.96177804,0.5261452,0.26294872,0.3396986,0.48717332,0.26133877,0.39561546,0.0051747747
1,0.39751697,0.60434794,0.29963428,0.22125436,0.18565941,0.12226603,0.36711714,0.25374773,0.44052517,0.25634032,0.33132482,0.5935695,0.25075012,0.15805578,0.2868208,0.19082381,0.11311795,0.37396303,0.36587098,0.2011837,0.050860763
2,0.23311906,0.3455075,0.12246047,0.12939107,0.08142765,0.19692191,0.45153272,0.300573,0.17100236,0.22752887,0.24525951,0.3243217,0.25390306,0.10851861,0.09011194,0.16311693,0.10622219,0.14992899,0.07562254,0.17083415,0.04811789
3,0.09417045,0.16798058,0.040036563,0.1809988,0.085104525,0.068263,0.10006016,0.06809825,0.037176862,0.05260665,0.11789334,0.09419521,0.016641276,0.14714032,0.07003656,0.087653115,0.196004,0.135023,0.039355233,0.03232339,0.17128925
4,0.059922054,0.0362883,0.044073083,0.029342286,0.013865991,0.04687901,0.014464375,0.034840275,0.01612522,0.015329385,0.08442332,0.0058338596,0.023046335,0.06489964,0.03404102,0.032735974,0.02338723,0.027272325,0.035597626,0.039527886,0.0005467183
5,0.058956593,0.036082663,0.03358189,0.009736955,0.0051000905,0.084755644,0.14155188,0.084328145,0.16099776,0.049376372,0.060223933,0.18085185,0.1816672,0.049738325,0.16560811,0.028564932,0.010330813,0.025114223,0.0521579,0.06856692,0.16710284
6,0.04761398,0.06939529,0.0046864585,0.036311194,0.021435503,0.081031896,0.135239,0.027632762,0.033314876,0.01435919,0.0059515685,0.03639026,0.04370233,0.10332509,0.07401132,0.021067396,0.027093986,0.019870857,0.036850214,0.05136346,0.06816838
7,0.049685072,0.011099471,0.034517486,0.008586124,0.012600962,0.015108476,0.039568465,0.040457856,0.028378852,0.02142781,0.07249692,0.07183091,0.02165813,0.019593094,0.041505996,0.04240919,0.016422706,0.026196344,0.0133948,0.013666576,0.018959228
8,0.04651455,0.0027106658,0.07244621,0.024827313,0.04447981,0.019659212,0.07942273,0.11453961,0.025584575,0.1042563,0.017340295,0.010458641,0.04854094,0.030220773,0.05973271,0.030364152,0.037787233,0.032163925,0.029389322,0.01313808,0.00119856
9,0.028687015,0.08095711,0.010736391,0.030751249,0.022279084,0.016899774,0.019719318,0.004056664,0.052039936,0.053499408,0.03058254,0.0166974,0.049035177,0.01492811,0.06267848,0.007153108,0.037187874,0.004937199,0.032268867,0.041890945,0.0067550256
10,0.009116939,0.024319507,0.07008096,0.07040678,0.011778539,0.016192988,0.0020800687,0.0706022,0.11401987,0.10430932,0.14605105,0.09762646,0.023406882,0.03272955,0.045921445,0.026743237,0.06710906,0.05179254,0.043557335,0.04124891,0.039346226
11,0.019071417,0.011468353,0.0231166,0.047749005,0.03569844,0.030077716,0.018805575,0.050394498,0.018679425,0.012272621,0.00803952,0.0056805266,0.004481416,0.08865388,0.12695646,0.13716821,0.07257472,0.05171928,0.02935995,0.036125977,0.12024004
12,0.11405607,0.013396812,0.028085299,0.03001228,0.051129073,0.11393568,0.0737635,0.04730476,0.0396363,0.105332956,0.21094278,0.16244794,0.03484925,0.020117868,0.015368411,0.043816246,0.05081368,0.01350338,0.02375349,0.017672475,0.103022926
13,0.13547823,0.1131069,0.055270303,0.0119081205,0.025555456,0.054517195,0.03284274,0.00894914,0.007594713,0.005022367,0.010551483,0.02773491,0.03741117,0.028440641,0.013300631,0.032704014,0.014214194,0.008956137,0.004433186,0.022394132,0.014470953
14,0.017229041,0.021961378,0.008546457,0.003277283,0.033071026,0.00983586,0.019985195,0.037007228,0.009644324,0.0043528033,0.03485508,0.007722089,0.008985933,0.010469967,0.0039773355,0.004684984,0.021483565,0.030824143,0.01849873,0.061226387,0.045066357
15,0.033600304,0.041003205,0.04227093,0.026193984,0.013129355,0.014545569,0.004522739,0.014983831,0.0072543407,0.006601481,0.013339515,0.01080055,0.032830518,0.03617602,0.017176263,0.1004747,0.0058223754,0.017521542,0.0024900197,0.019093808,0.0067521357
16,0.020539694,0.012085147,0.00922876,0.006681644,0.0046297433,0.033288576,0.019459935,0.0030809816,0.014350217,0.016813777,0.0106339045,0.008326223,0.013860134,0.005371172,0.012179358,0.006207186,0.014100272,0.022889268,0.0090844035,0.01364992,0.0013175323
17,0.031586856,0.036275078,0.028484859,0.009118268,0.0041555297,0.02939241,0.05276185,0.054494318,0.038780913,0.012577335,0.0134060765,0.008031907,0.026940633,0.020965239,0.0046920776,0.02522717,0.019250683,0.012968368,0.012154572,0.0076667923,0.03652821
18,0.017122291,0.030022986,0.038608026,0.028163768,0.011227151,0.005751117,0.029532414,0.0051608807,0.008225506,0.013731729,0.021787167,0.027798437,0.024765253,0.008474306,0.0076236664,0.00441739,0.012792851,0.0076020015,0.003367615,0.0038319374,0.0013103959
19,0.0028894423,0.012062535,0.042300995,0.013939023,0.008326727,0.01022991,0.011594979,0.01721076,0.0016168398,0.0020584962,0.007219954,0.027545396,0.022539768,0.0055790823,0.005115815,0.010999128,0.015707485,0.020440608,0.0050536525,0.0416356,0.009990578
20,0.026160546,0.021690294,0.004840582,0.0049818186,0.013171686,0.008586554,0.008632277,0.0021001063,0.0011994815,0.0038251793,0.0054903543,0.0118100215,0.0252739,0.010678302,0.0008702589,0.0032774075,0.009510173,0.023190511,0.0049250694,0.0031934858,0.0013211761
21,0.0019826326,0.014042643,0.009431678,0.016828347,0.009153951,0.0026539846,0.011208162,0.002406334,0.000363596,0.0049533653,0.0055957315,0.011267491,0.0024158861,0.004796625,0.0027345247,0.006107601,0.0068285502,0.0072466005,0.04640502,0.022520855,0.0037141773
22,0.04407806,0.046213828,0.014683713,0.016076237,0.019234192,0.037396587,0.064969555,0.066822775,0.049710028,0.045526594,0.011861794,0.005635846,0.044782463,0.013448798,0.058192663,0.0715731,0.039452855,0.023871135,0.007078063,0.020726612,0.07544841
23,0.038447134,0.020765852,0.008567359,0.009413987,0.011527866,0.021339439,0.022175781,0.0040677143,0.002842925,0.013096295,0.04641468,0.026420414,0.019012472,0.00662788,0.006415927,0.009888833,0.015195407,0.01704896,0.0007920828,0.008267745,0.0077893874
24,0.0072967145,0.0030545443,0.0021463153,0.008985151,0.044829123,0.01909971,0.011143257,0.012549972,0.011440771,0.012611371,0.037273277,0.02965581,0.02627667,0.019605407,0.015082166,0.020831784,0.012752806,0.0042742374,0.0031645459,0.017560022,0.0073980447
25,0.0047384324,0.0074906386,0.0030833131,0.002373184,0.0073920055,0.0061746966,0.0035362544,0.0052227597,0.01200293,0.0039707185,0.0033473426,0.025285328,0.0075797834,0.0028785188,0.0066648154,0.00087309926,0.0016480563,0.0028806766,0.0043595643,0.0022378492,0.003226847
26,0.00859027,0.0036870688,0.0077769984,0.0031932192,0.0034906864,0.013917077,0.013895825,0.016226515,0.014156956,0.0056429873,0.026117612,0.015530249,0.026485963,0.023617372,0.0077144885,0.0013289365,0.0051559363,0.029085841,0.01920397,0.010708723,0.00017499257
27,0.006980718,0.0067430763,0.0037424695,0.0029378398,0.004107759,0.005249582,0.005028763,0.0030936878,0.0034311437,0.0030429282,0.0019485155,0.008238744,0.0058040805,0.0060424227,0.0025440534,0.0039211656,0.018262256,0.01477975,0.0047407425,0.0062554656,0.01101078
28,0.01657122,0.0032399995,0.0013583227,0.004469113,0.0129605755,0.0037562503,0.00027412668,0.0033771447,0.0011761279,0.0064263158,0.0040363907,0.008470317,0.0017175341,0.004465098,0.011497713,0.0027440786,0.004378584,0.00306264,0.00086824055,0.00834793,0.0007064793
