Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.48164463,0.30605042,0.7738638,0.3560094,0.6130066,0.31729835,0.87523293,0.26662505,0.6924447,0.33440945,0.27475256,0.52347517,0.14358264,0.11870487,0.85630167,0.3149259
1,1.1690656,0.45433772,0.37951156,0.5149399,0.41034028,0.34944668,0.23181108,0.24665612,0.3993216,0.04395668,0.31940842,0.14656726,0.30358517,0.6052452,0.15355466,0.5974221
2,0.03247262,0.044010863,0.18690817,0.2302647,0.35448554,0.4850359,0.17755455,0.059286144,0.37750134,0.41697037,0.44863844,0.22989063,1.1263593,0.38734597,0.37391174,0.11259048
3,0.23860162,0.091776416,0.15669799,0.40723813,0.34894675,0.10504986,0.23633215,0.16672082,0.21540672,0.027248852,0.10030739,0.51729834,0.14123027,0.13802963,0.9917685,0.43745917
4,0.30430278,0.19639441,0.11102386,0.0025507808,0.55934894,0.21670184,0.072298184,0.2058588,0.027044006,0.15420444,0.10445094,0.20097047,0.13875556,0.1600675,0.52280277,0.052306242
5,0.155242,0.095886186,0.27727827,0.000857581,0.0044427076,0.1040459,0.078533486,0.33962685,0.21337503,0.087826446,0.047298104,0.008329806,0.081833705,0.055225365,0.059861287,0.5467006
6,0.0158615,0.046776082,0.0704498,0.013108472,0.046771847,0.066253245,0.010436416,0.05417282,0.04894942,0.13207369,0.058307037,0.14977679,0.30255252,0.08961232,0.023023255,0.12126246
7,0.017920742,0.0072473697,0.0672544,0.01537207,0.24254973,0.056471292,0.06701489,0.19120055,0.14453197,0.03788985,0.018800955,0.27148527,0.025129743,0.031117097,0.031005315,0.03826447
8,0.010104282,0.053068873,0.09906935,0.053588994,0.03282623,0.25248256,0.050147265,0.011794849,0.038646843,0.01190329,0.010735983,0.037496954,0.006878297,0.07265414,0.04997041,0.052428357
9,0.008124605,0.030315198,0.02858492,0.13736422,0.030686364,0.09480412,0.06758495,0.03680902,0.12862292,0.20112556,0.14248958,0.006381915,0.051898457,0.0073546357,0.013232164,0.036947947
10,0.008159939,0.034736257,0.026932424,0.007654482,0.077265024,0.028040074,0.038546253,0.04699772,0.20616361,0.03809368,0.030220691,0.08940984,0.20326379,0.124172434,0.1628398,0.065295756
11,0.00830798,0.077301085,0.40045303,0.23624326,0.31335092,0.10229839,0.07824282,0.04503564,0.15256286,0.20620206,0.08352685,0.09528218,0.21060726,0.030350344,0.02334959,0.0025568835
12,0.0069067515,0.03884109,0.017736299,0.039203256,0.06658345,0.05152195,0.007179547,0.043262582,0.002624721,0.029642034,0.05443341,0.030518714,0.043886982,0.03997172,0.017994821,0.01818783
13,0.044604003,0.0046557714,0.013718883,0.031761106,0.08740888,0.08464792,0.0703568,0.017466066,0.029245658,0.02117672,0.027347472,0.017008863,0.08247166,0.016300155,0.013824236,0.027167533
14,0.036867384,0.028479215,0.034602627,0.016566856,0.011729987,0.01774507,0.039087534,0.009832842,0.021205459,0.019170042,0.005726934,0.09076781,0.0064732423,0.038539045,0.010182504,0.035091467
15,0.07492133,0.042008676,0.018680453,0.02867061,0.038677387,0.0075058923,0.03837896,0.026552588,0.013690761,0.022899814,0.014977541,0.013012395,0.002964849,0.010948652,0.0049120137,0.004268293
16,0.013199791,0.0011208738,0.0062334607,0.010823593,0.0141075915,0.03261451,0.018487792,0.032789025,0.024871107,0.018306566,0.02656745,0.0056007546,0.0118112285,0.015630286,0.0076360544,0.022738751
17,0.016089402,0.032245725,0.00843155,0.02023897,0.0075003305,0.00652207,0.037574038,0.018915165,0.009039577,0.011245731,0.005054698,0.029630119,0.07746679,0.03585304,0.03792193,0.087966934
18,0.031866793,0.13105355,0.18718848,0.12732786,0.0821274,0.10773061,0.06889847,0.03187291,0.03164988,0.09261388,0.08678964,0.17185724,0.04221043,0.019343566,0.014778718,0.015880223
19,0.007524311,0.02043551,0.0042935945,0.0023577996,0.024897836,0.003075519,0.0097836815,0.048128042,0.035223953,0.0026677726,0.007081346,0.009134732,0.02003395,0.008581098,0.012823895,0.046738274
20,0.007058965,0.007124071,0.010285237,0.008234655,0.0016894421,0.015449828,0.039997116,0.010613726,0.0056551453,0.0047184746,0.04778897,0.0015467546,0.010342641,0.008764655,0.0048415214,0.0096225925
21,0.0019025457,0.0058843195,0.014219941,0.006718194,0.031838056,0.009275026,0.001273052,0.0073145106,0.004521882,0.048582923,0.035687737,0.030357942,0.01227911,0.011902072,0.015286008,0.020484034
22,0.0015425065,0.0012287663,0.004886194,0.0019443867,0.0039123567,0.0037830449,0.007490876,0.025619794,0.0073605487,0.0052533364,0.013892356,0.010567423,0.052645285,0.012893806,0.0009416423,0.00641129
23,0.001924559,0.0010213308,0.006824721,0.0026285881,0.007907051,0.0033359108,0.02554831,0.051917344,0.028095113,0.008117163,0.010378371,0.006172237,0.004739172,0.0059574833,0.016656602,0.006135703
24,0.0055099125,0.0012852321,0.004831177,0.024846712,0.01627566,0.013723238,0.010932706,0.021419723,0.02834752,0.011322202,0.004717597,0.0016651991,0.0022157638,0.0036203382,0.011799656,0.0030558659
25,0.0006692232,0.007249526,0.0005560371,0.011224495,0.023407869,0.038280882,0.0048420774,0.0014884848,0.006512775,0.013328634,0.012217866,0.020482136,0.012966658,0.00641998,0.0056311977,0.013492843
26,0.015181075,0.011485245,0.0144844595,0.015091225,0.0016487432,0.0021854045,0.005509274,0.0066768504,0.012184163,0.008190667,0.02690423,0.023530263,0.015524193,0.004754457,0.008216821,0.004427758
27,0.0045042387,0.0057759965,0.0008580529,0.0011109504,0.0055096396,0.0014043588,0.012116786,0.013457009,0.015863959,0.005804187,0.0052277786,0.009638224,0.009209017,0.0036247703,0.005870214,0.0098305205
28,0.0020594453,0.0040843217,0.004483942,0.0017012891,0.007696918,0.0019136034,0.00684752,0.0018917159,0.0025401998,0.0014654327,0.0037010312,0.00024995842,0.0012820242,0.0007302207,0.0082466155,0.00079588435
29,0.002703676,0.0066612144,0.0015747569,0.0014800595,0.0036241016,0.0017101364,0.008293888,0.012199843,0.0086077135,0.004427421,0.0010692612,0.009016617,0.002503756,0.0027274722,0.005512788,0.00029644283
