Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0.14552279,0.1561493,0.2848316,0.90778726,0.1546224,0.37851483,0.071437284,0.14792813,0.12730643,1.0605403,0.11628255,0.3582381,0.2809593,0.25679064,0.3722012,0.14438592,0.3621478,0.23417583,0.44973865,0.12260691,0.053610347,0.07329032,0.056485906,0.5199333,0.5009313,0.19381611,0.06591997,0.29134607,0.11388346,0.14839825,0.16658573,0.1554373,0.3401003,0.16117421,0.08949526,0.2686095
1,0.019804534,0.3563205,0.12931472,0.07686898,0.11246592,0.07670304,0.06847957,0.0820663,0.36341465,0.4461188,0.18645382,0.20989597,0.027948797,0.046049904,0.16238353,0.48306006,0.069928415,0.2022337,0.21049036,0.09600025,0.0671101,0.07731743,0.23422351,0.033272322,0.03194023,0.04916355,0.34149784,0.07314887,0.19499877,0.022208545,0.28168207,0.20301124,0.05587785,0.5079017,0.052782916,0.2630801
2,0.04206141,0.053948525,0.0017813826,0.0664573,0.0441833,0.02830315,0.015415533,0.018676668,0.3241282,0.02737736,0.04710831,0.02911529,0.12508442,0.0136022,0.057528175,0.26232427,0.08511433,0.006148838,0.049345095,0.050153248,0.0039388426,0.210725,0.005144144,0.1492641,0.5164703,0.1957202,0.1071741,0.27263105,0.13104205,0.4184665,0.28192133,0.036859065,0.10452069,0.05525474,0.101914,0.08228341
3,0.024476688,0.00597261,0.0311622,0.32249078,0.008909321,0.017463418,0.23672712,0.021788988,0.04456915,0.021553908,0.01766565,0.008871021,0.04203555,0.004385566,0.06298888,0.08624178,0.068249166,0.010528788,0.02034716,0.05388021,0.08300766,0.015174788,0.027331937,0.014454549,0.3400123,0.038514733,0.28450453,0.0562346,0.03252391,0.029730272,0.3336714,0.058365975,0.058462366,0.15134576,0.10200757,0.047232848
4,0.12885705,0.022614636,0.029795613,0.11599263,0.031224001,0.085766956,0.026335634,0.17685582,0.013828687,0.20028426,0.0074266703,0.005011015,0.01386023,0.040421873,0.027748154,0.013683649,0.064678244,0.026212154,0.058578502,0.013191856,0.062759295,0.014020151,0.055731192,0.013583694,0.024042971,0.032904156,0.014946845,0.04264409,0.29581925,0.0171163,0.019915598,0.036813404,0.10808527,0.059515286,0.031679742,0.01154079
5,0.016562268,0.025188416,0.08885114,0.00679454,0.03247498,0.023094516,0.03825147,0.00878976,0.008597985,0.032315113,0.0015463843,0.037619025,0.0033487626,0.0020629738,0.010383386,0.069782205,0.013699883,0.0289553,0.028274223,0.02064008,0.03842158,0.00247761,0.0013098115,0.013242846,0.0018374939,0.02064892,0.029209698,0.0056253606,0.018939959,0.015047455,0.06040633,0.027006928,0.0047924095,0.3323682,0.0027010897,0.042080086
6,0.06521106,0.16108142,0.12565072,0.16355349,0.057148706,0.010565462,0.011545636,0.005533985,0.09777188,0.020375598,0.008795325,0.021847269,0.01349952,0.046322025,0.009596112,0.006040804,0.016338052,0.0069703823,0.07294823,0.09446891,0.1280382,0.09022391,0.04196022,0.02818608,0.07513778,0.08393325,0.10713547,0.0610657,0.08352958,0.011033386,0.016851407,0.015700145,0.07968132,0.017025935,0.02280595,0.010369687
7,0.04302724,0.021446262,0.020346908,0.014074886,0.017621478,0.006458467,0.004230122,0.0070562675,0.0017962579,0.010309433,0.027218435,0.019686714,0.015050636,0.0072241137,0.0081482995,0.016548721,0.012440054,0.017100872,0.020540332,0.13585472,0.020761969,0.02611829,0.008054942,0.033973902,0.057764523,0.04317061,0.010701166,0.00661554,0.010468066,0.10096942,0.042376913,0.0033252866,0.0023996015,0.007891206,0.020340595,0.017727708
8,0.009213509,0.02809092,0.011012353,0.010116563,0.011853209,0.01690107,0.021549711,0.061950237,0.043077864,0.033913564,0.009870265,0.0322697,0.0121473335,0.010330761,0.052566584,0.04495566,0.005733542,0.01526748,0.030390836,0.056877237,0.077373624,0.02408745,0.06480512,0.010640884,0.021609776,0.11882841,0.19033626,0.08390492,0.14357631,0.044154625,0.006786922,0.007873679,0.020806672,0.051177822,0.030263152,0.049961463
9,0.014705302,0.022860238,0.038685255,0.035664327,0.026976056,0.033597387,0.005105079,0.02117187,0.026688509,0.0034312252,0.012272664,0.018110387,0.0086688055,0.008889181,0.021292845,0.009584096,0.027164068,0.028879203,0.08385185,0.082073376,0.05531893,0.028770778,0.03907279,0.03608627,0.023525529,0.024606904,0.010295238,0.024650749,0.03211912,0.052817445,0.037174437,0.047107972,0.062845185,0.02539232,0.01711653,0.0040115947
