Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,3.8595004,1.0527422,1.6218884,0.60750866,1.8198874,2.8611617,1.6237259,2.9657698,1.793438,0.8311817,1.0733913,1.3312926,1.1946217,1.2500838,0.9966141,1.0962673,0.5029787,0.7546059,0.38922918,0.23820063,0.6618936,0.4230867,0.61309105,0.5617012,0.50126374,0.3029257
1,0.3559593,0.42398068,0.44738385,0.18454905,0.18870702,0.28647047,0.25472495,0.23815776,0.20700814,0.24092706,0.11154261,0.25696594,0.35113868,0.13734177,0.18659782,0.6280554,0.18059653,0.44650233,0.30356163,0.25709814,0.004264679,0.053063203,0.09701704,0.0982476,0.34660172,0.084798954
2,0.038748886,0.34911588,0.036617137,0.20831382,0.31788504,0.03093645,0.16611458,0.018561512,0.057807423,0.13086241,0.051398918,0.3409513,0.090312004,0.09026569,0.22240452,0.056894295,0.16322955,0.034242183,0.38364285,0.048576057,0.054565515,0.18409723,0.20550682,0.51883405,0.22947344,0.26001412
3,0.11550842,0.59179723,0.13007955,0.03087731,0.0020467176,0.0339413,0.22130731,0.04627114,0.037603892,0.086011514,0.015395302,0.20946316,0.2704649,0.016358586,0.17001714,0.019957714,0.17795861,0.022043569,0.16984932,0.023906719,0.049500316,0.18487099,0.0027474475,0.022998247,0.049029097,0.16404189
4,0.04947018,0.030459683,0.07163642,0.058557097,0.014093506,0.015629424,0.055687945,0.07817117,0.014678428,0.02378238,0.018391974,0.041316256,0.03793788,0.021861779,0.03275865,0.032474086,0.20695186,0.029820861,0.12275909,0.21160503,0.05528882,0.04030002,0.16127719,0.010116816,0.020040035,0.07021784
5,0.06602205,0.027991204,0.08129433,0.002735325,0.09587141,0.03241898,0.04896323,0.010284966,0.023915008,0.03221898,0.013784674,0.04460618,0.007632935,0.0072367433,0.101793796,0.04891581,0.080765076,0.030933324,0.007956544,0.04993029,0.05880611,0.013450066,0.07271968,0.11338956,0.114295654,0.071501605
6,0.04684562,0.04760256,0.009970924,0.037079837,0.052369602,0.02503154,0.039774217,0.0061936025,0.07082714,0.067521915,0.13522714,0.071657985,0.015397657,0.04291183,0.0090046,0.16306798,0.14994493,0.3876517,0.1449335,0.04970062,0.012063757,0.1492989,0.12275225,0.08243249,0.13457756,0.020027673
7,0.045661114,0.054789454,0.03240479,0.025796497,0.0078058564,0.13119376,0.019164493,0.06574607,0.031084891,0.047195666,0.010337353,0.015840944,0.025140394,0.014007597,0.042584315,0.0063464744,0.06899697,0.052177355,0.057121374,0.025711607,0.00483434,0.024252873,0.07258714,0.011190391,0.011053844,0.034562472
8,0.03316709,0.020668715,0.042441107,0.040680826,0.010935651,0.0028047492,0.02567375,0.051390067,0.008342674,0.028047042,0.0045929193,0.019603226,0.08510895,0.007198464,0.025778357,0.056071345,0.07161586,0.010651462,0.051031534,0.03112512,0.057516575,0.004599532,0.006388705,0.002365867,0.004791862,0.044648323
9,0.06650798,0.051489323,0.028248385,0.009542303,0.052145585,0.13914087,0.08450952,0.06535384,0.04677598,0.0068158386,0.079166286,0.07038857,0.0739446,0.011792185,0.009364081,0.018217653,0.0793091,0.08661407,0.04331942,0.011897966,0.029646834,0.046596482,0.07602145,0.024729986,0.0036793542,0.009173985
10,0.020345874,0.034628037,0.0036344682,0.033587698,0.012303499,0.020621954,0.029186696,0.008345028,0.030608946,0.023712708,0.02276899,0.029618831,0.013312556,0.054031752,0.029428823,0.07759678,0.031589426,0.04284822,0.035924982,0.04073354,0.12998936,0.033968963,0.00058352173,0.009630414,0.017156761,0.075437464
11,0.003458965,0.02138327,0.093011685,0.00849302,0.026972026,0.020461202,0.032346405,0.030964378,0.027686395,0.0014821638,0.029838998,0.005281249,0.04384774,0.012563613,0.045430977,0.03785336,0.010103211,0.01587949,0.0061020395,0.011928559,0.015162255,0.051391505,0.020847654,0.08050217,0.03297873,0.019698145
12,0.034141656,0.030193979,0.041510303,0.0096040405,0.0018119386,0.0075427885,0.010456505,0.0055669574,0.002882454,0.040740304,0.042920716,0.21699849,0.00573047,0.012110312,0.049275413,0.04444752,0.020520117,0.021765204,0.037751146,0.026714541,0.019625928,0.04894283,0.021206696,0.0035833577,0.018611595,0.02071505
13,0.027515352,0.0030378297,0.0054054284,0.0066528507,0.010714379,0.02411668,0.0057953265,0.07961187,0.012973674,0.0033256365,0.008902838,0.010120892,0.017498862,0.05815044,0.012306861,0.030355897,0.033977397,0.018775398,0.026168946,0.01499857,0.024006309,0.009859922,0.024858072,0.03491169,0.013341574,0.011064091
14,0.0064543025,0.032654524,0.021411445,0.013712691,0.015696354,0.0027092728,0.07811981,0.028590048,0.012895901,0.012988619,0.003570271,0.03838669,0.017989349,0.013848228,0.0053324117,0.012342557,0.009606037,0.010107749,0.008506589,0.008203384,0.027582362,0.04990919,0.0210752,0.07406924,0.02229743,0.026865259
15,0.033916727,0.057670783,0.009715306,0.026000394,0.004008832,0.008772817,0.016515251,0.002887431,0.012624626,0.015781794,0.002835846,0.0009311089,0.010264299,0.007713701,0.0040558586,0.011062844,0.032082845,0.032415923,0.020140713,0.008905017,0.0034255928,0.008640744,0.02033624,0.06306481,0.08364415,0.0038132742
16,0.0011286617,0.016771171,0.0072526466,0.011897277,0.0135469455,0.008646416,0.0030590026,0.020863112,0.0011219953,0.013533832,0.016470447,0.0048017176,0.10344823,0.0060608666,0.016774883,0.017075967,0.0015539285,0.005701968,0.002688315,0.006062037,0.022969827,0.0054279757,0.03652811,0.00011708538,0.0007045297,0.03050772
17,0.01600806,0.008758831,0.0039127497,0.010003395,0.0108141815,0.0122637125,0.008170368,0.0038353363,0.0049672383,0.00097121304,0.0039525777,0.008205994,0.0044535557,0.006352638,0.010982381,0.0064031025,0.0075511243,0.009831246,0.004861334,0.009362282,0.016674304,0.0009780489,0.011551014,0.002278213,0.011794764,0.0055360054
18,0.003149646,0.012715664,0.00870262,0.011445793,0.009152285,0.013870861,0.012626055,0.005412323,0.0025167596,0.0113371685,0.038069826,0.013526252,0.005326717,0.0049351556,0.008230076,0.0022816705,0.0014594449,0.007878958,0.0031536433,0.0049629784,0.003006756,0.03017633,0.014692225,0.0023597642,0.0013685746,0.012244724
19,0.0071894946,0.003073743,0.0091320565,0.03691606,0.025166795,0.005526877,0.0126178395,0.014654722,0.026081515,0.015729612,0.012239812,0.0016709734,0.012880984,0.024752207,0.06275683,0.011985283,0.022756081,0.0008694611,0.026301874,0.0031126784,0.0025872588,0.001593282,0.011175005,0.009001911,0.012176907,0.0119162835
20,0.003087779,0.00081185973,0.0122503005,0.038096853,0.014231423,0.029026285,0.003300724,0.005696779,0.005742668,0.016341804,0.0064790705,0.011471019,0.002270945,0.0045884284,0.016777128,0.007831104,0.0025971853,0.010123043,0.023011489,0.023792472,0.034612488,0.004476144,0.0025293708,0.013272617,0.027088385,0.009989403
21,0.04448798,0.018435828,0.012608028,0.004206702,0.0048601073,0.0011322737,0.00056478765,0.0056076925,0.0028186615,0.008244909,0.0006469486,0.00026765908,0.0026354776,0.0059013837,0.011317773,0.009354833,0.012321784,0.012988302,0.0035576257,0.0026435046,0.0071692336,0.008760758,0.0022409956,0.0067820316,0.020555772,0.0033670573
22,0.00025616103,0.0020377706,0.0021271692,0.019450707,0.0070551615,0.0026630498,0.0054971715,0.008616167,0.00029851965,0.0028851111,0.0018726488,0.004478489,0.008568818,0.021167327,0.012437539,0.001179627,0.0008062022,0.0038582203,0.002645759,0.0017303524,0.0012297234,0.0028089006,0.01998467,0.0038946625,0.03671033,0.011878487
23,0.0044900035,0.0046112877,0.005297267,0.0045449566,0.003006306,0.0160945,0.007151684,0.0007605883,0.0043409546,0.006890688,0.0058045927,0.002795274,0.008478769,0.010316271,0.002847871,0.005294703,0.00053808506,0.0041973954,0.0020105485,0.0011772239,0.0016868458,0.0022902815,0.007862894,0.005290256,0.006482014,0.0045823758
24,0.0028943603,0.004643886,0.0041256957,0.00040641899,0.002077784,0.0040896414,0.0048905415,0.003976722,0.001464941,0.002343007,0.0035310928,0.0043372493,0.013485707,0.0075680744,0.000926756,0.0032354563,0.010614118,0.009853669,0.0020667952,0.0017593197,0.0033686706,0.0068111527,0.0084781265,0.0048567844,0.0027404365,0.0026289672
25,0.004298652,0.0043902183,0.006081632,0.0055962936,0.0044884575,0.0066023297,0.004092438,0.002319722,0.003936998,0.0020174077,0.000587079,0.0011251576,0.0036977464,0.0022361302,0.0052241045,0.00552274,0.0026279835,0.0069177574,0.02318994,0.0348316,0.0021994547,0.0027133585,0.009120027,0.0039689746,0.013224944,0.00064404594
26,0.0005432195,0.0029461558,0.0010129082,0.0016983645,4.974023e-05,0.0070797987,0.003990478,0.0049704206,0.0041026715,0.006228415,0.00063463114,0.01589337,0.013583645,0.0015632907,0.0052992385,0.012242625,0.010243429,0.014465068,0.0049663186,0.003761624,0.004838968,0.004625138,0.037770487,0.015438618,0.0035534843,0.0026701381
27,0.0055411286,0.0066816574,0.0012257948,0.0046130014,0.008485178,0.01417213,0.010602706,0.0022613634,0.019522412,0.0011363984,0.021263411,0.033303842,0.026959036,0.00187983,0.0047661276,0.016847774,0.020164184,0.00788033,0.020141546,0.011478064,0.026911406,0.0014733868,0.011739138,0.023707759,0.013687907,0.02830945
