Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.1506441,0.118996635,0.1731616,0.29680744,0.2611811,0.55745655,1.0097578,0.36081538,0.50411546,0.085004166,0.053271733,0.32182992,0.64240074
1,0.18004718,0.10651003,0.44867903,0.694692,0.56648815,0.20582262,0.61109793,0.12491058,0.034744494,0.13206466,0.32122338,0.18581042,0.40232497
2,0.32526368,0.387641,0.10321705,0.42460105,0.32726476,0.17663854,0.39656144,0.1196717,0.07980437,0.26428324,0.30562508,0.2171451,0.05731547
3,0.32087252,0.35051835,0.14931597,0.069232635,0.10360081,0.26681098,0.15317649,0.07652184,0.29667157,0.35104716,0.023541221,0.39325243,0.10516963
4,0.26288712,0.109831765,0.19571573,0.3174025,0.14092138,0.043671317,0.14340782,0.2198072,0.062174175,0.0866528,0.46042234,0.12713204,0.015672885
5,0.07123184,0.0841073,0.06259024,0.29871732,0.35021663,0.081324816,0.06475484,0.20717555,0.110596456,0.029398067,0.039829116,0.036192756,0.16851752
6,0.06676985,0.19164929,0.041857094,0.032996308,0.06993693,0.059846103,0.20584194,0.035181064,0.13262594,0.01917122,0.079423964,0.06441758,0.025412004
7,0.008166245,0.021416085,0.007361673,0.036387693,0.22263552,0.033505455,0.070881665,0.014191184,0.06475468,0.021342427,0.018857136,0.018863214,0.08759442
8,0.0047218977,0.0681352,0.022845574,0.08617817,0.056320075,0.040647782,0.015949566,0.02109541,0.10066719,0.1162521,0.04786849,0.03740893,0.22484252
9,0.045458984,0.008542839,0.03355287,0.005325719,0.03211734,0.16207772,0.022939658,0.024790391,0.018694216,0.023229254,0.051459778,0.044308245,0.0034532333
10,0.089769356,0.1616095,0.04395049,0.010881063,0.02452477,0.061495945,0.06980437,0.07409432,0.17335665,0.02818984,0.05463475,0.09919089,0.0048218225
11,0.020604856,0.02630626,0.06044908,0.16686612,0.08763352,0.05674078,0.05784593,0.041034017,0.019123415,0.027145902,0.1126079,0.034622587,0.015064712
12,0.032739036,0.017715385,0.17816664,0.018849967,0.036930818,0.032066964,0.031713657,0.008023316,0.013230897,0.02084649,0.016856957,0.012261748,0.0363803
13,0.035374492,0.002650836,0.0017274148,0.07840461,0.010444961,0.012923665,0.023271723,0.0166868,0.01695765,0.040749043,0.022316944,0.061468538,0.016048823
14,0.023768667,0.032233268,0.0072564636,0.003009819,0.004016017,0.104500294,0.0011712271,0.047949415,0.0071318178,0.042001437,0.019975998,0.03969802,0.11650852
15,0.005800031,0.017214745,0.015614418,0.020640481,0.028106935,0.04852733,0.053922445,0.11302843,0.022952577,0.028025337,0.058367312,0.02176644,0.009411114
16,0.010089308,0.009274977,0.004168302,0.007813685,0.045532398,0.024801131,0.00874085,0.033354755,0.011569842,0.0066308123,0.008825589,0.03913203,0.023744704
17,0.0050108093,0.020310847,0.015168495,0.042114206,0.019092867,0.03183873,0.06406592,0.040411554,0.0024830909,0.00600156,0.011573306,0.013394978,0.008888695
18,0.0764982,0.112070724,0.0132538155,0.098568864,0.015408477,0.016672816,0.022701945,0.06534309,0.0424073,0.007894274,0.015889939,0.06271268,0.03782198
19,0.009915141,0.031520832,0.027573947,0.0061443443,0.015185916,0.026399573,0.027309358,0.013493426,0.0046263663,0.01222641,0.050166115,0.0070737503,0.0354193
20,0.027019532,0.0026330806,0.005993588,0.0072097043,0.008257815,0.035935927,0.023796514,0.0113630565,0.03357404,0.022861375,0.036759887,0.02129882,0.009318629
21,0.003022113,0.007211727,0.01661218,0.029973375,0.027391868,0.032084636,0.0037374836,0.018016998,0.01026466,0.01207977,0.00986562,0.015995115,0.007130272
22,0.012594705,0.0059373397,0.0034967558,0.012096068,0.0022604,0.0049133054,0.003876582,0.003677314,0.01568678,0.00807882,0.013351424,0.016774468,0.0030296717
23,0.011439989,0.013857828,0.036660116,0.021140791,0.004695881,0.0033649656,0.017127166,0.012454553,0.01718625,0.0061240923,0.031908378,0.0357856,0.03442438
24,0.008738719,0.001308755,0.011212801,0.019122642,0.0038936676,0.024528174,0.022536356,0.0008487713,0.0075134374,0.007570818,0.06721389,0.005747323,0.0003311193
25,0.012594217,0.016215691,0.0054732664,0.041361816,0.034065317,0.001614596,0.004206959,0.012152273,0.035109032,0.007859493,0.020263117,0.045825697,0.019634709
26,0.0049285064,0.008695278,0.028654132,0.046724536,0.046352394,0.034443192,0.032942392,0.008095848,0.0030505406,0.02240475,0.01861703,0.011507353,0.00834007
27,0.0030549753,0.026947042,0.03701742,0.061473243,0.019303408,0.019256677,0.025243772,0.013250762,0.006725624,0.027807118,0.017394612,0.0075578997,0.007261982
28,0.022024207,0.02224438,0.01761417,0.008808038,0.006298133,0.021938369,0.012270411,0.00415062,0.025816234,0.0060079964,0.01477648,0.0046648667,0.015337897
29,0.0020908315,0.013231895,0.019352725,0.0041605826,0.015484458,0.017104674,0.019201009,0.021965623,0.0077029886,0.009403541,0.0016171932,0.055313535,0.042665694
