Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.50332725,1.3702147,0.5595791,0.7225803,0.21343169,0.24155542,0.27180925,0.23530576,0.39909282,0.7479642,0.19713825,0.30729902,0.58582824,0.6908482,0.23640528,0.19339284,0.7241682,0.14898503,0.23186949,0.11885688,0.077554874,0.18190427,0.08591142,0.20271793,0.11117092,0.0373992,0.39729202,0.011219949,0.1559569,0.19644767,0.60258585,0.0880524
1,0.21517497,0.07889284,0.24767974,0.017335402,0.23773716,0.01693558,0.26637438,0.15980592,0.32635108,0.011445761,0.010310109,0.10787128,0.11822453,0.033238757,0.5598169,0.28522453,0.018302124,0.33552283,0.08522696,0.025898695,0.3911879,0.0007297895,0.016994312,0.28701717,0.096359916,0.19964235,0.35249844,0.30765116,0.14989436,0.18807292,0.104530714,0.012835367
2,0.049199466,0.035226855,0.116209134,0.16285129,0.024906356,0.086391285,0.17024899,0.010987373,0.0049800454,0.010156838,0.007063254,0.08976975,0.016598076,0.16347802,0.03021241,0.014011772,0.3967785,0.042860918,0.051534947,0.075258106,0.11069706,0.27220204,0.10856685,0.16856965,0.035009205,0.08590525,0.08346592,0.19717848,0.048906792,0.11359942,0.367963,0.40152752
3,0.06246605,0.10031152,0.11629793,0.13093723,0.023969349,0.015237533,0.15378444,0.016119858,0.027747447,0.05217328,0.03511692,0.0051953327,0.06418273,0.021731332,0.22422013,0.049694475,0.1600511,0.020576837,0.012246673,0.013996907,0.066618875,0.008251937,0.47546083,0.04055301,0.033478305,0.039281033,0.12203087,0.059861057,0.011978561,0.040452566,0.009360135,0.0059394445
4,0.05516395,0.05349812,0.037652224,0.016090538,0.0101835625,0.06405212,0.017483035,0.025852025,0.011513699,0.02429223,0.03248617,0.015620386,0.089303896,0.048182383,0.058106273,0.038144678,0.059826277,0.66671866,0.0069334703,0.055535607,0.016622994,0.044915516,0.024597593,0.011559881,0.009296661,0.03713578,0.08987608,0.073872514,0.036172934,0.027723849,0.059663154,5.9797883e-05
5,0.009163804,0.024405612,0.0557694,0.031202594,0.008015913,0.104086526,0.06548701,0.13870814,0.047978573,0.05933996,0.01751623,0.02066353,0.025409266,0.051007982,0.15161957,0.110718876,0.04013977,0.2661302,0.038999133,0.0037952391,0.0073409276,0.03215963,0.0040533347,0.010458389,0.0849963,0.015972704,0.029949332,0.120313324,0.10201934,0.024643544,0.08948215,0.08114708
6,0.113454886,0.051514797,0.04384017,0.014893728,0.022605347,0.019308917,0.047957085,0.07351777,0.061769113,0.026038446,0.078922585,0.14889151,0.079036795,0.052819114,0.1096966,0.13389161,0.079371706,0.037289195,0.23132591,0.1322891,0.1875611,0.29232764,0.13079023,0.1997438,0.107312895,0.18780062,0.0038019875,0.09474952,0.20419195,0.13771625,0.23501027,0.42555207
7,0.43721077,0.18149075,0.1757708,0.04430352,0.05963859,0.03615384,0.06266939,0.08302318,0.08601175,0.074962884,0.22766972,0.0209345,0.04724129,0.003993255,0.0124649,0.016117536,0.030643359,0.28542024,0.011917533,0.002038335,0.037536927,0.020942077,0.031111857,0.02441293,0.011009511,0.0033775351,0.0056215855,0.0071864584,0.041461833,0.092907995,0.04253383,0.00838888
8,0.028884813,0.022311538,0.015161691,0.015866935,0.022982482,0.007061676,0.0119093545,0.0036229251,0.0048490143,0.004527637,0.01824409,0.049518175,0.005040988,0.039278224,0.014311673,0.007176921,0.0025984398,0.015897833,0.017073708,0.009665447,0.008060396,0.23646258,0.046544496,0.029120684,0.019957041,0.009132465,0.0050308984,0.0057155564,0.002197216,0.0033085945,0.004616927,0.027335485
9,0.008118922,0.025039019,0.0020225598,0.0026898622,0.014832665,0.13069081,0.0039679203,0.048618734,0.047339704,0.0305641,0.021105016,0.017977497,0.007565086,0.001424586,0.0178592,0.008423558,0.0034711233,0.0022058631,0.00234351,0.013312525,0.010629151,0.031496365,0.050641514,0.022490792,0.04814577,0.0013722917,0.008520354,0.18664229,0.017062347,0.0012960561,0.025912734,0.024108415
10,0.010310568,0.014391949,0.00026945106,0.023860484,0.057099126,0.009252804,0.003717943,0.0067908526,0.0047027413,0.0019403994,0.0051296083,0.008670809,0.0042223767,0.060483783,0.023635367,0.09100104,0.12284356,0.028951073,0.015328577,0.024903633,0.026658116,0.083705336,0.05252825,0.011036567,0.026780888,0.07186696,0.06303884,0.061278753,0.06926777,0.06314597,0.20800428,0.008448548
11,0.061004195,0.024832733,0.07425858,0.05858232,0.008798906,0.0214264,0.06113923,0.07180517,0.0506906,0.022544805,0.0060764807,0.027238581,0.035630003,0.036322102,0.03800696,0.012956079,0.104954384,0.0013576176,0.037571408,0.0070813065,0.031150008,0.051920824,0.0057975,0.017644309,0.0011321492,0.0312941,0.017417578,0.012891291,0.0045938008,0.049980633,0.05374653,0.004774768
12,0.027496528,0.011487611,0.010958012,0.009895951,0.0025682338,0.08690675,0.05389256,0.019294811,0.0039176997,0.0506026,0.02483821,0.024050176,0.017239735,0.015093079,0.023068752,0.008601216,0.024440438,0.021539614,0.044113863,0.047091156,0.011280529,0.00042755157,0.04527324,0.015501762,0.020617582,0.002689011,0.0843005,0.0201828,0.06478847,0.05101555,0.020370528,0.019500162
13,0.008264184,0.018105341,0.057525154,0.014968968,0.024213396,0.0029682184,0.0016229923,0.01157371,0.010015715,0.003069488,0.0041830805,0.017488556,0.0036772322,0.0036221794,0.0075342334,0.031981993,0.009846969,0.0120864585,0.019826334,0.013466999,0.04711047,0.016650684,0.021542892,0.004787096,0.017217929,0.013735293,0.017261568,0.010028944,0.018958732,0.014543118,0.012747734,0.045703705
14,0.02570628,0.028776387,0.0013117263,0.028985856,0.03283599,0.02049519,0.0035434782,0.0007723852,0.10714433,0.038848903,0.04726164,0.025761578,0.03428728,0.04735359,0.030598128,0.08116843,0.045028552,0.021456126,0.011076128,0.0030495324,0.029319754,0.02936093,0.0009556713,0.009115491,0.0012574508,0.010399291,0.0036493938,0.008193709,0.0022433894,0.022368327,0.010111622,0.0072009573
