Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.8542395,1.001935,1.1065717,1.2306356,2.5625896,0.46461302,0.8192838,0.84132665,0.96605575,1.1737865,0.43107146,0.3110665,1.050066,0.45558646,0.23190427,0.9337961,0.8132287,0.3000912,0.40897793,0.30122533,0.20078915,0.17761368
1,0.37961537,0.045503307,0.56579643,0.5178676,0.34430194,0.061826143,0.010922176,0.5091249,0.11563133,0.3111439,0.3865347,0.05232344,0.3802628,0.15770388,0.4351365,0.114606425,0.097527854,0.31423983,0.16971545,0.046525627,0.027170978,0.08387571
2,0.16345242,0.026442822,0.34718105,0.19286163,0.019373136,0.19567269,0.13157593,0.062348533,0.057800848,0.3311584,0.058428418,0.09887633,0.08772175,0.45669395,0.031049922,0.2724176,0.10429197,0.013303153,0.10298983,0.051669557,0.044569913,0.06581532
3,0.13719855,0.017294526,0.029227432,0.03892144,0.17870331,0.033123404,0.095292896,0.12835325,0.11082459,0.032469682,0.19386292,0.020718032,0.022121623,0.29897076,0.08850233,0.030874047,0.15161487,0.05065685,0.07263885,0.21062854,0.0462165,0.092370905
4,0.061811894,0.089327276,0.11415355,0.41070545,0.13347025,0.0100842165,0.09538831,0.15132457,0.079725824,0.036263052,0.05330748,0.07496861,0.021311903,0.01846923,0.034868352,0.032485403,0.16385998,0.047474146,0.03392082,0.22393288,0.012769635,0.0017635261
5,0.102286816,0.074063525,0.035956092,0.014886372,0.029380593,0.007506163,0.022363694,0.06715761,0.108107686,0.045249928,0.25754592,0.029265534,0.043000467,0.0396369,0.0074398112,0.016161885,0.047245022,0.05502222,0.01873878,0.04091041,0.07845845,0.08977251
6,0.035949532,0.022945074,0.038876884,0.023016836,0.02790781,0.023303144,0.018091459,0.13173681,0.004893001,0.0134575525,0.065494806,0.06690298,0.02954599,0.18858741,0.05939551,0.07789333,0.038460683,0.067459784,0.012510045,0.01081308,0.09041813,0.012228554
7,0.0030957414,0.053644072,0.020362634,0.0650356,0.06447978,0.13097963,0.10950707,0.09725536,0.00969925,0.01386,0.036972582,0.14644714,0.07455228,0.0026701614,0.01612413,0.07861636,0.04187465,0.004669927,0.025805337,0.01691911,0.05093181,0.016326312
8,0.02598847,0.08658557,0.04368881,0.007485995,0.0077065146,0.0070675686,0.033017173,0.033669323,0.02286471,0.05624965,0.08791292,0.04253666,0.016708428,0.07400307,0.22426298,0.0071065025,0.014557388,0.01617318,0.04051368,0.0378008,0.051692113,0.014200367
9,0.06818654,0.05871635,0.016081851,0.022395346,0.12944393,0.12712225,0.009548971,0.23847964,0.012270613,0.023914507,0.019762255,0.04514794,0.046667196,0.015641276,0.012800952,0.018111357,0.019796474,0.036923874,0.026655583,0.012326625,0.0114633255,0.0015652247
10,0.017740484,0.040858436,0.024085626,0.034681994,0.027502656,0.038772613,0.036869146,0.018457228,0.012618232,0.020161958,0.02262689,0.0071333363,0.004164968,0.012357824,0.011693398,0.0144558735,0.05854329,0.06701146,0.018181017,0.019539446,0.08082107,0.00210525
11,0.024029328,0.03273124,0.028839324,0.03350029,0.026753595,0.09269668,0.07148449,0.09941243,0.14625335,0.06493653,0.03721246,0.09452852,0.10101619,0.08240685,0.15135336,0.09538062,0.045487512,0.0041528433,0.060853902,0.09982598,0.089952864,0.06735744
12,0.0038290024,0.030299302,0.02020347,0.015464898,0.0025945753,0.0092807915,0.058632392,0.03013438,0.015595153,0.008457734,0.038853128,0.052505545,0.06532258,0.02474986,0.020048399,0.023281693,0.02470338,0.01385361,0.011655969,0.012152066,0.025596976,0.045067377
13,0.009966794,0.0041200914,0.019551113,0.04493287,0.013704002,0.00029227056,0.010100572,0.06475278,0.027596787,0.015359565,0.022880886,0.014836747,0.03561712,0.010781737,0.004157403,0.0051843566,0.008763287,0.017029552,0.020644281,0.0079154195,0.004498613,0.057765115
14,0.030195603,0.010997634,0.009640481,0.00831497,0.0045876903,0.013925816,0.005625613,0.054400727,0.0152188465,0.007927928,0.009698734,0.019300008,0.01574477,0.005879127,0.019850325,0.052363522,0.03486714,0.010883825,0.004954784,0.019927744,0.07974319,0.08667205
15,0.02344888,0.0060485466,0.014925062,0.0041241385,0.04072076,0.0061980747,0.009959348,0.0041702436,0.049545303,0.058125608,0.03307589,0.037350878,0.0055687353,0.024165837,0.014708109,0.0286819,0.08387324,0.0051466064,0.0023332706,0.024122376,0.033771493,0.0026233573
16,0.015511923,0.05199255,0.006281262,0.0070451424,0.009818807,0.0070374426,0.0050847568,0.009174978,0.019379444,0.0096576195,0.040090665,0.013692229,0.009946075,0.016321585,0.06686397,0.020727579,0.0337872,0.004504675,0.021847434,0.05302378,0.009308616,0.04122922
17,0.036311436,0.06267856,0.028006159,0.0385712,0.007781743,0.0063542994,0.0117266225,0.0053005093,0.03525671,0.0065932428,0.0049162433,0.010185154,0.031348094,0.012215253,0.0022153766,0.027230615,0.0053037982,0.0046064504,0.028315341,0.012792699,0.020431437,0.0011154037
18,0.011423735,0.017008316,0.0041829557,0.0082738325,0.0038990912,0.0043311054,0.030144248,0.03371318,0.00955706,0.004482887,0.0031872564,0.0038479278,0.0015032,0.0041240146,0.0030057898,0.0013318,0.0017177023,0.0051894668,0.0035547437,0.002768082,0.004967079,0.017769355
19,0.0036952426,0.0034020457,0.008898646,0.0019518582,0.0009929414,0.0039358977,0.0036758645,0.012040911,0.0049269646,0.021590423,0.010082044,0.002271716,0.0038937693,0.02746863,0.0010533589,0.0031119226,0.022833114,0.008066659,0.027508795,0.0074268635,0.002870248,0.014605205
20,0.008260064,0.008147808,0.0025433423,0.015685437,0.0018638438,0.0048557324,0.0017592009,0.0059015825,0.019507542,0.005621753,0.014046867,0.0026796455,0.002317613,0.0029259478,0.009159744,0.0044804923,0.0043445206,0.00412835,0.004450788,0.007387693,0.013435949,0.0034982117
21,0.010107751,0.03208851,0.0060457103,0.001538244,0.0048456234,0.060110692,0.08861167,0.066686325,0.05031496,0.0835446,0.019724758,0.0071001784,0.066220134,0.062382646,0.0516653,0.07629452,0.13657165,0.047741197,0.021192994,0.003805694,0.009172355,0.0028817155
22,0.026855089,0.015519565,0.013041878,0.013475565,0.005302277,0.035734653,0.011447263,0.00715272,0.009328533,0.0052801045,0.028020397,0.01564154,0.010374134,0.023696464,0.00079396705,0.008473424,0.0026762758,0.0022873112,0.004777097,0.021672698,0.003943564,0.00025873928
