Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,4.4696336,2.02393,2.4383361,2.4946427,2.3401651,1.5636959,1.8030835,1.9081182,1.4998248,0.8506052,0.62671196,1.3727893,1.9434823,1.563005,1.2257032,1.3650397,1.355131,1.247842,0.81874317,1.3966459,2.131188,0.8317058,0.81944996,0.63162565,0.5045312,1.0028055,0.41148487,0.123683445,0.09727848,0.11638662,0.15358351,0.13732748,0.06300399,0.28958547,0.027219439,0.045277573,0.17106083
1,0.015528099,0.28580686,0.3211574,0.04329232,0.23776704,0.2893564,0.13899235,0.34333944,0.19364162,0.32109958,0.007990634,0.21392298,0.4439728,0.09061824,0.011991775,0.14104864,0.016967112,0.19615614,0.41185257,0.01776526,0.14086382,0.013153909,0.046371795,0.13926518,0.026289377,0.19956955,0.028721586,0.035563834,0.7273675,0.016409764,0.046719328,0.13288304,0.062286105,0.14922927,0.33585855,0.023815759,0.036052965
2,0.061411366,0.14964093,0.15738088,0.08617623,0.14293924,0.9388982,0.4913721,0.524501,0.06770379,0.054363,0.033998054,0.1034981,0.113480665,0.011615728,0.03138149,0.055192154,0.024269784,0.025515694,0.009817486,0.033919357,0.010785477,0.3197806,0.30024403,0.09065404,0.0074120862,0.14736712,0.15997803,0.06906231,0.1271147,0.021500528,0.07129759,0.02355887,0.21314861,0.060091347,0.08566583,0.07648266,0.11909348
3,0.034250956,0.14272895,0.1547864,0.06753254,0.027609883,0.10859777,0.020725703,0.03838543,0.23638202,0.1293822,0.014340094,0.020958126,0.2182175,0.057594992,0.04979606,0.030542785,0.0032496215,0.027352437,0.13079187,0.20775329,0.10981998,0.018103084,0.103309736,0.044973247,0.019312283,0.035031516,0.20399022,0.03650293,0.019278333,0.053409614,0.072159365,0.47441494,0.060714226,0.018868864,0.22041197,0.024596084,0.027831329
4,0.05012518,0.024820317,0.057931438,0.02125004,0.056910854,0.025080653,0.07694335,0.12892804,0.123782516,0.21914865,0.041613348,0.18098734,0.08843085,0.036365584,0.243649,0.052557692,0.043768,0.025860092,0.19731452,0.113071606,0.04825832,0.07130538,0.07850663,0.042247333,0.1008936,0.0856488,0.03538396,0.16264422,0.542896,0.035666257,0.0074382797,0.04768431,0.036272433,0.09846419,0.13129488,0.06964688,0.059396643
5,0.018021798,0.017353881,0.027456995,0.044113353,0.094496,0.037033528,0.016742498,0.127405,0.035093382,0.068760976,0.09868279,0.01916346,0.040083457,0.038990755,0.1834082,0.095037125,0.08388706,0.09022316,0.021608368,0.023782518,0.04902453,0.07423195,0.0036221845,0.061953064,0.015643602,0.08771462,0.48889124,0.09345873,0.03362244,0.007021274,0.19807065,0.16657831,0.03462662,0.06979902,0.028576951,0.039237227,0.11630506
6,0.008791604,0.08419682,0.012850493,0.03813619,0.07970823,0.01248159,0.07002462,0.024876518,0.0074295276,0.05416906,0.02045568,0.013753949,0.029728876,0.12276171,0.076945685,0.04120655,0.14604348,0.065801054,0.20340802,0.041366484,0.059395365,0.053724222,0.006423093,0.04600561,0.22094163,0.11531143,0.4088592,0.113621674,0.10202045,0.03794854,0.036694225,0.13250735,0.061499048,0.0865636,0.12261036,0.1445816,0.07278833
7,0.030938705,0.062336672,0.12455812,0.02990652,0.11570779,0.06704731,0.10423006,0.028084656,0.046475235,0.06767099,0.06560004,0.027627759,0.020492466,0.032305527,0.124555476,0.118790865,0.07970509,0.062308162,0.042105366,0.011232453,0.07886492,0.12454822,0.098435596,0.005718816,0.028568083,0.14125234,0.0073475596,0.011930614,0.27444583,0.017139262,0.033488713,0.1576654,0.020444013,0.07597418,0.03408446,0.020320477,0.05606281
8,0.027678598,0.044618994,0.019216992,0.115010075,0.06750932,0.08286637,0.012775267,0.10660268,0.005857291,0.0226813,0.008860297,0.0041852477,0.07519794,0.016099319,0.02116665,0.046375837,0.030677946,0.034706652,0.058362402,0.015797777,0.013689384,0.018891413,0.10142698,0.027910413,0.013142736,0.016837973,0.013684744,0.0027634464,0.015513284,0.031421494,0.008999595,0.11813831,0.037845246,0.29138994,0.02221514,0.0017802265,0.016630843
9,0.04864654,0.010541367,0.0076903477,0.029908055,0.02701951,0.018693142,0.010499907,0.038734943,0.042832397,0.08294925,0.08088144,0.024701402,0.043984175,0.15409572,0.024803571,0.029784866,0.038477913,0.03766305,0.022416655,0.014442387,0.027397152,0.007372467,0.0074433265,0.05136393,0.044071592,0.072368495,0.052172635,0.017391022,0.031836886,0.10349472,0.40567023,0.14748761,0.0087809265,0.005006072,0.0394172,0.01244776,0.05796577
