Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1.1528335,1.3226235,1.3331728,1.387861,1.3898578,1.9540539,3.382134,1.5905504,1.6936456,0.55631065,0.89851594,1.2668743,1.119612,2.0960226,2.0320563,0.48694298,0.8476081,1.2105446,0.45946893,0.6596361,1.7376304,1.5829628,1.9545391,1.1489592,0.30858505,0.86430657,0.6966531,0.49990392,0.060718074,0.43942165,0.5847368,0.30204123,0.085376985,0.28602952,0.010951391,0.0025212835
1,0.18877934,0.024440141,0.15901753,0.5996223,0.20844968,0.018038252,0.25088692,0.037058555,0.04337948,0.474146,0.36868066,0.33794114,0.1542747,0.24564022,0.030174447,0.41555417,0.32521966,0.25511062,0.34563857,0.23746765,0.08851483,0.4748484,0.2130813,0.0023952732,0.19951189,0.40540582,0.08255925,0.123334035,0.32915756,0.19196847,0.16269909,0.044358794,0.23522852,0.13124909,0.47653544,0.026621744
2,0.29128066,0.1870011,0.48795062,0.42416057,0.010231484,0.10539853,0.029810837,0.027818099,0.104077116,0.3980422,0.033217106,0.23650797,0.13580337,0.25268,0.0119736865,0.06106819,0.17114997,0.12983498,0.1780812,0.0595586,0.17018011,0.29250127,0.24534252,0.11859484,0.13512416,0.16723426,0.104078285,0.06336838,0.21323517,0.48709753,0.4118474,0.054888703,0.043868497,0.024052577,0.02700476,0.26738128
3,0.0314681,0.13097571,0.07676544,0.03996297,0.094795406,0.020535763,0.0015080033,0.24609339,0.2494898,0.07822616,0.07783653,0.09642948,0.07541125,0.09930426,0.033982012,0.037817944,0.17071809,0.021119483,0.023602309,0.043416537,0.10358028,0.09071547,0.18951297,0.012901992,0.23655026,0.0941758,0.11613779,0.038348414,0.09514357,0.31771544,0.028317284,0.16116793,0.09634669,0.10844679,0.067063935,0.102050066
4,0.04827178,0.18580584,0.16550756,0.13169557,0.07149756,0.01038887,0.0294085,0.08132626,0.10088144,0.09492481,0.07673312,0.07718702,0.4895192,0.08550562,0.046065193,0.015240144,0.023197139,0.05499126,0.013699931,0.008495129,0.016307522,0.004247054,0.16087723,0.066124626,0.056037508,0.03844661,0.050383054,0.133446,0.039705027,0.079968326,0.0066238935,0.016303837,0.01917151,0.027457831,0.102697015,0.1024906
5,0.070390806,0.013289494,0.039583515,0.03879174,0.054335073,0.01057902,0.024537219,0.034230735,0.07531203,0.00089438853,0.028338186,0.052778333,0.011543352,0.0076370197,0.07996037,0.074265674,0.081707105,0.045510788,0.022261646,0.03113782,0.032814268,0.008837712,0.13734953,0.01651944,0.01437474,0.019887999,0.018532578,0.01356618,0.040723592,0.04498849,0.015330751,0.11094152,0.016152434,0.016918804,0.010368483,0.0017052696
6,0.009216774,0.0060897144,0.01867596,0.061861992,0.017418612,0.042178113,0.031001197,0.08262447,0.085147455,0.0138270985,0.039025977,0.050262775,0.07507142,0.09210463,0.124556705,0.14870076,0.041385964,0.0036989397,0.023881556,0.11662995,0.1321494,0.15419386,0.1686444,0.07488729,0.032886423,0.03301654,0.106293246,0.12556228,0.15024392,0.20949574,0.08289522,0.116142124,0.025755282,0.051695455,0.016043896,0.055094063
7,0.094579,0.14060551,0.11578534,0.04983417,0.033201993,0.0101176705,0.00652716,0.08505267,0.13496156,0.18100324,0.17678064,0.121133976,0.019417757,0.012619832,0.010760884,0.11775178,0.16199625,0.07147474,0.05082233,0.030447539,0.017957045,0.014761502,0.007892158,0.0477347,0.06774733,0.024749015,0.048094846,0.026701678,0.06351037,0.06414609,0.17324716,0.04138484,0.004083501,0.018982537,0.113805935,0.005202379
8,0.27041352,0.104285255,0.06455208,0.061819248,0.031383455,0.0024917359,0.15756676,0.21580926,0.12862162,0.15030453,0.071479104,0.15110283,0.013416891,0.008500981,0.09588672,0.100733995,0.08598589,0.1125026,0.19792622,0.052072827,0.0010228811,0.04611837,0.043665133,0.057420056,0.1029157,0.056256615,0.0699181,0.004599896,0.0027398397,0.014148379,0.050374992,0.009205354,0.02836131,0.015269262,0.0663088,0.06984607
9,0.06750502,0.037619796,0.013486851,0.05786767,0.022076705,0.03673958,0.006726658,0.042976428,0.006779856,0.024655953,0.018559473,0.005111219,0.0064226883,0.004443635,0.020084105,0.005203154,0.013768831,0.0055644307,0.025586445,0.011828108,0.060424704,0.02963573,0.045868076,0.013866948,0.027385546,0.037286058,0.004684871,0.021185063,0.09792498,0.039322175,0.024293195,0.010866616,0.05192948,0.039414447,0.08424516,0.0062441016
