Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.20277914,0.98649573,0.49965256,0.68790793,0.42714965,0.2684067,0.8718901,0.35363054,0.11637063,0.6876998,0.5076354,0.094119735,0.045999084,0.7515676,0.08863618,0.012233091,0.21907142,0.63220185,0.31031567,0.088353805,0.08344087,0.06891727,0.49398106,0.37369844,0.15783514,0.43171924,0.3216425,0.048888218,0.3882695,0.25038993,0.42074865,0.2376512,0.06005341
1,0.27533364,0.16843624,0.4749597,0.0756504,0.40050453,0.45853832,0.08956031,0.2265282,0.4654958,0.107168615,0.22805107,0.040287178,0.4043889,0.19104262,0.23160423,0.4080525,0.22741246,0.5305865,0.1433992,0.23290776,0.2043339,0.06555579,0.2147719,0.23547095,0.049091846,0.19060522,0.3439825,0.12527618,0.06452647,0.55257726,0.44735643,0.052245494,0.20645076
2,0.12473507,0.034719422,0.10614836,0.046800785,0.41189757,0.034707926,0.48118758,0.15619028,0.46199876,0.22355148,0.24958086,0.2930427,0.20070618,0.22722575,0.061501298,0.30910558,0.09663634,0.24236026,0.34429982,0.25663775,0.12210597,0.49956417,0.1933745,0.21573867,0.24071693,0.39086884,0.19492383,0.3417118,0.32324344,0.08442296,0.16073267,0.6030087,0.24196006
3,0.22357269,0.21139424,0.20704,0.10348315,0.07953857,0.29894063,0.13015302,0.37071693,0.22462933,0.081791505,0.040202934,0.55509204,0.15974894,0.16916476,0.23500235,0.46332952,0.10731944,0.06995192,0.032654025,0.15522969,0.0783578,0.07908411,0.20173451,0.16139744,0.3628801,0.32437497,0.16008466,0.120219424,0.10151054,0.3365977,0.039557774,0.35572964,0.41508555
4,0.093385145,0.017099,0.12895618,0.09074986,0.07775372,0.1929678,0.04267752,0.06576266,0.16198665,0.21176952,0.020846874,0.053953998,0.38395777,0.08944528,0.10821901,0.09260693,0.4348123,0.713846,0.28838974,0.73272127,0.3711042,0.15522103,0.30881912,0.22850321,0.32032526,0.09643857,0.23653162,0.09311248,0.045522273,0.10610387,0.12755027,0.12772053,0.09956119
5,0.117574506,0.060383625,0.081211135,0.02288923,0.18188184,0.21834877,0.05681579,0.09910317,0.119583905,0.0055720564,0.05856339,0.023155741,0.043178163,0.011288069,0.06817468,0.28345037,0.051295117,0.020331264,0.031410437,0.07314746,0.11201211,0.077293344,0.27072337,0.02347894,0.037154928,0.03682886,0.13086861,0.08721741,0.21894489,0.15056586,0.09648934,0.05270987,0.023014685
6,0.10383778,0.069876835,0.061072823,0.03166183,0.07013332,0.14345679,0.14410236,0.058195785,0.19101489,0.0845005,0.01153515,0.022123564,0.023352597,0.110609904,0.09583398,0.17564756,0.028302565,0.15051949,0.35760924,0.22543812,0.26278806,0.075682074,0.15585844,0.28366268,0.3858017,0.20630854,0.06402387,0.1379,0.04308322,0.0434457,0.05881519,0.1335381,0.384475
7,0.32363075,0.18183085,0.63473415,0.098877504,0.11563706,0.07142405,0.17962113,0.02127588,0.03314593,0.063678876,0.07732661,0.08129699,0.052817278,0.009489907,0.09872182,0.0081034545,0.055597715,0.015348942,0.22259907,0.023599269,0.06256701,0.05630237,0.11461246,0.014737463,0.112633355,0.058255218,0.015007547,0.0052489038,0.020707034,0.0068918746,0.086083606,0.023966806,0.007935313
8,0.054917436,0.12411575,0.19069771,0.081384584,0.044565413,0.21373771,0.101755194,0.0716689,0.24201831,0.23200913,0.06618467,0.04331308,0.06441148,0.072669685,0.1400758,0.23018949,0.32518828,0.04691401,0.029687747,0.0499454,0.04829637,0.019230668,0.19402157,0.096134976,0.09126251,0.1460423,0.037182745,0.04803233,0.06654973,0.09981468,0.081539735,0.06600346,0.039459784
9,0.026981298,0.10367916,0.013208138,0.037022665,0.049258668,0.009238364,0.025848428,0.031075394,0.08636285,0.035798084,0.0664988,0.10670862,0.04779593,0.04355898,0.014653107,0.12346869,0.035784785,0.003085518,0.04915146,0.019629123,0.02799446,0.058409564,0.040388312,0.13906097,0.024780972,0.050770506,0.04183939,0.08578861,0.007069152,0.09917333,0.071722426,0.049175538,0.028462797
10,0.011416977,0.02102949,0.023168389,0.004569115,0.024119925,0.0091847945,0.0295054,0.05881666,0.017871654,0.03339954,0.05966531,0.17278488,0.01081946,0.051050775,0.08894304,0.24346891,0.20787723,0.20579636,0.09503679,0.055309363,0.04236561,0.13092828,0.049240477,0.28312927,0.2178883,0.34989473,0.0637513,0.014091923,0.020613682,0.105424754,0.07696047,0.09262877,0.028941432
11,0.15640226,0.021334613,0.078018926,0.08969534,0.104020834,0.1704487,0.053378657,0.058229476,0.0663106,0.046179876,0.033569723,0.03901785,0.039605476,0.06683971,0.035273913,0.03893664,0.03420121,0.2046329,0.009961768,0.06779677,0.057951227,0.03324075,0.1263023,0.02785401,0.07354054,0.04566539,0.12572697,0.13345583,0.19302048,0.09993459,0.023710432,0.01951481,0.010149061
12,0.013383539,0.012759453,0.13473077,0.0045178714,0.102073014,0.028231345,0.032409802,0.010719918,0.068575114,0.099804014,0.071963735,0.19958615,0.024049245,0.022230472,0.050884705,0.014724145,0.014611466,0.010432624,0.012698148,0.014601495,0.08132297,0.12671027,0.015697004,0.016809382,0.035665534,0.01962189,0.07028785,0.020697095,0.014416792,0.042967383,0.010022432,0.17167082,0.003081937
13,0.0155079365,0.050877403,0.051852003,0.019754076,0.011056708,0.05977889,0.035651915,0.024983965,0.12185329,0.016697235,0.06350991,0.045079723,0.04459,0.057608638,0.015037034,0.0035772189,0.060857974,0.04046315,0.026557708,0.008890217,0.021153655,0.01864517,0.18117127,0.041621394,0.050972387,0.054308232,0.089494534,0.23678136,0.15169841,0.15473418,0.123528615,0.04738628,0.06582763
14,0.06617686,0.10351981,0.017148176,0.017563181,0.04207912,0.04894001,0.013041869,0.014977066,0.0134826405,0.034674235,0.020330647,0.024804808,0.015866254,0.028588766,0.15565401,0.010861424,0.007628104,0.007339066,0.024085982,0.07483385,0.04402324,0.015849136,0.008930281,0.015076266,0.007334275,0.028995294,0.040118456,0.020429283,0.027542733,0.028231353,0.015725344,0.023646802,0.063983716
15,0.027903497,0.058788195,0.10710446,0.03344918,0.06998841,0.011171769,0.01579822,0.039794154,0.024207775,0.018527946,0.021244004,0.08224783,0.038788334,0.023608949,0.006990893,0.0038256394,0.11920481,0.041441064,0.0035353848,0.032557316,0.015515631,0.0031097508,0.019221589,0.017864492,0.005629648,0.0039481623,0.003260178,0.012830343,0.03181307,0.0013572569,0.009235667,0.010537953,0.025538117
16,0.011968863,0.029107276,0.0010186725,0.014008709,0.029080115,0.019340724,0.007982915,0.009461742,0.014835571,0.035231188,0.023727732,0.02633422,0.08560596,0.039381083,0.016723763,0.038610812,0.007861251,0.008118394,0.023005307,0.042666,0.04275165,0.013979649,0.010754887,0.029411037,0.015029106,0.012245452,0.018478297,0.01958991,0.049589764,0.019037304,0.017201174,0.06095006,0.02581319
17,0.023311466,0.025871124,0.0615653,0.008160245,0.011659003,0.008324083,0.029154979,0.017590996,0.0080904905,0.013103301,0.06797085,0.02723458,0.04909033,0.05798089,0.019939525,0.038320422,0.0151082,0.009967063,0.002063246,0.02679451,0.044130594,0.03420128,0.13598871,0.008576296,0.004793717,0.020245086,0.0064436616,0.032508634,0.026639499,0.009913895,0.00401847,0.0037918931,0.00725998
18,0.017960956,0.017574161,0.014510517,0.0043177963,0.007672829,0.0026193091,0.032738652,0.01485339,0.013966646,0.010979817,0.015782109,0.049257904,0.026927583,0.021048525,0.038466312,0.011751876,0.018870052,0.03285852,0.05409252,0.031961784,0.023895929,0.0020560126,0.034637332,0.01681839,0.011844696,0.0066371537,0.10453703,0.024376672,0.041196834,0.011451557,0.00491538,0.022487948,0.005668526
19,0.017321687,0.10967699,0.011813197,0.010330501,0.017711123,0.039257005,0.037391063,0.04026644,0.03933427,0.04294036,0.01663265,0.02540677,0.015508207,0.026826605,0.008195482,0.005968067,0.015315083,0.025221815,0.015043825,0.029781269,0.005522688,0.008918463,0.049099933,0.04715636,0.0054896898,0.02174818,0.058846995,0.027817031,0.01318034,0.0040796692,0.012394398,0.050839856,0.015639959
20,0.0038456507,0.005178089,0.008332826,0.047469635,0.008578985,0.023257723,0.014043902,0.012954483,0.010914677,0.031799126,0.0034532868,0.006740907,0.006854635,0.0057587153,0.002529383,0.050573036,0.011952985,0.015046748,0.007971385,0.011780746,0.014666808,0.025751656,0.00405986,0.015375472,0.019645384,0.005498374,0.0015478052,0.006644221,0.03163791,0.01793835,0.05600308,0.07536872,0.11139399
21,0.09590083,0.049249366,0.0041348175,0.010004041,0.021408211,0.09584051,0.06559801,0.15261997,0.06585848,0.050536774,0.014929833,0.03486825,0.007974058,0.051957507,0.0039922297,0.011111955,0.012142978,0.031185713,0.016618494,0.005079701,0.014158677,0.00053959276,0.02226825,0.04350538,0.021505872,0.11225614,0.008480205,0.0041001015,0.005232936,0.0077725817,0.06434199,0.0015132485,0.009231308
22,0.002274591,0.004824575,0.0047979117,0.024535617,0.004337905,0.008793737,0.015418329,0.0072806,0.0049905963,0.036461484,0.014526917,0.006003215,0.056234155,0.01784375,0.019983169,0.015001815,0.008510545,0.02098444,0.004604688,0.018483877,0.010924305,0.0039362884,0.023408301,0.020372901,0.0071059777,0.005209117,0.030350704,0.031153575,0.02968182,0.033812545,0.0038941607,0.0062671998,0.02689486
23,0.0731224,0.059219442,0.034332722,0.051612876,0.04175041,0.0039879535,0.0143938875,0.02950113,0.009953647,0.013189444,0.0047243997,0.0007324586,0.047109313,0.0102748405,0.016650906,0.016875358,0.0050861626,0.038805597,0.0133454185,0.012848301,0.0057384796,0.0024766817,0.0053498703,0.0076711364,0.010862142,0.0062652132,0.013101128,0.004517375,0.013802028,0.028164998,0.024573833,0.043837965,0.08328419
24,0.02650262,0.016509369,0.012133908,0.046118546,0.02058763,0.0067328345,0.011297079,0.003442129,0.007896928,0.11153421,0.015534969,0.01354602,0.013882808,0.013223575,0.015133714,0.017165959,0.023233902,0.032898903,0.014852313,0.014082911,0.010024872,0.022423383,0.007657895,0.008873401,0.0016774947,0.00636201,0.012158409,0.038530685,0.04652353,0.008908206,0.00257305,0.014353738,0.015934696
25,0.016528806,0.027585724,0.006160742,0.0011760306,0.004517984,0.0034629093,0.013269147,0.005605761,0.002505173,0.0055598724,0.018089343,0.0075995447,0.0023364811,0.017437337,0.022027135,0.005024314,0.02278944,0.019257262,0.012229683,0.005714748,0.0076384954,0.070567384,0.0083752535,0.01987582,0.0453032,0.02127083,0.009659072,0.008949968,0.0099557545,0.004138346,0.003008066,0.010301858,0.012723111
26,0.004733278,0.004729349,0.0014125004,0.004357134,0.019685343,0.0029084482,0.0023436327,0.006286716,0.0014865606,0.0046489267,0.005799537,0.009688198,0.0018595408,0.010323286,0.008336397,0.013887472,0.013157105,0.015763707,0.04078477,0.011572846,0.010075032,0.015515223,0.0032771067,0.010914214,0.050608117,0.04439054,0.023279402,0.01624412,0.008634185,0.00821366,0.03179959,0.02453776,0.008703366
27,0.00872395,0.0023604701,0.011703242,0.0055504474,0.018193722,0.018060949,0.0135014625,0.012954765,0.0038384283,0.0038105557,0.013046598,0.014456372,0.008903241,0.0067219627,0.0067216447,0.011418745,0.003677118,0.008740986,0.0018686717,0.0072256527,0.0007549549,0.014043007,0.0032828657,0.0010348395,0.017486839,0.025029715,0.0018759151,0.010441119,0.05951136,0.0011339685,0.0109050805,0.033940833,0.00442014
28,0.05674408,0.009435607,0.0006081908,0.00119682,0.009717994,0.006817082,0.0037131642,0.005706191,0.011476157,0.0032940963,0.011527444,0.0017414396,0.010359436,0.003959861,0.02068321,0.011259012,0.012298651,0.0033549871,0.01889994,0.023244698,0.020377476,0.006528353,0.010487094,0.0076099476,0.003780467,0.012824108,0.013188448,0.007847992,0.030214379,0.009579669,0.0062919147,0.0076964335,0.0055064205
29,0.004707488,0.0024531572,0.00034843292,0.0019349407,0.07856497,0.0023810342,0.005762109,0.0032863128,0.023525037,0.0035020937,0.005432436,0.0101541905,0.001829882,0.009009009,0.0008971186,0.0049653184,0.001142484,0.0030576168,0.004664722,0.0018971275,0.0051664137,0.004163813,0.005240279,0.005197198,0.008178709,0.0031760489,0.0031653754,0.003979038,0.0034919938,0.005525765,0.0061615077,0.004572018,0.006657034
