Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,1.8695471,0.741369,0.4749583,0.5364678,1.2355094,1.0672382,1.2878861,0.8740107,0.3600451,0.45413405,1.873963,1.4014374,1.0393801,0.15777603,0.08695832,0.60150194,0.18378086,0.25358716,0.57508355,0.09426592,0.51519424,0.5636569,0.123924576,0.24260998,0.01110986,0.2776634,0.17922142,0.17584023,0.09893174,0.23114869,0.09413534
1,0.18997173,0.21343824,0.19246846,0.33482897,0.1877625,0.22104587,0.18523158,0.14188144,0.15009393,0.21875304,0.23104735,0.07047339,0.32054573,0.16929723,0.015498818,0.15111844,0.31630737,0.13044736,0.14470387,0.062336273,0.08865099,0.04774941,0.35906035,0.073602736,0.10381214,0.18514091,0.14692312,0.17323467,0.15626842,0.08113441,0.0028016344
2,0.0920949,0.11270364,0.04781907,0.059532598,0.0558958,0.088685855,0.15198398,0.09256669,0.07858567,0.098611124,0.05420614,0.16348898,0.060398042,0.16401753,0.048345577,0.090701364,0.028580148,0.04907693,0.07308306,0.018087279,0.101415105,0.17084593,0.13414788,0.18267709,0.049742702,0.12665232,0.1152966,0.08114847,0.006172699,0.15916099,0.00093906635
3,0.07245009,0.03162506,0.06137859,0.029356,0.030865768,0.1815537,0.03527896,0.13264987,0.1857386,0.03606265,0.017068785,0.0071550542,0.02869992,0.028278869,0.022538923,0.0621549,0.035358146,0.008378966,0.11540447,0.07901522,0.09478516,0.007006183,0.01851925,0.053713165,0.043026518,0.087749824,0.044973526,0.041598637,0.039073505,0.012058446,0.1039105
4,0.056120276,0.029280715,0.08398198,0.057450846,0.05226778,0.038776085,0.0043083425,0.0072382865,0.18697062,0.012802508,0.018379936,0.044725318,0.0058886274,0.016353412,0.044299487,0.018796682,0.020049702,0.04969958,0.024272814,0.0043895347,0.0195684,0.0059803636,0.018946705,0.015092275,0.0042480417,0.0028260467,0.021144975,0.053119488,0.012554647,0.054120176,0.02075772
5,0.070750505,0.017237993,0.013512323,0.044045523,0.10001913,0.060550626,0.04722172,0.06612807,0.022908151,0.020227272,0.016097046,0.030263366,0.042799406,0.011030436,0.041007455,0.008430646,0.048324756,0.068300486,0.039554946,0.005671615,0.061147347,0.06587061,0.012060421,0.04029441,0.056340314,0.047750104,0.0073961383,0.02628592,0.058339093,0.0106412405,0.0019353847
6,0.018430848,0.028937686,0.01360305,0.0342684,0.0325363,0.029580843,0.011030668,0.0044984682,0.023144629,0.020256259,0.024334785,0.0045927432,0.02714974,0.03446029,0.05157962,0.012944644,0.011284021,0.017134694,0.039320417,0.02848633,0.07355839,0.059697565,0.02125098,0.010846259,0.03843493,0.04820925,0.0130981915,0.020696081,0.00960425,0.03703088,0.010429594
7,0.009657345,0.0073055476,0.0022231978,0.01696553,0.0029723544,0.014832977,0.02936908,0.047293972,0.06838058,0.047304578,0.030160261,0.0011277304,0.016472738,0.11349218,0.0625001,0.010246389,0.039780527,0.0024192496,0.026772523,0.025665231,0.04214698,0.010324245,0.010004297,0.012660481,0.01444805,0.011151762,0.0027026483,0.004475207,0.025226703,0.019629728,0.042226944
8,0.065638654,0.033073254,0.0065163895,0.019364772,0.035560332,0.06936449,0.020650767,0.019664083,0.018001605,0.038224436,0.08460319,0.016049916,0.0059354478,0.017935652,0.007993608,0.012840001,0.04058338,0.007441087,0.0048077414,0.008856216,0.030611612,0.021469224,0.017911207,0.008489675,0.062578894,0.005374655,0.0051509487,0.017906819,0.008734787,0.030783473,0.002395636
9,0.0056479573,0.0063926764,0.007344353,0.03313905,0.0076588313,0.009022877,0.011063215,0.043500453,0.05252814,0.065671094,0.037453547,0.026493361,0.019354621,0.029031212,0.030669702,0.03208428,0.01126047,0.018593777,0.069169685,0.04155847,0.008447559,0.02094727,0.04631642,0.06097225,0.06681585,0.091907576,0.047251143,0.015510672,0.012689779,0.030271713,0.103178635
10,0.036010217,0.020876117,0.0011190454,0.012325292,0.013636398,0.00591153,0.009503466,0.02166951,0.032498732,0.01801281,0.033788435,0.0018822288,0.017585311,0.011580336,0.023917375,0.02898267,0.009665651,0.03739552,0.010446774,0.008852394,0.051156893,0.0024440992,0.007831017,0.011778654,0.0040768688,0.0015010118,0.0072652134,0.014043812,0.051794693,0.049788132,0.048229203
11,0.007455471,0.034485765,0.19696818,0.0475547,0.096379325,0.07761726,0.0144962985,0.060986936,0.16456299,0.1848284,0.0461874,0.22009665,0.059393283,0.007958529,0.02167335,0.07074301,0.061198656,0.12546739,0.028318908,0.002122961,0.051455572,0.19782822,0.14505056,0.0765044,0.10802761,0.046015218,0.0016337772,0.11560556,0.06472416,0.10884228,0.1454336
12,0.051967073,0.035723314,0.0009609409,0.0038433685,0.009346227,0.0030383149,0.0101275295,0.010274252,0.01691715,0.016159864,0.0046877945,0.012323309,0.015900787,0.010428432,0.025414854,0.029958654,0.08505311,0.05284707,0.012212653,0.0074261413,0.011587986,0.023220692,0.027327763,0.012824931,0.027657606,0.0087033305,0.0044216705,0.0022733887,0.017292086,0.015024238,0.060635116
13,0.028106611,0.046133082,0.013757275,0.014505627,0.041874133,0.01894281,0.020254225,0.0026113228,0.021637626,0.017289173,0.012351526,0.049167484,0.04804167,0.032525513,0.0075075123,0.019675381,0.013168835,0.0056595756,0.0054240925,0.0028006518,0.007579225,0.04304435,0.04203163,0.026628023,0.016531873,0.0115947025,0.009908634,0.004648775,0.0047560735,0.022006897,0.00042028012
14,0.002358733,0.010996271,0.013679234,0.00678481,0.008831082,0.012708723,0.0106094945,0.020036697,0.005332467,0.0053980155,0.04305795,0.004496614,0.0013579775,0.007217545,0.033804968,0.010532039,0.0033737307,0.015006462,0.004421988,0.0028489335,0.01657078,0.0025695872,0.013532462,0.00646953,0.0070617544,0.026204113,0.003983383,0.007880738,0.017648244,0.00889898,0.009962334
15,0.01625345,0.0074637597,0.016746484,0.019089593,0.0051572407,0.0013453291,0.003932612,0.0034550787,0.025848547,0.012465309,0.005079398,0.030185618,0.0019208781,0.0039422703,0.01952741,0.004313299,0.028016271,0.009596579,0.014834134,0.006803791,0.024507314,0.023345252,0.028494058,0.016374156,0.008409838,0.013892708,0.0063255774,0.025271548,0.0136634875,0.02913339,0.020443905
16,0.016805287,0.009540765,0.019427318,0.021099836,0.011504843,0.0025796206,0.013052984,0.014595246,0.017228141,0.002518279,0.007405058,0.007979718,0.018409539,0.0022655698,0.02545045,0.049465433,0.020679213,0.0066374918,0.008346781,0.014517396,0.021353483,0.0113490205,0.023167662,0.0075805057,0.013818167,0.022941232,0.020794222,0.01712249,0.002278179,0.004997713,0.006985071
17,0.006759253,0.005010778,0.0119029395,0.020633368,0.0022118003,0.011932335,0.0038601349,0.0105716735,0.006216906,0.0017915089,0.028426467,0.013081487,0.037479453,0.0040945644,0.007702344,0.016755844,0.0064738817,0.01631299,0.021341795,0.0049123988,0.008366062,0.0013712542,0.008960346,0.005855999,0.027626079,0.009116269,0.0029895597,0.002221339,0.0026396997,0.003961241,0.0029637679
18,0.012224541,0.004820161,0.0085213315,0.010067392,0.009097643,0.018344587,0.009669449,0.0075788815,0.020346446,0.020262942,0.002399856,0.006302721,0.012943057,0.012177883,0.009770035,0.0039423276,0.009448694,0.0019998963,0.0005138062,0.0035390998,0.013786355,0.036007173,0.004219395,0.0060045887,0.0015694377,0.006866619,0.0039821514,0.0036475402,0.0045681987,0.003928887,0.00025456847
19,0.025191177,0.026233071,0.015660396,0.010160307,0.013421273,0.012256843,0.021460187,0.012613739,0.032451734,0.0053319056,0.00072637293,0.0032312288,0.031008769,0.007367466,0.0023190482,0.0059490795,0.007798411,0.014287007,0.018978529,0.023184108,0.019337319,0.0023972061,0.0049211355,0.0002641579,0.025056137,0.0025509852,0.009848116,0.0051934323,0.0049890312,0.015105462,0.00013499636
