Epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0.27951735,0.41574183,0.32479122,0.3527041,0.15406948,0.096948646,0.23581587,0.18050472,0.31301573,0.22010018,0.26641077,0.28467596,0.12486728,0.13538243,0.19273591,0.030176016,0.079483055,0.2920328,0.2592529,0.028533146,0.2254041,0.14727709,0.14304723,0.53989065,0.3523129,0.09530861,0.14898251,0.43726796,0.04633587,0.012474538,0.012958708,0.2308699,0.37425026,0.34235778,0.016316574,0.009051859,0.11587909,0.10328068,0.082513526,0.3600165,0.111552514
1,0.052362032,0.11008109,0.013499874,0.20507951,0.032063823,0.31984583,0.028474322,0.10924947,0.2787996,0.18838872,0.15716888,0.19933271,0.068204254,0.07266268,0.036410958,0.11770881,0.11697161,0.06575667,0.4173566,0.2933734,0.36521238,0.38289672,0.2537826,0.0058593024,0.032538515,0.013727753,0.14127137,0.2853888,0.057098255,0.11383097,0.011970798,0.1520373,0.09616327,0.009868199,0.11033508,0.47254953,0.08361799,0.030310709,0.39448145,0.029700372,0.010786444
2,0.15356621,0.04873742,0.022087812,0.016243033,0.057547286,0.11232579,0.28080872,0.21856314,0.018601846,0.13531008,0.03976627,0.022811105,0.081485674,0.08598811,0.23062456,0.053488053,0.06182361,0.38840488,0.085510954,0.0049843444,0.15638119,0.02496422,0.24062376,0.048883084,0.020928495,0.117414944,0.01978391,0.017352743,0.18316892,0.15930396,0.011630494,0.2640038,0.010290103,0.09466452,0.07755574,0.114518605,0.2171377,0.04539759,0.031676166,0.14470416,0.07481809
3,0.09846979,0.030123657,0.0353985,0.013624194,0.020629518,0.029748892,0.07824378,0.014655749,0.044829488,0.40290588,0.20377105,0.0075534815,0.02521525,0.024955537,0.06756887,0.13178164,0.17576589,0.027000204,0.044880882,0.20266224,0.12768596,0.01581042,0.079381645,0.25302875,0.00751842,0.124631554,0.049729124,0.15824093,0.1368914,0.088027805,0.12406601,0.033886302,0.086393,0.011295446,0.08759027,0.2106027,0.14273995,0.009262664,0.052118268,0.029796543,0.18514878
4,0.23146877,0.040809177,0.049369812,0.05577271,0.0050232196,0.023291426,0.13473818,0.022744488,0.045427747,0.04638461,0.028237164,0.014133666,0.040060025,0.048864186,0.025163032,0.0049217264,0.0073002656,0.16010557,0.03264277,0.11933735,0.021232858,0.032511298,0.020084111,0.1072015,0.040529847,0.17582427,0.0072776065,0.0076926313,0.015189252,0.28107002,0.047825936,0.2308029,0.098388076,0.105499245,0.13301715,0.049596053,0.014608892,0.011519589,0.08029721,0.03526315,0.07392253
5,0.09121306,0.02505324,0.044919915,0.09720607,0.03136868,0.028350513,0.03003075,0.004988011,0.048412606,0.06713186,0.053853333,0.077650964,0.056548715,0.024660105,0.05344048,0.059963156,0.07139701,0.12056489,0.06927356,0.02478991,0.0980626,0.008392863,0.012548791,0.010538054,0.036132008,0.021551022,0.04878154,0.06459479,0.09541596,0.10940686,0.19645807,0.0059336885,0.0585524,0.16867894,0.035648998,0.12712023,0.011603724,0.023807947,0.0054929275,0.021192629,0.3789062
6,0.014653274,0.0546152,0.021008506,0.07027766,0.0059083053,0.029244846,0.0043513845,0.0070050284,0.0053071696,0.03176006,0.015504758,0.018091507,0.03568784,0.064471826,0.11826659,0.06703699,0.031249799,0.05497868,0.03959593,0.050659224,0.0028297692,0.05694539,0.0071230633,0.050123353,0.09288167,0.017034391,0.0006636435,0.14828502,0.060071703,0.050404917,0.06782177,0.0366634,0.039114397,0.08928533,0.03523317,0.011719369,0.082942046,0.0239875,0.17611742,0.025126746,0.04272215
7,0.06676546,0.061366715,0.012162139,0.0121004265,0.022476709,0.06487722,0.12222792,0.036588237,0.040472493,0.024722729,0.014467779,0.005448316,0.0013385573,0.0023458996,0.061960753,0.0798615,0.056638956,0.038186986,0.0141877625,0.017968293,0.011769543,0.0029557734,0.050172243,0.017073683,0.03879878,0.023356503,0.010701051,0.009438974,0.0044449074,0.01233587,0.16296218,0.061219588,0.027175043,0.003488849,0.041829035,0.085693076,0.035133276,0.034335975,0.02699286,0.031740922,0.09300356
8,0.056410257,0.032895613,0.0071729473,0.0266836,0.038082045,0.0273857,0.004201649,0.007949148,0.029655589,0.015814893,0.08647302,0.020469802,0.051466536,0.027896276,0.050152145,0.008399935,0.046336494,0.032397173,0.0059330603,0.025266849,0.011746174,0.05699053,0.021823738,0.040272854,0.061491463,0.051387,0.06323957,0.049132414,0.029855214,0.04032668,0.011299044,0.021793649,0.005176738,0.0023491145,0.06211832,0.025835738,0.024758272,0.016159669,0.1789077,0.013035419,0.02654367
9,0.09885593,0.06047988,0.06646106,0.057332985,0.007052368,0.018798944,0.03992499,0.064741425,0.02881589,0.0055948086,0.010189095,0.004916841,0.0190064,0.045652036,0.10204536,0.11647947,0.030308131,0.0072607673,0.08820911,0.008929776,0.020479705,0.020544313,0.026714135,0.018749902,0.02394041,0.053963687,0.0036124883,0.037355807,0.016306967,0.020956974,0.0051507773,0.010832815,0.07625322,0.017713942,0.013598028,0.037942886,0.10272967,0.009038679,0.07773006,0.024089845,0.032427024
